dLoss,Iteration,Total cost,Entropy,AverageReturn,NumTrajs,StdReturn,ExplainedVariance,LossAfter,MeanKLBefore,LossBefore,Perplexity,MeanKL,AverageDiscountedReturn,MaxReturn,AveragePolicyStd,MinReturn
835.052341811,27,216.32892324961855,0.692416154621,-201.676416747,109,21.099325795,0.921694652427,-835.052341811,0.0,7.40385530662e-11,1.99853848239,0.00908792008547,-136.986930829,-146.443552531,0.483587804563,-268.881280871
953.040184664,28,218.0601431441486,0.691380213782,-202.063445729,109,23.6651530342,0.917187174201,-953.040184664,0.0,8.17294676381e-10,1.99646918678,0.00952484535257,-137.075920459,-147.407835791,0.483087095605,-270.631008437
860.228636338,29,220.2166067926625,0.691989035396,-202.788218521,109,21.1363770669,0.920508503328,-860.228636338,0.0,-8.08597633295e-11,1.99768505045,0.00861424358645,-137.435876688,-162.566679694,0.483381299019,-265.069408242
918.813007428,30,217.08645673495838,0.679762366742,-200.474965689,109,22.2857050571,0.921063703646,-918.813007428,0.0,1.0726353139e-10,1.97340872896,0.00668010358065,-136.903610041,-154.235410577,0.477507139919,-286.375018322
712.097261061,31,214.6231258652547,0.677046748607,-195.231596975,109,19.9458064825,0.923692490425,-712.097261061,0.0,2.50338416663e-10,1.96805697438,0.0079835943368,-134.012710818,-153.479542319,0.476212171985,-251.924405929
1013.92825513,32,213.29236366020024,0.671791830172,-196.273259759,109,24.6122177962,0.908210095401,-1013.92825513,0.0,-2.89441359769e-10,1.9577421211,0.00789821440502,-134.75750706,-146.003381755,0.473716279463,-295.062222613
868.669492653,33,209.79688428247232,0.663948942661,-192.587826704,109,21.083495114,0.926970767686,-868.669492653,0.0,1.14710019261e-10,1.94244782399,0.00625545193294,-132.923796185,-142.990478187,0.470015507311,-242.873410647
814.118036239,34,201.29340542865845,0.661486379984,-181.896074137,109,20.4955268367,0.904758145276,-814.11803624,0.0,-1.9194606321e-10,1.93767030935,0.00687469603617,-126.081292748,-140.25183525,0.468859488633,-238.462603273
776.026986331,35,199.94077032594384,0.638827000734,-180.181009802,109,22.6327698593,0.899925250334,-776.026986331,0.0,-6.11066752754e-12,1.89425761282,0.00650300404669,-124.469903649,-102.85223639,0.458354887001,-252.963615495
922.624192333,36,193.67795354561412,0.634759845091,-172.364474104,109,20.7505250115,0.912679469861,-922.624192333,0.0,1.59516844178e-10,1.88656901824,0.00863147782956,-120.653103865,-118.828075688,0.456494472199,-228.210161627
664.787916921,37,193.59428567194732,0.633446496022,-171.720378316,109,23.1056940511,0.872853857807,-664.787916921,0.0,-4.68389771413e-11,1.88409292092,0.00791174121252,-118.537217627,-113.664682475,0.455895329137,-230.086211143
834.918712208,38,198.28275935483487,0.63302179763,-177.89130769,109,21.7004426803,0.897542286754,-834.918712208,0.0,3.79486664315e-10,1.88329291958,0.0068813784232,-122.112126545,-118.506819078,0.455701752233,-231.789775115
582.161546376,39,195.18751009913166,0.620650430637,-174.994835339,109,19.6472426363,0.914514995864,-582.161546376,0.0,-1.73770331457e-10,1.8601375389,0.00720338943294,-121.697912808,-141.059417182,0.450098827993,-225.932010635
672.139642615,40,199.71082636253647,0.607071793224,-179.555368961,109,19.7292834893,0.919386269062,-672.139642615,0.0,-3.14059889206e-11,1.83505011769,0.00713710238315,-125.092388039,-110.708130062,0.444028406506,-226.051726254
969.458549972,41,191.47188311044624,0.597266606711,-171.783924334,109,21.8961200083,0.894035368008,-969.458549972,0.0,8.54072368384e-11,1.81714503382,0.00879611000648,-119.381525249,-104.401614286,0.439695900389,-235.754909815
749.387833428,42,189.16337997663612,0.605358466873,-167.076860614,109,19.6759920446,0.89604453543,-749.387833428,0.0,-1.45291778608e-10,1.83190876981,0.00950502578832,-115.838167094,-100.668898308,0.443268292284,-250.841382327
1074.31056872,43,193.63524326834863,0.57076177636,-171.803382974,109,22.5178841724,0.873952543552,-1074.31056872,0.0,-6.91215973347e-11,1.76961458867,0.00999796956716,-119.118489158,-116.491904251,0.428194924139,-247.03649066
893.685281984,44,188.68552353939106,0.551457236633,-166.285725995,109,22.6441528534,0.8722249793,-893.685281984,0.0,1.70530256582e-10,1.73578061887,0.00982822356023,-115.581687082,-101.869073242,0.420008093954,-236.815656647
431.466462529,45,195.78924130057257,0.551795941676,-172.507371327,109,22.0932913006,0.888720642779,-431.466462529,0.0,5.73976421947e-11,1.73636863609,0.00658749654952,-119.987737584,-91.7932817244,0.420150376908,-238.687706507
794.934453011,46,195.42055712355588,0.548931558022,-172.301085895,109,21.540468784,0.917606909501,-794.934453011,0.0,2.15266027226e-10,1.73140212655,0.00747597153066,-121.163225707,-100.751321929,0.418948626994,-235.047141676
880.181669366,47,191.72189693257522,0.543858332736,-167.743052045,109,19.1884949205,0.923005402733,-880.181669366,0.0,3.35557359676e-10,1.72264057695,0.00819335063503,-118.072741557,-123.152505748,0.41682858849,-232.575405767
1008.02778601,48,191.30467000277298,0.56397876422,-166.23586293,109,23.2172463834,0.891824082527,-1008.02778601,0.0,6.71306565891e-10,1.75765188887,0.00726680191084,-116.796232394,-109.724940625,0.425300301001,-280.788986102
434.29964126,49,183.53142569815466,0.53897694624,-158.115725074,109,14.1664415851,0.921206916334,-434.29964126,0.0,-2.49666953778e-11,1.71425219263,0.0071465761945,-111.602431806,-115.004911467,0.414798845058,-204.186987194
514.44487871,50,181.5771945389843,0.549412935684,-156.898978563,109,21.5557449608,0.841911217584,-514.444878711,0.0,-9.41795530451e-10,1.73223578549,0.00606280809867,-109.441548801,-98.6027249667,0.419150348053,-243.691667147
776.390101341,51,182.660858746488,0.539015846167,-156.5759004,109,23.2794330539,0.839845732934,-776.390101342,0.0,-1.97363902998e-10,1.71431887821,0.00664874597085,-109.452612297,-89.8566706502,0.414814981017,-214.913523342
1383.34596813,52,177.9487485346308,0.514080268618,-149.941290402,109,27.7508298351,0.772179962525,-1383.34596813,0.0,8.81755113369e-10,1.6720999116,0.00689898268835,-104.603475864,-94.9014913617,0.404599227078,-281.679700513
730.556577316,53,176.0781688006756,0.501676296716,-148.011570964,109,24.7337126683,0.751008451775,-730.556577316,0.0,1.51331391862e-10,1.65148733448,0.00618384499911,-102.731648709,-91.6967375739,0.399611586857,-206.383681459
1165.56269991,54,174.45507893340232,0.486542504195,-144.877816911,109,24.4239815237,0.734510023767,-1165.56269991,0.0,2.4897417461e-10,1.62668223882,0.00943050750724,-99.9338331666,-85.1919062845,0.393609479889,-221.580397209
981.440929134,55,176.63145584876798,0.486831319687,-150.385761075,109,24.4053586982,0.769392663886,-981.440929134,0.0,1.36424205266e-11,1.6271521177,0.00669907479505,-104.635557404,-95.2836117101,0.393723176823,-216.712533901
1008.42409562,56,177.7851721806015,0.48337596364,-149.848255654,109,28.2634410246,0.730109270713,-1008.42409562,0.0,-3.22046389556e-10,1.62153943029,0.00971625786191,-103.545694927,-88.1684093382,0.392365070784,-253.962561513
