dLoss,Iteration,Total cost,Entropy,AverageReturn,NumTrajs,StdReturn,ExplainedVariance,LossAfter,MeanKLBefore,LossBefore,Perplexity,MeanKL,AverageDiscountedReturn,MaxReturn,AveragePolicyStd,MinReturn
4421.60536476,0,354.4808132738185,1.4189385332,-245.3597598,109,31.0815372948,4.84390305644e-12,-4421.60536476,0.0,-2.70176769845e-10,4.13273135412,0.00985459193738,-159.828360295,-178.700790775,1.0,-317.20288847
1512.35621204,1,333.84636830774485,1.34801435221,-244.908925082,109,26.2162709787,0.901956797395,-1512.35621204,0.0,2.72621036856e-10,3.84977364173,0.00752874191365,-158.879227233,-183.624269137,0.931532517323,-314.097023198
2422.76826879,2,321.3988728785766,1.30363944773,-243.150435977,109,25.1148174642,0.906233270038,-2422.76826879,0.0,-2.96552116197e-10,3.68267521154,0.00707116211894,-157.767744806,-177.951030005,0.891099589105,-293.944730708
1639.59027432,3,309.9349129001194,1.25987446093,-253.650073978,109,32.117203453,0.890445799248,-1639.59027432,0.0,6.6015104494e-10,3.52497893702,0.00777366603012,-164.036183366,-185.661998646,0.852941707305,-320.205083063
1093.31283787,4,307.88855201176943,1.21984945467,-259.212094625,109,32.0892170277,0.900609797306,-1093.31283787,0.0,-1.08693143375e-09,3.38667784672,0.0062117461768,-168.926250607,-190.736729846,0.819476892283,-327.795113806
1162.08096857,5,291.0068134686665,1.18287615273,-248.870715905,109,30.7194399301,0.889287701283,-1162.08096857,0.0,5.58316060051e-10,3.26374775357,0.00592506913807,-161.667117588,-186.291027736,0.789731408579,-325.408307839
1701.02827302,6,287.4610547156588,1.15474516896,-246.118970346,109,25.650456198,0.912724883297,-1701.02827302,0.0,-3.01753289023e-10,3.17321468087,0.0095956145501,-159.375845161,-186.664618466,0.767825055386,-301.785155547
1321.50921355,7,273.71923010747474,1.09877058121,-247.886683295,109,28.0165161423,0.908073311027,-1321.50921355,0.0,1.05671915662e-09,3.00047491522,0.00777439741948,-161.888622824,-183.78888109,0.726027089138,-315.998040311
865.79454503,8,271.87014639942305,1.04752858941,-248.344009399,109,29.2200564371,0.904302955529,-865.794545031,0.0,-5.58145446528e-10,2.85059740873,0.00520096146945,-161.197869587,-187.210899341,0.689761120303,-318.422113741
974.055258971,9,266.7133170785969,1.02060648602,-248.041746044,109,29.4030402392,0.901842521084,-974.05525897,0.0,2.08501660381e-10,2.77487717794,0.00858734627994,-160.929715207,-195.760033737,0.671439041197,-323.740193309
950.674579556,10,266.4400925065059,0.987745266294,-250.96212197,109,28.2060042625,0.908103328067,-950.674579556,0.0,-4.87688112116e-10,2.68517329102,0.00664453500633,-163.643650704,-166.400892838,0.649733326687,-310.242155577
