NumTrajs,StdReturn,MinReturn,AverageDiscountedReturn,LossAfter,LossBefore,AveragePolicyStd,dLoss,Iteration,MeanKLBefore,MaxReturn,Total cost,ExplainedVariance,Entropy,AverageReturn,MeanKL,Perplexity
403,29.3640101461,-321.033846309,-161.345254205,-0.212125213583,-0.0,1.0,0.212125213583,0,0.0,-178.700790775,254.3558818092216,4.84012829816e-12,1.4189385332,-248.604930771,0.00553940958496,4.13273135412
404,30.7809285017,-331.886441117,-164.379117796,-0.500151569021,-1.18126203364e-16,1.00116927583,0.500151569021,1,0.0,-175.300086689,257.0008304915315,0.900992030358,1.42010712596,-252.278439849,0.0072664483824,4.13756365701
404,33.8872519623,-338.667554972,-167.219981298,-0.0471587878044,-3.16747462298e-16,1.00875001478,0.0471587878044,2,0.0,-168.969611195,261.46003001963373,0.895117763731,1.42765048846,-256.801941168,0.00319339381345,4.16889281456
404,35.3112958114,-332.810209518,-170.216496596,-0.259370248436,1.07514311624e-16,0.997982415026,0.259370248436,3,0.0,-149.420432577,266.01588975526136,0.895734123755,1.41691891016,-261.73453985,0.00470903839925,4.12439321744
404,34.3797778054,-330.020649573,-166.416544255,-0.437352490084,-3.41131818668e-16,0.997018429287,0.437352490084,4,0.0,-163.851238899,260.71516423630214,0.893878150803,1.41595250876,-256.39562109,0.00908703424452,4.12040932335
404,32.0919848956,-330.444578357,-156.829919045,-0.10036263153,-1.89675803418e-16,0.982940562345,0.10036263153,5,0.0,-156.727318286,248.07990127349862,0.869773897355,1.40173190697,-240.837298619,0.00627576449717,4.06222928124
404,32.7584620383,-313.623427175,-154.127382125,-0.0864520644237,4.12825408943e-16,0.982151903114,0.0864520644237,6,0.0,-161.17950455,242.51020702354043,0.871692059841,1.4009292381,-234.594566302,0.00691799734632,4.05896996451
404,37.6458624619,-321.842375172,-155.959886251,-0.248999708105,1.05553418683e-16,0.987324817269,0.248999708105,7,0.0,-146.930022265,243.90087880168082,0.860891340842,1.40618233503,-236.72506128,0.00888086945763,4.08034822903
404,40.1197565054,-321.319399034,-153.857613366,-0.17744926425,-3.35157195085e-16,0.967697161388,0.17744926425,8,0.0,-142.480990813,241.5077924038872,0.855697675094,1.38610244275,-233.439654543,0.00806376416305,3.99923240016
404,43.3317103003,-315.661285993,-153.589403786,-0.767363316877,-1.18467197095e-16,0.957598399668,0.767363316877,9,0.0,-114.736359436,242.28284811442688,0.840310329848,1.37561173727,-232.363453986,0.00779511409204,3.95749693097
404,40.9571679565,-317.387708864,-147.132228533,-0.646995579754,-1.51052160828e-16,0.949464797185,0.646995579754,10,0.0,-127.787098148,231.37491835329925,0.831086805294,1.36708170868,-221.824303792,0.00798949343054,3.92388293696
404,37.294334767,-307.369734222,-131.66354393,-0.324504306633,-2.32193640208e-16,0.924000690656,0.324504306633,11,0.0,-122.524346163,207.7172691131587,0.794434827965,1.33989607333,-194.738573764,0.00654013453726,3.8186466255
404,39.8103684106,-312.030853114,-129.115946324,-0.301135174084,-1.70532627455e-17,0.91062219719,0.301135174084,12,0.0,-108.309166361,205.30484180376357,0.798091929587,1.32531135327,-191.412899132,0.00553614814902,3.76335690609
404,40.0699103424,-324.202232352,-129.70829397,-0.166318523917,6.8772395022e-16,0.894343942688,0.166318523917,13,0.0,-107.287192219,207.85614739774996,0.79187380282,1.30727367877,-193.268256837,0.0022522229423,3.69608325332
404,38.2385647694,-320.619868666,-127.549382882,-0.767996163452,-1.87829486584e-16,0.88881852029,0.767996163452,14,0.0,-90.6028518308,205.8211084555353,0.785647461567,1.30107632974,-189.182235167,0.00633399093738,3.67324816693
404,34.7552467938,-289.303269385,-119.415412359,-0.484622109989,-2.23994441898e-16,0.881619856926,0.484622109989,15,0.0,-102.555591307,191.34246379529452,0.757759657454,1.2929442161,-174.868311527,0.00862137449628,3.64349802513
404,31.6972505166,-266.277057868,-113.499321131,-0.115897334037,-4.28641452358e-16,0.864132167302,0.115897334037,16,0.0,-101.502643719,187.2148196302394,0.740756223654,1.27290898274,-167.464381016,0.00299900520053,3.57122610191
404,31.7603374262,-263.231941451,-114.688827692,-0.339801033085,-2.76188138527e-16,0.856499687584,0.339801033085,17,0.0,-97.4637604996,188.7493735311731,0.76204937269,1.26403720723,-169.062439844,0.0071552322787,3.53968311368
404,34.9745436324,-262.001514562,-113.128421042,-0.389550430169,1.414486912e-16,0.839432775721,0.389550430169,18,0.0,-93.7815289996,189.3765294806356,0.72034290608,1.24390965097,-167.923557304,0.0047289607071,3.4691501519
404,34.1114467654,-275.465510567,-110.853371589,-0.0685828840315,-1.60078254274e-16,0.833583708108,0.0685828840315,19,0.0,-89.7264808309,187.30915194741664,0.715069063526,1.23691738101,-164.374611551,0.00852383466793,3.44497752678
404,32.0690072478,-235.091893872,-109.227575618,-0.228799328113,6.54477705075e-16,0.812966531469,0.228799328113,20,0.0,-86.6719047032,187.2825829907093,0.693889192724,1.21187319622,-163.488722467,0.00437573196926,3.35977227446
404,33.224767445,-279.685857752,-109.874286712,-0.120841441549,-7.68996283549e-17,0.792541673001,0.120841441549,21,0.0,-90.1809644438,187.72584686357143,0.698673736562,1.18642834282,-164.41031999,0.00696343447965,3.27536182146
404,33.2345988238,-241.81783193,-107.595239239,-0.266359400162,1.23087242692e-17,0.773014229677,0.266359400162,22,0.0,-90.196520527,185.14799988279202,0.695170979581,1.16148071102,-160.098550237,0.00658310117821,3.19466014417
404,32.1767647766,-225.37817133,-107.305904651,-0.0318386895819,-5.76142820641e-16,0.762666471529,0.0318386895819,23,0.0,-91.2588193269,187.79468838223877,0.663618195696,1.14800406219,-161.571392413,0.00662113310703,3.15189563962
404,31.779033129,-230.819789978,-106.131245062,-0.108225403693,-2.18275317859e-16,0.757145553635,0.108225403693,24,0.0,-90.978898151,185.3388970339282,0.688279260033,1.14073876611,-159.452420863,0.00316704778012,3.12907916914
404,33.1783114568,-241.611296231,-106.945674741,-0.0250605833895,-1.58649430058e-16,0.747836149274,0.0250605833895,25,0.0,-91.7290297203,189.67902860202955,0.695673191443,1.12836715643,-161.829742958,0.00641605409465,3.09060590185
404,32.7870815944,-234.562385425,-105.214253785,-0.0719027693954,3.58162671512e-16,0.745104019809,0.0719027693954,26,0.0,-91.140754336,183.49074662976975,0.673566190866,1.12470708676,-157.006812715,0.00293706338554,3.07931474475
404,31.0151963103,-226.051237887,-104.481344024,-0.139118219568,-5.21816905171e-16,0.731928374518,0.139118219568,27,0.0,-92.7340866243,182.03835595323744,0.685774169104,1.10686591438,-155.652914764,0.00440915219816,3.02486334234
404,31.2465537523,-233.697389983,-105.07603134,-0.0339927342767,4.91054941909e-16,0.722221215174,0.0339927342767,28,0.0,-91.7743590463,183.45050191470807,0.690696500688,1.09351473839,-156.821153199,0.00346581260897,2.98474626056
403,29.5344412068,-225.751304773,-103.238999821,-0.296194651007,3.4988342824e-16,0.724136876284,0.296194651007,29,0.0,-88.5124171463,178.8078190258697,0.70157187559,1.09616368438,-152.490110194,0.00683937945496,2.9926631733
404,32.1174775352,-235.228735342,-103.668781886,-0.16335320709,5.27078684638e-17,0.71804914827,0.16335320709,30,0.0,-91.9544074588,179.7449889616811,0.680554372639,1.08772127256,-153.193897379,0.00476888787889,2.96750422886
404,31.8660641876,-244.853843,-105.424533058,-0.189154028256,4.76116188934e-16,0.715104201961,0.189154028256,31,0.0,-84.5885675558,184.61196975052525,0.682360224648,1.08361152331,-157.813154881,0.00352620983303,2.95533355691
404,32.296658403,-242.654422839,-105.14203685,-0.486964375972,5.51775124134e-16,0.714798014197,0.486964375972,32,0.0,-87.962150959,184.12768819962133,0.691018480792,1.08318325938,-156.512621009,0.00654905740488,2.95406816514
404,32.8237985888,-224.869072622,-103.981106528,-0.060727119003,-2.24285850166e-16,0.709279630602,0.060727119003,33,0.0,-87.8783631993,184.48359153035008,0.646013239684,1.07543310441,-155.962183706,0.00195186342363,2.93126216823
404,33.9952244005,-221.337821265,-102.603039176,-0.167541718678,-7.97663488671e-17,0.715041528374,0.167541718678,34,0.0,-85.7265399342,182.2421311506263,0.646469959249,1.08352387687,-153.102222734,0.00402564545282,2.95507454381
404,31.6984990593,-247.19733127,-102.069591838,-0.122209156884,-5.36461745004e-16,0.705391717909,0.122209156884,35,0.0,-88.8131915869,180.52988366727467,0.670799628395,1.06993653097,-151.538884255,0.00781013749507,2.91519446954
404,31.4176795675,-218.028203833,-101.307162297,-0.126346809664,-4.33868936317e-16,0.677771567924,0.126346809664,36,0.0,-86.1503130711,179.4061416265048,0.670382848258,1.02999356493,-149.658348461,0.0067077219962,2.80104780969
404,29.9964199062,-224.156932979,-101.726072473,-0.158766881965,-1.13919694333e-16,0.6802730678,0.158766881965,37,0.0,-86.6212334689,182.04892884062082,0.682563838187,1.03367754208,-151.150790223,0.0069696472213,2.81138583666
404,33.6631351783,-239.848529763,-100.858123944,-0.0342928335683,-4.47180453261e-16,0.696590826624,0.0342928335683,38,0.0,-82.5493845524,181.05405261692863,0.640672358451,1.05738144328,-149.973022012,0.005423576296,2.87882275018
404,32.1942573067,-227.6186497,-101.663796688,-0.226433282881,-5.82893709916e-16,0.695941473136,0.226433282881,39,0.0,-86.1048567289,181.68813466500168,0.680399222008,1.0564488207,-150.785808517,0.00642616195261,2.87613914666
404,32.574756423,-219.993930541,-99.2903526288,-0.0476216852403,6.16123808618e-16,0.691908078091,0.0476216852404,40,0.0,-87.1859695139,176.79731078067596,0.655452964016,1.05063636589,-146.115170734,0.00884339899769,2.8594702085
404,30.1004279016,-229.000308131,-99.6657248702,-0.100665713546,-3.62868481332e-16,0.672104415804,0.100665713546,41,0.0,-85.2557653828,176.89378856550852,0.672119161074,1.02159696334,-145.990119545,0.00594631339677,2.77762699244
404,28.496079055,-214.926357702,-97.887705779,-0.124717836997,2.15625135547e-16,0.655650450057,0.124717836997,42,0.0,-82.2844161451,174.97786848896678,0.691090935838,0.996811050628,-142.629118528,0.00342545932028,2.70962717229
404,29.7570420885,-227.986097385,-97.7347434017,-0.287347437554,-4.7454847495e-16,0.652293955106,0.287347437554,43,0.0,-88.9546853774,175.68890923319327,0.675219137384,0.991678565936,-143.464395158,0.00621281342649,2.69575568037
404,29.4251608243,-224.283836326,-98.403550708,-0.186462202027,-7.42322631687e-17,0.665390552171,0.186462202027,44,0.0,-88.7772506066,174.5201778192361,0.691503021573,1.01155741898,-143.814191783,0.00667217902301,2.74988039769
404,29.3302256464,-220.821830009,-98.4855767848,-0.110384935922,-4.47514455078e-16,0.65985818657,0.110384935922,45,0.0,-84.1084159601,176.6586907310016,0.671633151281,1.00320819732,-145.032441341,0.00698781432527,2.72701661691
404,30.9832418581,-227.537018493,-99.3677113708,-0.139548193878,1.80266377421e-16,0.675348576924,0.139548193878,46,0.0,-83.890484329,177.9129147726495,0.669944085314,1.02641222206,-146.737908079,0.0060398295166,2.79103423881
404,30.4144481624,-214.34309435,-97.4545472985,-0.0544296011627,1.74382817449e-16,0.688428591895,0.0544296011627,47,0.0,-85.701056364,175.6157319400518,0.657381116534,1.04559485154,-143.63249172,0.00479015298754,2.8450904268
404,31.2922560417,-220.677464555,-97.5559531751,-0.17252943679,9.25524508944e-17,0.685990216744,0.17252943679,48,0.0,-81.1873391146,177.0533659971323,0.644382882375,1.04204662054,-144.198947156,0.00526374999284,2.83501327736
404,31.1799293388,-219.91929607,-98.0456892419,-0.158004683575,-1.23285130768e-16,0.689820223678,0.158004683575,49,0.0,-83.8238133512,176.75593322221812,0.648502859676,1.04761427247,-145.023242306,0.00629607633374,2.8508416671
404,29.6856025292,-211.028274838,-98.1052839457,-0.0553620470828,2.71525626096e-16,0.697573440209,0.0553620470828,50,0.0,-85.1491937042,175.41818853606907,0.670893636578,1.058791053,-144.15041817,0.00767005697905,2.88288362816
404,31.6375983078,-220.490149666,-100.387169861,-0.0648344617052,1.23576816478e-16,0.682116754147,0.0648344617052,51,0.0,-84.124425158,179.6847380195223,0.657557278069,1.03638409118,-148.981212405,0.00511264924537,2.81900529704
404,32.1324776038,-216.492317403,-99.6096856545,-0.0886788055522,-7.03493842449e-17,0.679305757005,0.0886788055522,52,0.0,-84.8409565987,180.26905646378108,0.651991590095,1.03225458529,-148.526785514,0.00405869788449,2.80738820101
404,32.3923240415,-210.960101489,-97.4551458145,-0.0275454978949,5.08910612633e-16,0.667300108654,0.0275454978949,53,0.0,-80.5989225181,176.06577489699166,0.626796705536,1.01442313696,-143.53278199,0.00219222947632,2.75777208164
404,32.784045564,-220.179851574,-99.8590322598,-0.0964039025527,-6.44318167709e-16,0.669755588684,0.0964039025527,54,0.0,-80.7823543616,180.73784029257112,0.650884314559,1.01809610705,-148.236254887,0.00676315869323,2.76791992095
404,30.6231186777,-213.436889195,-96.8189516933,-0.0659140689184,-2.85474683338e-17,0.653111013494,0.0659140689184,55,0.0,-81.7322749892,177.12134225954313,0.642445541002,0.9929303744,-142.901874273,0.00616448616866,2.69913236319
404,28.7784248529,-214.209281313,-97.8129255446,-0.00320439288671,-9.85591526309e-16,0.649469684811,0.00320439288671,56,0.0,-80.9297624219,177.05439602791515,0.671328214755,0.987339414588,-143.459063251,0.00554670538154,2.68408372997
404,29.6120243542,-212.852834302,-97.9896749466,-0.184073477365,4.60886588279e-16,0.653414634956,0.184073477365,57,0.0,-83.5595918028,177.8364919543096,0.671592651473,0.993395151296,-143.953052736,0.00750275804507,2.70038714913
404,29.9976790105,-220.430262891,-96.8448367594,-0.0958677853023,-8.05918061298e-16,0.668172117406,0.0958677853023,58,0.0,-78.6224958302,175.56358293797973,0.639520414838,1.01572905536,-142.687548663,0.00468341885211,2.76137585955
404,29.6187699953,-221.330085271,-98.0099352179,-0.114973997975,-4.478151691e-16,0.686742903318,0.114973997975,59,0.0,-83.308569065,175.87809630600503,0.663606891224,1.04314324542,-143.77892165,0.00169410659949,2.83812392876
404,29.1964492005,-218.345359303,-98.4552520893,-0.209643130199,2.39712156745e-16,0.686521887146,0.209643130199,60,0.0,-84.0308012901,177.4995017803314,0.67222298647,1.04282136115,-144.708290397,0.00724013193995,2.8372105283
404,30.3071521529,-208.720670611,-98.9749367111,-0.101242132697,5.02956061018e-17,0.698703979091,0.101242132697,61,0.0,-82.6296560308,178.14981517148877,0.655688825211,1.06041041476,-146.277184311,0.00422174990094,2.88755584164
404,29.9552431958,-206.595719172,-97.4670301046,-0.0912688146951,-2.22312760804e-16,0.678449427652,0.0912688146951,62,0.0,-82.7354364301,176.95104823617658,0.656682491214,1.0309931952,-143.826008356,0.00806438132518,2.80384922184
404,29.6004303972,-210.614072446,-97.3279007035,-0.037257893976,-2.1052144751e-17,0.689030950997,0.037257893976,63,0.0,-81.3580594548,175.7895843651754,0.663015627925,1.04646944585,-143.700914548,0.00590581137307,2.84757981515
404,31.3701629501,-214.699612099,-96.909990811,-0.121779960858,-1.90336339489e-16,0.69514700609,0.121779960858,64,0.0,-80.3631233025,175.99286901285367,0.641731486469,1.05530659697,-142.518631983,0.00655278791003,2.87285582779
404,30.8885241226,-227.505974244,-97.8696766599,-0.0287869082604,3.83655859543e-16,0.675430270064,0.0287869082604,65,0.0,-83.4150489768,179.07610422858411,0.653245407965,1.02653317915,-144.702284514,0.0072227336086,2.79137185462
404,28.9316213477,-204.526842153,-95.0838473373,-0.0564047918522,-1.88344884818e-18,0.664296976409,0.0564047918522,66,0.0,-80.0673686483,175.3165361763395,0.652648235409,1.00991255734,-139.592529676,0.00610635703161,2.74536094285
404,29.8231870737,-225.523220935,-96.1090561679,-0.054398130306,-5.34089131447e-16,0.665500151623,0.054398130306,67,0.0,-81.328248395,177.65446879166694,0.652929992064,1.01172211989,-142.029139296,0.00387589804073,2.75033334279
404,27.4737542933,-208.261084191,-95.3621697225,-0.365058482097,4.15570856178e-16,0.653814933901,0.365058482097,68,0.0,-79.8949384207,176.83262105737919,0.674823365857,0.994007589947,-139.83358703,0.00678067702063,2.70204147712
404,27.38190037,-202.150853127,-93.0915481539,-0.0192380535924,-1.59405190145e-16,0.627620230121,0.0192380535924,69,0.0,-79.5702812921,173.74912686704766,0.656610757413,0.953118508662,-135.942927512,0.00413798243911,2.5937858035
404,28.0155967254,-198.433102119,-93.5186332619,-0.0601588404165,4.18054229835e-16,0.618792388858,0.0601588404165,70,0.0,-81.3973380856,176.07106287203104,0.651547088408,0.938953073004,-137.417824104,0.00592773715726,2.55730270712
404,28.3959090848,-203.851486061,-93.3523844742,-0.0242838485591,-1.88809677259e-16,0.628476769915,0.0242838485591,71,0.0,-78.6158010931,174.46054015603826,0.654359916393,0.954482320416,-136.766373825,0.00628892262098,2.59732565237
404,29.0552819712,-199.49622758,-94.1645609991,-0.165225463429,-8.88172447474e-16,0.636724554586,0.165225463429,72,0.0,-74.9573695056,175.01160840262503,0.645693629753,0.967520405896,-138.466454,0.00602130273697,2.63141153068
404,29.0532856307,-201.58932157,-94.4359076282,-0.0625168000053,1.04825758637e-17,0.653263232863,0.0625168000053,73,0.0,-79.9379315696,174.50226398698763,0.654498696438,0.993163415384,-138.683744051,0.00982719221736,2.69976144495
404,28.7041033432,-212.156369252,-96.6622307726,-0.29123693402,8.16771754108e-17,0.667997449388,0.29123693402,74,0.0,-84.3551131178,177.45905372030535,0.661363147379,1.01546760947,-142.724989803,0.00648806807564,2.76065400356
404,28.0057424423,-202.315262525,-94.7368643388,-0.151726564014,-7.19878517446e-16,0.66590738033,0.151726564014,75,0.0,-82.9461523673,174.16069234769114,0.666655157286,1.01233384652,-138.564892197,0.00756139657806,2.75201630963
404,28.6974751142,-204.321061674,-95.0219646331,-0.0657743715217,6.2162176803e-16,0.671737306712,0.0657743715217,76,0.0,-83.320000382,172.10549833251216,0.661337601652,1.02105060569,-138.525036369,0.00414045841643,2.77610982918
404,28.8078409158,-209.613260681,-93.868112292,-0.10655834433,3.50090943278e-16,0.672782185939,0.10655834433,77,0.0,-81.4146274747,170.15032212996718,0.653433949693,1.02260488503,-136.774845133,0.00416404154965,2.78042803433
404,26.0267775319,-197.800089772,-93.3368492386,-0.0241369742835,-1.76593614559e-16,0.655665221329,0.0241369742835,78,0.0,-82.4808271821,171.10017026036127,0.674829934815,0.996833579562,-136.213217186,0.00796818862415,2.70968821799
404,26.6909081993,-203.648877522,-94.1301205968,-0.278628386713,-6.8402329982e-16,0.630782102527,0.278628386713,79,0.0,-83.3528666593,174.44879913567937,0.670334869634,0.958143736251,-137.93791511,0.00644423291047,2.60685297273
404,28.2484404436,-220.93767218,-92.736887763,-0.107136210054,6.87050997064e-17,0.647458384091,0.107136210054,80,0.0,-82.9807769839,171.03340932021146,0.643529933426,0.984237774057,-135.170506552,0.00733828749426,2.67577156442
404,29.724965941,-208.248673541,-95.1679532648,-0.00287227789555,-2.07183545003e-16,0.635405372741,0.00287227789555,81,0.0,-81.8160137324,174.4961231669327,0.643916265259,0.965446431705,-139.820122442,0.00694486732728,2.6259597065
404,28.1147824822,-212.438205286,-94.7544981541,-0.0790580075421,4.53631450189e-17,0.634065190182,0.0790580075421,82,0.0,-83.7987258507,174.43042670656604,0.652518450577,0.963335027005,-139.439871059,0.00945740147573,2.62042109202
404,30.8244803726,-217.363759671,-97.7855405527,-0.0356137858889,-2.77521430522e-16,0.636601942212,0.0356137858889,83,0.0,-78.9446398745,180.07069605277943,0.642762134954,0.96732781998,-144.86702759,0.00633836333517,2.63090480667
404,31.9828431581,-217.263752549,-97.1194347644,-0.0928362732506,2.49236826052e-16,0.650115460448,0.0928362732506,84,0.0,-84.7002852509,177.0619018900785,0.637483118081,0.988333232796,-142.82874788,0.00390461983897,2.68675254719
404,30.5505801614,-217.331114898,-95.3342339359,-0.133921379346,-1.35379471123e-16,0.650069233079,0.133921379346,85,0.0,-81.9744039453,174.4758864230237,0.641481843945,0.988262123869,-139.997062507,0.00661681669261,2.68656150189
404,29.3324137885,-211.480058505,-95.6454747999,-0.106846157011,-1.67735204853e-16,0.650262673435,0.106846157011,86,0.0,-81.9455261576,176.2305752486767,0.649554806995,0.988559648457,-141.462649859,0.00260853321901,2.68736093892
404,28.6124625552,-209.634614167,-95.143689502,-0.199497053686,-3.91996316243e-17,0.652466285617,0.199497053686,87,0.0,-81.3945755334,175.3097378366725,0.649023320418,0.991942722532,-140.252417496,0.00492059714876,2.69646787608
404,28.9665744862,-213.849946209,-95.8976008278,-0.114306274219,9.51009865076e-18,0.649539198203,0.114306274219,88,0.0,-79.0502088146,175.96354681982066,0.65901507172,0.987446439863,-140.924800701,0.00438712628305,2.68437101014
404,29.2256794627,-212.042802409,-96.258512259,-0.235456114866,-2.49051338713e-16,0.667933135849,0.235456114866,89,0.0,-83.2539157591,174.3861264718054,0.645722072586,1.01537132671,-141.833898744,0.00927225419056,2.76038821298
403,30.4561021376,-216.880307167,-99.5500212446,-0.1811159626,3.20436771093e-18,0.694043219322,0.1811159626,90,0.0,-82.6627154937,177.65375262590524,0.654862620396,1.05371748847,-147.467900247,0.00684869681761,2.86829417361
403,28.9323620833,-206.760515315,-98.0471708287,-0.0734757995113,3.18035310474e-17,0.690371785833,0.0734757995113,91,0.0,-84.5954489437,175.90870744623317,0.666163837711,1.04841352675,-144.81356289,0.00277764301866,2.85312112531
