StdReturn,Total cost,Iteration,ExplainedVariance,AverageReturn,LossBefore,Entropy,MeanKL,NumTrajs,MeanKLBefore,AveragePolicyStd,dLoss,MaxReturn,MinReturn,AverageDiscountedReturn,LossAfter,Perplexity
28.583586111,255.33136958646173,0,4.80182560381e-12,-249.503864186,-0.0,1.4189385332,0.00156354163753,204,0.0,1.0,23.8948387977,-174.484363216,-307.502838976,-161.724863494,-23.8948387977,4.13273135412
28.7272377592,253.35439208880953,1,0.904359733636,-247.505577658,-7.62027598718e-14,1.417918037,0.00172969358452,204,0.0,0.998980024329,33.9277249398,-183.493472443,-329.139045981,-160.32484843,-33.9277249398,4.12851606869
28.2637357261,256.1864180755987,2,0.903784728469,-250.726941494,6.8052699847e-14,1.42176148564,0.00130777770695,204,0.0,1.00282694071,15.065590948,-180.448422871,-326.404906779,-162.407864039,-15.065590948,4.14441434064
28.0792664069,259.03814811826146,3,0.905219613639,-253.837049532,9.31002082605e-14,1.41549863232,0.00210367936313,204,0.0,0.996566008797,12.2598602235,-187.094460953,-318.693341044,-164.607720335,-12.2598602235,4.11853959101
28.0179247923,254.3097648763651,4,0.904031788926,-247.444929109,-6.76061792615e-14,1.41920213513,0.0016225962734,204,0.0,1.00026363667,15.6079371596,-162.686244894,-311.801670487,-160.38059594,-15.6079371596,4.13382089366
27.1508081836,252.38981042050827,5,0.905185322078,-246.204128403,-6.30728731923e-14,1.41008848899,0.00148856900267,204,0.0,0.991189002159,10.0128782752,-184.031763257,-324.548163586,-159.669739699,-10.0128782752,4.09631786708
27.4649000012,252.05056872813972,6,0.90099951607,-245.357851808,1.32888146441e-13,1.40780744035,0.00156131949207,204,0.0,0.988930628536,27.6461045971,-181.646136691,-301.482206934,-159.200936381,-27.6461045971,4.0869846156
27.6432358245,249.54891190250189,7,0.902627066901,-242.892398872,-9.50295101561e-15,1.3997200843,0.00150378161776,204,0.0,0.980965048091,41.337898897,-185.140646936,-303.106023131,-157.795359896,-41.337898897,4.05406501154
26.394477697,250.82771016199248,8,0.914169640102,-244.18644602,1.60490778058e-14,1.39783610837,0.000991469083877,204,0.0,0.979118673366,35.6411961348,-185.712813296,-305.095073152,-158.689719734,-35.6411961348,4.04643444083
30.1316747664,247.5717201845798,9,0.895043898551,-242.136240642,-6.35900810818e-14,1.39781440614,0.00200260992751,204,0.0,0.979097424542,6.44605950185,-174.697544464,-325.164896903,-157.307552125,-6.44605950185,4.04634662515
28.3295125691,251.83820931317376,10,0.907415144267,-245.943165783,3.79962763094e-15,1.3968830296,0.00121217456797,204,0.0,0.978185940696,22.1096056911,-184.771536092,-306.402019817,-160.190233155,-22.1096056911,4.04257970728
29.9565392315,253.01876068244863,11,0.900352458611,-247.966954654,5.50808202734e-14,1.39836643021,0.00324578149138,204,0.0,0.979638059093,6.1193978274,-178.791566137,-315.496054865,-161.006840092,-6.1193978274,4.04858092251
30.4785663083,252.27375478871198,12,0.900852178086,-247.69623993,-5.23677583531e-14,1.39261954109,0.00167300115905,203,0.0,0.974024333963,16.1631209507,-166.448000992,-315.469750763,-160.541425863,-16.1631209507,4.02538090465
30.712252418,250.34655640914232,13,0.903694717189,-245.269844825,7.22209772674e-16,1.3892296454,0.00160874991516,204,0.0,0.9707280832,5.2867776946,-174.02703049,-316.467668031,-159.533366628,-5.2867776946,4.01175838577
27.4185350575,245.54185666501115,14,0.905828159253,-240.538501415,-6.90544767379e-14,1.38832423223,0.00224314421949,204,0.0,0.969849570977,9.7764498411,-176.296097938,-314.138237447,-156.445995495,-9.7764498411,4.00812773076
28.3135317788,244.5565974733984,15,0.906690807415,-240.376706561,-5.11165559126e-14,1.38978496205,0.00212757955736,204,0.0,0.971267294373,33.2436963398,-162.24921173,-303.571713073,-156.610423683,-33.2436963398,4.01398680069
30.6644169935,250.22174658824463,16,0.900639016347,-245.164345513,-2.28116817411e-14,1.39062822129,0.00234181891905,204,0.0,0.972086669921,37.6924990335,-173.430387081,-317.623125787,-159.43629476,-37.6924990335,4.01737305971
28.8613391245,241.9570372739505,17,0.894149444456,-237.348208089,1.0991809318e-13,1.40180022803,0.00298923670747,204,0.0,0.983007720182,14.2632010166,-170.118620425,-307.481681568,-154.79521977,-14.2632010166,4.06250682654
27.0797499053,239.62711934181206,18,0.898441208705,-234.264818209,1.06363314995e-13,1.4153846457,0.00242973187095,204,0.0,0.996452420079,63.6839216847,-170.200974659,-303.07549554,-152.61397753,-63.6839216847,4.11807015935
26.1220287664,244.07796646202405,19,0.908071074703,-237.588101453,2.52739758994e-13,1.40964491834,0.00125624457766,204,0.0,0.990749437297,26.91914284,-183.971420627,-309.10364862,-154.483954099,-26.91914284,4.0945012636
26.4815986895,243.1800615138644,20,0.901116510525,-236.097281528,-5.77185487204e-14,1.40958067809,0.00126986873559,204,0.0,0.990685793357,30.2437097863,-169.161867701,-302.928152663,-152.980644308,-30.2437097863,4.09423824029
27.2059105783,239.29601219888525,21,0.894538147377,-232.539845914,3.10184245813e-13,1.40399224996,0.00462105365145,204,0.0,0.985164858038,10.3326474044,-173.631917028,-304.212421828,-151.361967591,-10.3326474044,4.07142169779
27.755849602,235.03616770260516,22,0.883357679785,-227.542548003,-4.33107027874e-14,1.39463375367,0.0027746388242,204,0.0,0.975988203194,2.29224319282,-163.493644903,-315.270748246,-148.571827467,-2.29224319282,4.03349704859
26.852926459,229.485753418332,23,0.877973836239,-221.413891277,5.11011477776e-14,1.39930149922,0.00312279484058,204,0.0,0.98055451669,29.7878519549,-158.075035405,-295.271044099,-145.235752831,-29.7878519549,4.05236839555
