ExplainedVariance,Total cost,Perplexity,LossAfter,LossBefore,StdReturn,MaxReturn,NumTrajs,MeanKLBefore,AverageDiscountedReturn,Iteration,Entropy,MinReturn,AverageReturn,AveragePolicyStd,dLoss,MeanKL
4.84079443197e-12,354.3007780551888,4.13273135412,-101.401299835,-100.0,28.9489441953,-178.700790775,403,0.0,-161.427034263,0,1.4189385332,-317.20288847,-248.71895497,1.0,1.40129983461,0.00970092619731
0.906364803209,327.2786545039199,3.80555852211,-101.225445922,-100.0,26.5575940259,-180.407783346,404,0.0,-159.583877969,1,1.3364627669,-323.498857045,-244.920960651,0.920833752794,1.22544592243,0.00718885420704
0.905258080101,308.62826091690835,3.57595939492,-101.748361709,-100.0,28.5572720967,-179.559872162,404,0.0,-159.592726986,2,1.27423350236,-312.543254435,-244.944507976,0.865277485641,1.74836170919,0.00967894595277
0.910059035172,299.70356152341293,3.32596159389,-101.954245298,-100.0,27.7683066681,-181.732385725,404,0.0,-163.986663008,3,1.20175883347,-316.7110586,-253.04887621,0.804785336595,1.95424529778,0.00852472408189
0.91148750251,287.3295411353457,3.14178298558,-101.715603915,-100.0,28.511781295,-188.611115952,404,0.0,-165.081743438,4,1.14479046857,-323.154238611,-254.37220327,0.760219505303,1.71560391524,0.00539831754563
0.906506182359,285.7963730432239,3.11738636372,-102.613917877,-100.0,26.5151917291,-195.943876165,404,0.0,-159.46425908,5,1.13699494682,-313.282874434,-245.508846353,0.754316237035,2.61391787715,0.00680463378286
0.906677695561,281.1999692031526,3.05428209999,-101.940559624,-100.0,28.6048029997,-180.206630073,404,0.0,-161.888841341,6,1.11654457319,-324.544404037,-248.245703156,0.739046852621,1.94055962384,0.00697830787873
0.906683937901,278.5868994913798,2.95188271964,-102.252774893,-100.0,30.0419942175,-177.586194195,404,0.0,-162.690089915,7,1.08244317683,-312.097826812,-250.506066167,0.714269200366,2.25277489336,0.00754655721445
0.901868556272,276.4589147849562,2.8512849202,-102.030572879,-100.0,29.9669050139,-179.937698768,404,0.0,-165.485177982,8,1.04776974187,-320.15549144,-254.505807923,0.689927477952,2.03057287912,0.00757408055903
0.915951537984,282.7451454896642,2.82619476011,-102.335504981,-100.0,29.7419626418,-178.6600921,404,0.0,-172.790682099,9,1.03893119912,-333.446627054,-265.841908387,0.683856393735,2.33550498109,0.00792774225229
0.921197357506,278.97439170602235,2.7377103817,-102.386023898,-100.0,28.5570476116,-187.388082819,404,0.0,-171.404778899,10,1.00712194395,-328.057070194,-264.454211159,0.662445764583,2.38602389762,0.00651593899388
0.910667092537,271.43391245406633,2.71637711836,-101.600862694,-100.0,28.5636213991,-171.585279108,404,0.0,-164.936576298,11,0.999299050705,-321.028052753,-253.980499962,0.657283739397,1.60086269399,0.00556815175514
0.916141211905,272.00857276120473,2.70567202491,-104.062907228,-100.0,29.2378339823,-177.007391888,404,0.0,-166.891280998,12,0.995350319487,-334.775752813,-257.028563803,0.654693420179,4.06290722813,0.00972309908862
0.917752715868,272.84951999784823,2.69089611346,-102.697855283,-100.0,28.1860837183,-168.780838031,404,0.0,-167.032944199,13,0.989874265821,-323.892631792,-256.686660257,0.651118082181,2.69785528294,0.00826459222957
0.918870946774,269.25120598179257,2.62126379786,-102.740679514,-100.0,27.4143296333,-187.836974493,404,0.0,-166.010170399,14,0.963656567067,-325.428457382,-255.242136444,0.634269100324,2.74067951399,0.00724164953904
0.907798738382,271.7717324929565,2.6003407148,-102.541980639,-100.0,30.6177716408,-180.983701541,404,0.0,-166.36229693,15,0.955642480594,-324.803665229,-256.995001826,0.629206326756,2.54198063939,0.0072019146515
0.907953162289,267.5810135102508,2.53531497756,-102.47920205,-100.0,29.6818541515,-188.114594242,404,0.0,-164.777613672,16,0.930317880827,-317.679100477,-253.455921776,0.613472002004,2.47920204956,0.00735726959634
0.91268538347,270.83489010710423,2.51216387485,-102.692684645,-100.0,29.7450874828,-187.508528886,404,0.0,-168.399135444,17,0.92114448328,-322.551775288,-259.173466025,0.607870112907,2.69268464451,0.00728489625187
0.91711803509,267.6358748959138,2.51144107522,-102.989826819,-100.0,27.3220091652,-198.566996886,404,0.0,-165.522709942,18,0.920856721947,-325.7553804,-254.283757784,0.607695216559,2.98982681922,0.00787855762144
0.923366419564,264.5857120599838,2.47555003856,-103.184359031,-100.0,25.659580192,-180.641239077,404,0.0,-161.303840673,19,0.906462609132,-324.03358148,-247.491388107,0.599010636414,3.18435903127,0.00832844480401
0.910198093838,268.67521329960124,2.45027600242,-102.482070123,-100.0,29.8731911703,-189.272756873,404,0.0,-166.267689287,20,0.896200672259,-325.590721109,-255.875651803,0.592895059576,2.48207012289,0.00759845990677
0.919360558921,270.86692700320174,2.41204420206,-102.161122794,-100.0,28.3313737001,-189.32273903,404,0.0,-169.064262518,21,0.880474604591,-343.369719067,-259.716181891,0.583644083144,2.16112279429,0.008528328567
0.92402090367,278.8782197658113,2.41182350892,-102.188407653,-100.0,27.9750223097,-193.487719079,404,0.0,-174.83390744,22,0.880383104098,-341.632593026,-269.303864304,0.583590681866,2.18840765349,0.00803453797514
0.929690529933,284.8432923709677,2.39320600889,-102.364213092,-100.0,27.7731385565,-196.135414154,404,0.0,-178.812967172,23,0.872633893349,-357.898900265,-276.49485215,0.579085791895,2.36421309184,0.00610230811684
0.918081700312,273.5287100301413,2.37857104392,-102.959412123,-100.0,27.6457036775,-202.761677057,404,0.0,-172.065368673,24,0.866499905657,-329.906385134,-264.519227302,0.575544558818,2.95941212316,0.008771121071
