Entropy,MinReturn,ExplainedVariance,LossAfter,AverageDiscountedReturn,MeanKLBefore,AveragePolicyStd,LossBefore,Perplexity,AverageReturn,StdReturn,Total cost,MaxReturn,dLoss,MeanKL,Iteration,NumTrajs
1.4189385332,-317.20288847,4.88842299973e-12,-101.068846176,-159.813664299,0.0,1.0,-100.0,4.13273135412,-245.850128374,30.1801678509,351.36325756551867,-178.700790775,1.06884617619,0.00670006256417,0,204
1.3592681387,-345.002608868,0.902504469196,-102.242560276,-163.026292789,0.0,0.942074995516,-100.0,3.8933428719,-250.313591081,30.2040081577,334.78825300602307,-185.316917154,2.24256027648,0.00949262777883,1,204
1.31488623921,-309.637729472,0.904425698632,-101.434046635,-164.767373991,0.0,0.901178169987,-100.0,3.72432727876,-253.187584368,29.837157859,320.3847988745541,-178.66798415,1.43404663497,0.0063962398534,2,204
1.27218023997,-308.402012305,0.900394890266,-101.951800019,-159.237859071,0.0,0.863502666629,-100.0,3.56862454474,-245.110299002,26.8864928743,308.46136616220105,-182.954374498,1.95180001881,0.00797620839764,3,203
1.23964620049,-321.523301599,0.904584832661,-101.615131196,-164.249804679,0.0,0.835861514011,-100.0,3.45439108666,-253.313895449,29.1357661465,307.6514948243693,-178.072466257,1.61513119613,0.00603558410623,4,204
1.20822228494,-312.855817889,0.908587512979,-101.584014632,-158.525758597,0.0,0.810003874278,-100.0,3.34752840819,-244.169317807,26.8244606944,296.578263230079,-179.408673937,1.58401463196,0.00660614848849,5,204
1.17890922696,-322.281088508,0.896760994777,-101.99747902,-164.053973554,0.0,0.786604808296,-100.0,3.25082635455,-252.458562996,31.7874955085,294.7565067092004,-185.879815872,1.99747901985,0.00558403566462,6,204
1.15132590207,-319.185113144,0.90033475263,-102.728147229,-163.89380868,0.0,0.765204139955,-100.0,3.1623831415,-252.23806523,29.6130999811,290.5842730186873,-181.351273281,2.72814722853,0.00953357111387,7,204
1.10436143772,-315.550764665,0.909288352129,-103.124765886,-167.593405783,0.0,0.730097570547,-100.0,3.01729712137,-257.331366087,29.9109823263,283.27778639751335,-175.849600094,3.12476588603,0.00740115654721,8,204
1.11226056751,-322.106551727,0.908702004557,-102.937410261,-167.443517334,0.0,0.73588754379,-100.0,3.04122552533,-257.612939725,28.8004090757,287.25274763402143,-186.975902134,2.93741026108,0.00796053969091,9,204
1.10757585386,-305.924272448,0.895120933443,-102.865725795,-157.633656135,0.0,0.732448183862,-100.0,3.02701157472,-242.573576697,27.1157387488,276.51367600379535,-176.002981409,2.86572579531,0.00817894034329,10,204
1.07414406663,-324.660522466,0.903348666375,-102.359856194,-166.458892155,0.0,0.708365931382,-100.0,2.92748609482,-256.75845633,29.4530935201,282.2598280937257,-175.798205627,2.35985619385,0.0061861535249,11,204
1.05998114706,-324.106282009,0.903357584499,-102.828764508,-169.048029117,0.0,0.698404112408,-100.0,2.8863165732,-260.251348472,31.157114481,282.9156391600809,-184.275169601,2.82876450776,0.00727235465201,12,204
1.04049689337,-315.467940497,0.915862586977,-102.804613913,-170.628304826,0.0,0.6849279424,-100.0,2.83062318287,-262.305932859,29.0761584959,282.17598668370437,-189.792828756,2.80461391337,0.00759329573495,13,204
1.02767956429,-326.194944764,0.920807576547,-103.556876764,-177.558119683,0.0,0.676205017285,-100.0,2.79457367675,-274.457117476,30.2674460963,290.7953542369711,-181.511895983,3.55687676405,0.00736029018639,14,204
1.02556381729,-328.286662725,0.917297719883,-102.704389708,-172.267746288,0.0,0.674775850955,-100.0,2.78866731625,-266.713774547,29.3551404798,285.1398619605613,-195.257018485,2.70438970785,0.0059191941034,15,204
0.99604874498,-321.893549924,0.910196033773,-102.47950511,-166.771021474,0.0,0.655150834469,-100.0,2.70756239529,-256.875351225,29.9263317353,273.3949353449569,-192.675211161,2.47950511005,0.00666616814795,16,204
0.982312323292,-316.982790464,0.91666858988,-104.400554273,-169.780986492,0.0,0.646212934262,-100.0,2.67062445486,-262.552040099,28.7927938537,276.7296943614185,-195.151502853,4.40055427261,0.00998016469788,17,204
0.978904842982,-304.178858319,0.907190251026,-103.520083778,-160.069694682,0.0,0.644014723718,-100.0,2.66153984123,-247.421517193,26.5079531866,268.56741733533454,-190.467905547,3.52008377769,0.00729600175261,18,204
0.970458334609,-303.794494621,0.929271463993,-104.254319355,-154.243108343,0.0,0.638597956551,-100.0,2.63915379772,-237.061771861,19.0220515636,264.92225317306537,-199.082514695,4.25431935472,0.00894043335304,19,204
0.960155046369,-309.317385232,0.908090984108,-103.804646165,-161.594658997,0.0,0.632052077681,-100.0,2.61210143887,-249.575623755,26.9800937546,269.7437273329138,-196.309525329,3.80464616505,0.00961700056301,20,204
0.950146903057,-325.102823241,0.910245844381,-103.152563154,-163.164800829,0.0,0.625757958666,-100.0,2.58608953587,-252.217010998,28.7593050258,267.751653416405,-184.597835783,3.15256315447,0.008527851015,21,204
0.963151845834,-315.634691529,0.90615857151,-102.409989068,-159.905504463,0.0,0.633949052016,-100.0,2.61994112418,-245.279600636,28.3569008059,264.41610994129815,-196.197336419,2.40998906794,0.00996076120582,22,204
0.952611081667,-301.664439911,0.909736830381,-102.275203184,-152.132774054,0.0,0.62730183946,-100.0,2.59246998044,-234.538170477,23.1525682152,260.9376687059889,-195.111160231,2.27520318428,0.00660226493327,23,204
0.937441712843,-302.093964978,0.92103577513,-103.554623447,-152.593215406,0.0,0.617857877063,-100.0,2.55344062093,-234.854954644,22.8944529198,260.72163942676036,-174.22535115,3.55462344723,0.00916161246455,24,204
