dLoss,NumTrajs,AveragePolicyStd,LossBefore,AverageReturn,ExplainedVariance,MaxReturn,StdReturn,LossAfter,MeanKLBefore,MeanKL,AverageDiscountedReturn,MinReturn,Entropy,Total cost,Iteration,Perplexity
0.138850789043,104,1.0,-0.0,-243.86984754,4.90640861273e-12,-178.700790775,31.8382039425,-0.138850789043,0.0,0.00760556466894,-158.742932328,-317.20288847,1.4189385332,349.5768465625214,0,4.13273135412
0.0821039069398,104,0.982108663214,-3.1943973353e-16,-257.76105388,0.904166618683,-190.949261141,29.9201347884,-0.0821039069398,0.0,0.00340953670253,-166.80614768,-312.18788681,1.40088521146,350.21320110889474,1,4.05879126562
0.21079645793,104,0.967950258576,-7.71062783281e-16,-263.684106266,0.915790558702,-191.750058817,29.5871779589,-0.21079645793,0.0,0.00988805655644,-170.630264676,-319.69404635,1.38636395441,349.8007433143565,2,4.00027838285
0.293311991466,104,0.953931376677,1.14100534625e-16,-251.768547404,0.892521055835,-167.86490391,31.5228496054,-0.293311991466,0.0,0.00582220544859,-163.328526663,-328.292338661,1.37177499088,337.6099194504308,3,3.94234211007
0.262849941992,104,0.929594419504,-5.29830565143e-17,-251.5228651,0.907501175277,-183.296550923,29.7164826778,-0.262849941992,0.0,0.00793400326776,-163.298562989,-313.620984894,1.34593163719,329.88321514845666,4,3.8417640041
0.484142425319,104,0.908661722791,-2.18050994595e-17,-258.536296125,0.915977529902,-189.983745776,29.6198657128,-0.484142425319,0.0,0.00574215505691,-168.914723864,-322.718987344,1.32315613699,327.59927168798504,5,3.75525479207
0.556089563349,104,0.875072811905,5.36245680595e-16,-254.35207887,0.890266124448,-173.19617992,33.5201734038,-0.556089563349,0.0,0.00596091166941,-166.33955594,-316.246528433,1.28549035072,313.94091758916244,6,3.6164408469
0.693256932038,104,0.856541200233,5.73393138081e-17,-249.214001199,0.896825424959,-174.393318834,32.5372239448,-0.693256932038,0.0,0.00735231897166,-162.779708029,-317.09343333,1.26408567385,306.5833597444527,7,3.5398546743
0.279644119144,104,0.836208203487,-8.04219489519e-17,-238.629561561,0.89204757316,-163.50419156,33.693319425,-0.279644119144,0.0,0.00780411127321,-155.584117592,-320.047996596,1.24006088353,297.086700900332,8,3.45582386113
0.0907610968711,104,0.821661732948,-1.69102113241e-16,-239.866672283,0.877820423037,-183.545235151,29.5815357526,-0.0907610968711,0.0,0.00555998073073,-155.942282709,-309.399051398,1.22251204749,296.9331056757761,9,3.39570720624
0.542213278947,104,0.808545205522,-1.96963865304e-16,-245.487153305,0.871246682816,-177.641604835,37.5250114511,-0.542213278947,0.0,0.00846123498434,-160.210881001,-330.69365947,1.20641984451,295.53218001483873,10,3.34150012209
0.202666651939,102,0.780044249294,-3.33473435574e-16,-240.638392759,0.874123437559,-152.491018364,35.5250445571,-0.202666651939,0.0,0.00585429950496,-155.975366057,-319.920876155,1.17053390216,283.36618083472484,11,3.22371332666
0.305626420956,104,0.758780364056,-1.04861636227e-16,-247.076582196,0.865673423907,-160.840065479,39.3597970369,-0.305626420956,0.0,0.00663608221541,-159.585130241,-322.012893866,1.14289561432,288.18986954126916,12,3.13583540143
0.175881261775,104,0.756467270693,-2.69846219219e-16,-236.219401333,0.854338964316,-150.226587749,39.0511162738,-0.175881261775,0.0,0.0098928565759,-153.535361594,-308.929963713,1.1398425224,279.0080708629866,13,3.12627600796
0.453841827094,104,0.745166510113,-6.36409890035e-17,-217.119663449,0.834629878033,-150.891725396,29.7464573433,-0.453841827094,0.0,0.00690468778934,-142.013713495,-303.533838381,1.12479095114,264.1147750819707,14,3.07957300039
0.395216296771,104,0.714811852588,3.4240764567e-16,-216.53313399,0.833282611953,-149.894092917,35.6854675951,-0.395216296771,0.0,0.00575707672121,-141.949572071,-304.815272785,1.08320261906,257.10793299417213,15,2.95412535549
0.730286552655,104,0.701633301783,-3.08837686509e-16,-207.369671885,0.834751016106,-142.504019939,33.3172790643,-0.730286552655,0.0,0.00776641721526,-136.889583738,-283.540248112,1.06459415964,245.8379544645615,16,2.89966194537
0.267749840393,104,0.673044740167,2.52421209642e-16,-196.778217511,0.833439751732,-140.37008505,29.6779176576,-0.267749840393,0.0,0.00714564751071,-130.830676106,-261.43757535,1.02299506036,233.84499809479726,17,2.78151310042
0.270553414601,104,0.652721135584,-8.99798395514e-17,-186.520066914,0.8280461156,-119.472401444,28.4067123903,-0.270553414601,0.0,0.00699302219821,-125.417503896,-266.427806199,0.992333241114,223.47403828354672,18,2.69752110253
0.015094671371,104,0.636828268197,-1.28669489794e-16,-184.26979656,0.798503115674,-118.743023323,31.1155355095,-0.015094671371,0.0,0.00620311556263,-123.771634051,-264.73347689,0.96768327878,219.91723891467112,19,2.63184015117
0.646476729003,104,0.63363771418,-2.99602644635e-16,-187.927702266,0.771820235664,-119.99218295,37.0531635321,-0.646476729003,0.0,0.00740666061248,-125.988655962,-290.207794153,0.962660616593,223.7785154395806,20,2.61865444854
0.346849547096,104,0.612585377715,4.29344089552e-17,-163.654637387,0.735756724031,-110.085428573,30.3615367711,-0.346849547096,0.0,0.00815653618246,-112.935572972,-242.279767588,0.928871579115,202.68902371266083,21,2.53165079756
0.469436305935,104,0.592704459207,2.1313284503e-16,-164.561810442,0.734969872759,-96.4007007895,30.552320794,-0.469436305935,0.0,0.00618329948276,-112.242874539,-243.394900193,0.895879146536,201.44004043101143,22,2.44948830229
