NumTrajs,MaxReturn,Entropy,AveragePolicyStd,LossBefore,AverageReturn,StdReturn,Perplexity,Total cost,MeanKL,MeanKLBefore,dLoss,LossAfter,ExplainedVariance,Iteration,MinReturn,AverageDiscountedReturn
209,-178.700790775,1.4189385332,1.0,-0.0,-245.208537118,29.7101448896,4.13273135412,251.87909719376006,0.00196161184251,0.0,0.11930855036,-0.11930855036,4.93882712505e-12,0,-317.20288847,-159.489734773
209,-180.722420143,1.41425057823,0.995323016337,4.15444750454e-16,-248.442729338,28.5329363114,4.1134026371,253.83473804208305,0.00213725091739,0.0,0.0819425756873,-0.0819425756873,0.903806716533,1,-322.997151164,-161.284279303
209,-176.211723298,1.41411298659,0.995186077633,-1.77312982364e-16,-247.397762979,29.0499144295,4.11283670622,252.85602393970433,0.00207130470885,0.0,0.107262157154,-0.107262157154,0.896591450374,2,-336.316935968,-161.396191046
208,-170.533532814,1.41313052493,0.994208825597,-1.3875182129e-17,-255.882473174,31.7622647805,4.10879798609,260.10154771948436,0.00453699828582,0.0,0.115156520535,-0.115156520535,0.898617334457,3,-322.316589358,-165.973849756
209,-168.509839981,1.40697857051,0.988111273379,3.08929213562e-16,-242.884215581,28.7447085097,4.08359844085,248.45097866736714,0.00172333844732,0.0,0.102730749731,-0.102730749731,0.888685044979,4,-309.122147714,-158.209395324
209,-180.410659041,1.40371750251,0.984894223687,8.41026446111e-17,-244.933024362,30.9527777367,4.07030323873,250.99106632046593,0.00811764909532,0.0,0.072282077618,-0.072282077618,0.891714746857,5,-314.634243042,-160.179659238
209,-168.548463708,1.40781763296,0.988940708374,2.45746735869e-16,-234.356708116,33.6845022439,4.08702627287,242.1227007966678,0.00650245261916,0.0,0.0779446713152,-0.0779446713152,0.875351478711,6,-326.375073804,-155.439066648
209,-152.707922161,1.4006547509,0.981882351981,2.66427130752e-16,-228.786670497,34.1084831091,4.05785598209,238.4371534700036,0.00384695770304,0.0,0.210645400706,-0.210645400706,0.870121550095,7,-320.794625985,-151.465851808
209,-138.270257931,1.40495392076,0.986112718009,1.06722826963e-16,-218.012351098,33.8542261388,4.07533894841,227.74539085563106,0.00489267452751,0.0,0.113625614335,-0.113625614335,0.857068238199,8,-323.470295145,-145.788567846
209,-145.065451967,1.40812313895,0.989242881835,-1.4183703991e-16,-216.814305467,35.4668154447,4.0882750746,225.77200143404428,0.00459852219595,0.0,0.159950795644,-0.159950795644,0.854037089398,9,-306.829667368,-145.971880075
209,-137.153505041,1.39559192257,0.976923812903,2.60539515877e-17,-199.733033982,31.8917817829,4.03736367217,210.86621945130307,0.00790111474643,0.0,0.131006351651,-0.131006351651,0.845938889577,10,-298.220445869,-135.952018675
209,-119.834910089,1.3788541714,0.960708388638,-2.66425355332e-16,-190.791324227,32.6528092392,3.97034967989,203.439596304311,0.00752225660596,0.0,0.274482398061,-0.274482398061,0.83039793765,11,-285.933266922,-129.807735992
209,-117.58913747,1.35765327136,0.940554897075,-3.03316747736e-16,-177.849188308,27.9910609866,3.88706071341,192.2389360145922,0.00634590782776,0.0,0.108431971533,-0.108431971533,0.825248733008,12,-257.394066998,-121.348689409
209,-113.466701776,1.34512687957,0.928846622256,6.63355238838e-17,-169.843356382,27.8216382522,3.83867355897,187.76328794975905,0.00661155909001,0.0,0.137861932487,-0.137861932487,0.809491309132,13,-265.01825713,-116.207547617
209,-108.848477327,1.32792332209,0.913003822988,-1.17998254004e-16,-162.387323763,27.2902370818,3.77319952569,180.97994918770004,0.00822763126887,0.0,0.013702235169,-0.013702235169,0.79890909698,14,-246.946282351,-112.411722119
209,-103.31760892,1.31369127135,0.900101934194,-1.70671949117e-16,-160.342752654,27.661273047,3.71987948535,180.7470893098567,0.00844838343591,0.0,0.140859234226,-0.140859234226,0.814058490379,15,-279.585153216,-111.474962528
209,-98.831074637,1.29185500288,0.880660107704,5.0667607517e-16,-152.20506218,27.2444392728,3.63953163943,174.0220475943979,0.00567907483658,0.0,0.0812883829255,-0.0812883829255,0.783653783215,16,-241.774684551,-105.980400344
209,-109.938498256,1.2640684896,0.856526481348,-3.62121163808e-16,-149.375803197,23.512115976,3.5397938451,173.03696264623832,0.00457332327131,0.0,0.0895309543335,-0.0895309543335,0.813941894053,17,-229.365288548,-104.394314994
209,-94.0623635206,1.24806259912,0.842926145387,-2.96113996826e-16,-143.737379399,24.8753719979,3.48358731025,168.7501293176527,0.00753450405169,0.0,0.0574877987167,-0.0574877987167,0.789934570126,18,-241.207432776,-100.827337624
209,-94.5055345208,1.22160449925,0.820916373564,2.30373119954e-16,-141.81820294,26.7246696553,3.39262683614,167.9284816949402,0.00568073394355,0.0,0.0329634851532,-0.0329634851532,0.755137288831,19,-227.582149201,-99.4673058438
209,-88.618880071,1.221609196,0.820920229218,2.62847252184e-17,-145.50292785,26.2399428232,3.39264277052,171.5427298829747,0.00415066350533,0.0,0.0595382082033,-0.0595382082033,0.768680943833,20,-245.116694297,-101.354178392
209,-87.7746102187,1.19997330805,0.803349654026,5.83938124882e-16,-141.846206659,25.8106277994,3.32002830352,167.44515710628832,0.00921616813316,0.0,0.0719595138059,-0.0719595138059,0.754375031057,21,-238.599343855,-99.0364398167
209,-91.543860558,1.18048728504,0.787847096316,-1.24108986376e-16,-138.525916698,24.8404378913,3.2559603972,166.66634399559888,0.00285332652846,0.0,0.0721142334268,-0.0721142334268,0.771779326485,22,-229.655650505,-97.3714155693
