MinReturn,Iteration,LossAfter,Perplexity,MeanKL,Total cost,NumTrajs,StdReturn,MeanKLBefore,Entropy,AverageReturn,AveragePolicyStd,AverageDiscountedReturn,ExplainedVariance,MaxReturn,dLoss,LossBefore
-307.502838976,0,-1119947.66814,4.13273135412,0.00899157945045,254.64614557415126,204,28.5191362216,0.0,1.4189385332,-249.046007055,1.0,-161.553348681,4.80859796426e-12,-174.484363216,18847.4793447,-1101100.1888
-348.18931241,1,-1823615.96114,4.16760425724,0.00580127409185,255.11372280291266,204,29.1168391415,0.0,1.42734135206,-249.837280908,1.00843822163,-162.753947176,0.89976215111,-171.701038677,14149.8719731,-1809466.08917
-313.732689767,2,-1313051.89105,4.18337359995,0.00746066742284,254.06844408998003,204,29.5819285829,0.0,1.43111800235,-248.215864001,1.01225394091,-161.215324682,0.897698287761,-168.854352961,17950.1981025,-1295101.69294
-320.729444549,3,-1442994.18611,4.15527094153,0.00660102987649,249.9019929040833,204,27.7450166658,0.0,1.42437763473,-243.762978696,1.0054539203,-158.820138751,0.904842840132,-182.764579853,14815.9556419,-1428178.23047
-306.912232441,4,-1286878.83411,4.13006783368,0.00714756100197,249.54058509827868,204,28.0878022582,0.0,1.41829383146,-243.793770589,0.999355506028,-159.391017326,0.898661094746,-172.726820601,17022.2689637,-1269856.56515
-333.418321978,5,-1496810.53478,4.17425739607,0.00682938129931,254.5106365292379,203,28.9298234752,0.0,1.42893647328,-248.616910914,1.01004808646,-162.127349107,0.899895729492,-184.786490718,17193.8045035,-1479616.73027
-325.402346817,6,-1569842.49786,4.17021682278,0.00578236965601,247.69357646480023,204,29.3752494805,0.0,1.42796803033,-240.514910726,1.00907038601,-156.346822156,0.890728853358,-173.253261656,14158.8116016,-1555683.68626
-299.824059796,7,-1238893.94643,4.18115543729,0.00684026172484,240.85574879472708,203,22.4976680311,0.0,1.43058762874,-231.722343794,1.01171721049,-150.382350654,0.908973043764,-172.20238117,16833.3792996,-1222060.56713
-289.911435873,8,-1212804.7205,4.15982699806,0.00631263288469,239.1653146935298,204,23.9085153846,0.0,1.4254734864,-230.155679959,1.00655635259,-149.471747272,0.910247201477,-172.133741387,16618.7429822,-1196185.97752
-293.05608342,9,-1262289.45103,4.08953333241,0.00823277287126,239.57291825459367,204,25.6113064021,0.0,1.40843086389,-231.786996384,0.989547343389,-150.5494701,0.904774180927,-165.364626316,21623.1396237,-1240666.3114
-292.375917242,10,-1262423.15644,4.02506689656,0.00936408557241,235.75797772446077,204,24.017976047,0.0,1.392541531,-226.437963663,0.973948353199,-147.784383534,0.901668659486,-163.662633896,21465.7205074,-1240957.43593
-268.609630395,11,-850992.62884,4.05914446942,0.00752084414402,235.50259182709522,204,20.0055651164,0.0,1.40097222959,-224.976000345,0.982194128193,-147.012903575,0.925200407292,-158.391271227,20217.8905566,-830774.738284
-280.539310172,12,-1154412.93519,4.09077910038,0.00702411338883,228.52296377239833,204,24.9803057066,0.0,1.408735441,-219.318615546,0.989848782767,-144.62158794,0.903239332846,-159.544661786,18715.7715393,-1135697.16365
-305.025123401,13,-1572651.21444,4.07923414415,0.00744992046166,229.6757981866241,204,31.3242440184,0.0,1.40590926103,-220.168152002,0.987055241343,-144.719546188,0.855700565286,-145.029261542,19302.4631966,-1553348.75124
-279.95937927,14,-1248030.98473,4.05678481607,0.00782177566843,222.2744159799306,203,25.5441948672,0.0,1.40039074266,-211.245014676,0.981623161163,-139.040344181,0.877715994929,-128.800778839,19477.3573308,-1228553.6274
-282.33228178,15,-1265256.01154,4.00478262911,0.00910953671346,226.055733606551,204,24.9825918638,0.0,1.38748930417,-215.989174831,0.969040154307,-140.949084664,0.871460520186,-149.779791315,22122.976369,-1243133.03517
-270.008069153,16,-1186919.12522,3.96823734232,0.00701512146281,221.5488437985452,204,24.6513945691,0.0,1.37832200173,-210.63064055,0.960197264785,-137.862130353,0.877720326121,-146.605181796,19444.0326256,-1167475.09259
-256.609645977,17,-1014114.34932,3.8558528048,0.00654918978367,213.87167537527628,203,26.8177459606,0.0,1.34959220299,-201.776729948,0.933003496818,-133.239427914,0.847352159668,-141.645036695,18198.1049135,-995916.244407
-275.078892249,18,-1323303.73482,3.81849862905,0.0097152492647,212.61265403639277,204,26.5067503098,0.0,1.33985731632,-199.470594898,0.923964879847,-131.288525867,0.848063981881,-127.571920659,23765.81042,-1299537.9244
-244.065784977,19,-978243.212798,3.72836952418,0.00588781147508,208.0849817409397,204,27.2693346935,0.0,1.31597101321,-194.061443237,0.902156275042,-129.031453654,0.84531107089,-133.313634224,16691.0038227,-961552.208976
-248.985481856,20,-1164702.33201,3.74091397992,0.00803866263584,208.60814085437917,204,29.2145514441,0.0,1.31932996123,-192.695363834,0.905191666086,-128.127786361,0.829227191251,-121.870343775,22626.5976551,-1142075.73435
-268.979029664,21,-1476479.9044,3.74177976759,0.00907267100698,207.11125128935666,204,29.9115494472,0.0,1.31956137192,-190.641860481,0.905401161354,-127.157057961,0.806153175538,-111.358918849,23540.1897704,-1452939.71463
-255.882105678,22,-1409818.86238,3.74093542886,0.00867612177267,203.07692959190018,204,30.6773430761,0.0,1.31933569482,-186.421695539,0.905196856101,-124.446791085,0.795440647615,-110.012847045,21100.5161121,-1388718.34627
-270.078749241,23,-1588165.74438,3.71706126302,0.00720615853182,206.0589158863938,204,32.1779201954,0.0,1.31293337302,-188.616348627,0.899420006895,-125.552141012,0.768498365759,-106.731370763,18422.7162322,-1569743.02815
