MaxReturn,AverageReturn,AverageDiscountedReturn,MinReturn,Total cost,AveragePolicyStd,MeanKLBefore,dLoss,Perplexity,StdReturn,LossAfter,MeanKL,Entropy,LossBefore,Iteration,ExplainedVariance,NumTrajs
-174.484363216,-249.985491072,-162.194412834,-307.502838976,255.27802779639623,1.0,0.0,12.5715952141,4.13273135412,28.8466743062,-12.5715952141,0.00177681838444,1.4189385332,-0.0,0,4.75464112526e-12,204
-184.300769747,-249.177844298,-161.160517403,-315.48988851,254.9886490022485,0.99648156333,0.0,10.68573288,4.11819060058,29.6091118698,-10.68573288,0.00390745422694,1.41541389228,2.7627134437e-14,1,0.901415440487,204
-178.119670503,-245.49241046,-158.923633095,-313.586150351,252.18055824418522,0.998886322559,0.0,3.17347527791,4.12812882445,27.6416239136,-3.17347527791,0.00426615547787,1.41782423516,-7.6008862684e-14,2,0.905334249835,204
-178.064040437,-242.68868352,-157.551327414,-317.241903065,249.5736373731801,0.999462750535,0.0,1.04604451764,4.13051104641,27.0017628184,-1.04604451764,0.0057354581075,1.41840113937,-3.94177199668e-14,3,0.908998726471,204
-171.816816377,-240.585288388,-156.484715775,-314.942780095,246.46607580236795,0.983764974516,0.0,4.24387813451,4.06563635527,28.0589048034,-4.24387813451,0.00416460610174,1.40257027571,-2.81045340459e-15,4,0.897431145177,204
-173.168055345,-238.384859936,-154.962006746,-304.431359941,246.08626270383706,0.979731900633,0.0,14.0584832833,4.04896874438,22.1064722456,-14.0584832833,0.00703447682339,1.39846221768,-1.63251802064e-14,5,0.923447181372,204
-166.103361171,-238.567222125,-155.647178003,-319.90377749,244.5629389379443,0.971601471525,0.0,16.4138684233,4.01536786508,26.320807147,-16.4138684233,0.00496287019775,1.39012896589,2.6346334069e-14,6,0.907342320095,204
-160.584945538,-232.51570568,-151.336466726,-308.335569624,239.32178110989926,0.96934264865,0.0,29.9578553627,4.00603275696,28.5950598218,-29.9578553627,0.00534292280575,1.38780141419,-1.47231618358e-15,7,0.891206389102,204
-157.082598003,-224.103907123,-146.739213436,-318.876084545,231.11201282294184,0.958921448539,0.0,11.7793523742,3.96296473652,28.5083473291,-11.7793523742,0.00289690993278,1.37699241599,-3.80612409655e-14,8,0.877603042201,204
-135.084986075,-225.720735226,-147.362035397,-301.837293657,233.5317057720041,0.968361451129,0.0,46.2689711085,4.0019777312,31.1443577377,-46.2689711085,0.0081732190845,1.38678867173,-1.27739597442e-14,9,0.872158388687,204
-153.552027049,-216.318099533,-141.559339649,-296.823083025,225.58617016247817,0.963204635916,0.0,14.3074677981,3.98066599929,30.3025648287,-14.3074677981,0.00253383884225,1.3814491418,-7.8746685894e-15,10,0.847471943267,204
-142.136078199,-213.636270605,-140.271886698,-303.182639129,223.19340653393482,0.948454619487,0.0,29.2378884281,3.91970814392,33.436481824,-29.2378884281,0.00525193627729,1.36601719795,-3.85573172802e-14,11,0.837714751036,204
-141.389017542,-206.288817488,-136.261871588,-294.225315304,217.32911408765634,0.938219785776,0.0,47.6162776056,3.87741032573,36.5088393605,-47.6162776056,0.00683008674704,1.35516748898,5.41819724622e-14,12,0.817592447193,204
-128.186726886,-198.140914913,-131.994444806,-278.376555234,209.54464791505978,0.905563633462,0.0,13.1347354992,3.74245122116,32.8487426974,-13.1347354992,0.00425109914113,1.31974080347,-2.3014632808e-14,13,0.814012181442,204
-126.945195107,-192.585629847,-129.081575949,-292.796270974,205.4012530540732,0.9059671605,0.0,17.9167760795,3.74411889,35.2228699584,-17.9167760795,0.00715412496706,1.32018631292,-1.34506925958e-14,14,0.80517148201,204
-113.893939955,-180.140531654,-121.854531564,-279.60035469,196.78299434774405,0.896757971142,0.0,12.0928970003,3.7060597844,31.025233772,-12.0928970003,0.00959378657017,1.30996925952,5.17659690381e-14,15,0.796062037242,204
-104.365959633,-168.575073443,-115.691818326,-253.718523853,188.89615230611082,0.881601787286,0.0,5.99203699444,3.64342334817,28.6768514676,-5.99203699444,0.00651796979155,1.29292371994,-4.51519552117e-14,16,0.804068316454,204
