Perplexity,dLoss,AverageDiscountedReturn,MaxReturn,MinReturn,NumTrajs,LossBefore,StdReturn,AverageReturn,LossAfter,Total cost,MeanKL,AveragePolicyStd,Iteration,ExplainedVariance,Entropy,MeanKLBefore
4.13273135412,0.150524226517,-161.455579087,-178.700790775,-317.20288847,404,-0.0,28.927728398,-248.744269016,-0.150524226517,254.69167286404493,0.00378066763171,1.0,0,4.83846296362e-12,1.4189385332,0.0
4.1429149952,0.102417565258,-163.012112841,-180.368627915,-330.481281266,404,5.57404959549e-17,29.9770045255,-250.470017644,-0.102417565258,254.84657125690413,0.00705636190383,1.00246414301,1,0.903015767465,1.42139964519,0.0
4.11063094649,0.0824258688735,-164.662153606,-162.215168316,-338.231264379,403,-3.54466715146e-16,33.5000621177,-253.565106308,-0.0824258688735,258.32651562793416,0.00576850463883,0.994652348353,2,0.890328170111,1.41357653169,0.0
4.09416277137,0.0485694929883,-164.195364075,-154.443207195,-323.945635222,404,-1.1222694623e-16,34.4239617237,-252.243623556,-0.0485694929883,257.017684395975,0.00257892496231,0.990667532087,3,0.883990429756,1.40956224497,0.0
4.10321529203,0.389834176199,-166.53944015,-166.83255133,-333.654206819,404,4.18198539092e-16,35.8255688624,-256.172158841,-0.389834176199,260.4326674290039,0.0096694381303,0.992857977072,4,0.888052812825,1.41177088394,0.0
4.03268856126,0.130327565707,-154.527870812,-148.885245425,-316.96129028,404,-1.47321809704e-16,33.7325153047,-237.306468751,-0.130327565707,243.63891639576596,0.00270923230374,0.975792572929,5,0.86131707059,1.39443329031,0.0
4.00580736129,0.244550371418,-151.900357499,-153.187925753,-307.58154726,404,2.75789985771e-16,34.0060586223,-231.764545549,-0.244550371418,238.47699923047077,0.00545565299072,0.969288109496,6,0.863189107765,1.38774514854,0.0
3.99691349042,0.354712046435,-145.746544018,-133.14761972,-320.353842116,404,-4.06184074621e-16,35.2117589338,-220.762420062,-0.354712046435,228.49247148229549,0.00682251151643,0.967136053118,7,0.839720715649,1.38552243587,0.0
3.98617684642,0.427456527171,-142.835945768,-131.701854526,-314.76312085,404,-5.01886472461e-16,40.8208752528,-215.525245178,-0.427456527171,224.90347337386007,0.00882678184037,0.964538099589,8,0.819852710734,1.38283258769,0.0
3.87010143113,0.0422965250236,-130.616317223,-121.019865196,-293.185928009,404,4.27175493488e-16,36.1364925694,-195.472184943,-0.0422965250236,207.35635177761486,0.00451926664042,0.936451247254,9,0.781533305295,1.35328071629,0.0
3.84553237223,0.536305867152,-126.650321748,-116.36375,-292.170381053,404,5.16046897929e-17,37.1759051031,-187.241431235,-0.536305867152,200.49000287642136,0.0071941167367,0.93050625427,10,0.784305874786,1.34691205169,0.0
3.71201590796,0.0449502273266,-115.153517826,-102.122045738,-264.800723822,404,-5.30563125102e-18,33.2982634454,-168.216828643,-0.0449502273266,185.82720840293328,0.00918973500204,0.898199178674,11,0.752292652714,1.31157510046,0.0
3.55876136835,0.385250408112,-109.43652812,-97.3921115204,-259.789394761,404,-1.73683792128e-16,28.8017434799,-157.800020949,-0.385250408112,177.9104705164041,0.0066046450801,0.86111606669,12,0.778877013568,1.26941255408,0.0
3.47941294329,0.112874415546,-104.201718242,-96.3934703955,-250.950991381,404,-7.52612677561e-17,28.1893996306,-149.675572896,-0.112874415546,173.3370365951292,0.00362031003281,0.841916070788,13,0.765843820833,1.2468635851,0.0
3.46964802343,0.11011911783,-104.299958241,-92.3647445129,-256.398714212,404,-1.0540090931e-16,28.9396502402,-150.337268896,-0.11011911783,173.96546511780426,0.00273463404181,0.839553246056,14,0.751792222061,1.24405315464,0.0
3.46210287795,0.0617930289436,-102.17014881,-91.0702601733,-258.90316712,404,2.53680882571e-16,26.5093853191,-146.15486989,-0.0617930289436,170.53818147016656,0.000993932458004,0.837727541738,15,0.772731957668,1.24187617265,0.0
3.45795317818,0.0571065466846,-102.916810672,-93.988550404,-250.854855192,404,-1.93349374545e-16,27.9095940153,-147.507745695,-0.0571065466846,171.79011314469335,0.00127414531528,0.836723435878,16,0.759177229842,1.24067684703,0.0
3.42876493921,0.0922583952302,-103.189183802,-88.3302986024,-249.275819695,404,-2.25050177768e-16,28.3415896445,-147.840874243,-0.0922583952302,172.70009842757148,0.00764352960986,0.829660736546,17,0.758110121335,1.2322001203,0.0
3.38124769884,0.0679920838974,-99.1860731608,-93.1079621935,-237.857209867,404,2.88152931042e-17,26.3220745929,-142.192929738,-0.0679920838974,169.64094010718534,0.00649835866095,0.818162955466,18,0.738371775658,1.21824478305,0.0
3.20482445717,0.0227263747768,-99.3488950081,-85.9303991173,-233.378105196,404,1.16581177368e-16,26.9514896339,-142.02175024,-0.0227263747768,169.88819534102484,0.00391473966894,0.775473695858,19,0.748019547888,1.16465731732,0.0
3.22865429871,0.0325492825393,-96.7273663723,-85.5881656693,-243.011504271,404,-5.34346530294e-17,26.1900060473,-137.891793282,-0.0325492825393,167.7426127938577,0.00455335530896,0.781239819882,20,0.739220764136,1.17206542464,0.0
3.19191912997,0.0730898107146,-96.9628347804,-88.5949189381,-250.582570731,404,2.49530586844e-16,28.1360093568,-139.05940218,-0.0730898107146,168.4773546741521,0.00240878867126,0.772350984486,21,0.728480048654,1.16062234404,0.0
3.15816378548,0.0892257938755,-96.0160204213,-82.0591596724,-223.998091122,404,-1.05707157163e-16,26.0483136203,-136.704127086,-0.0892257938755,165.8084858617224,0.00222620160874,0.764183179323,22,0.735829211512,1.14999077816,0.0
