AveragePolicyStd,MaxReturn,Entropy,Perplexity,ExplainedVariance,StdReturn,AverageReturn,NumTrajs,MeanKL,Total cost,Iteration,dLoss,LossBefore,MinReturn,AverageDiscountedReturn,LossAfter,MeanKLBefore
1.0,-174.484363216,1.4189385332,4.13273135412,4.80449013907e-12,28.4064080839,-249.33734559,204,0.00272780692436,254.8977733629221,0,3.22733265539,-0.0,-307.502838976,-161.648974601,-3.22733265539,0.0
0.997800764513,-181.411962733,1.41673687585,4.12364250467,0.910639560635,26.2838486399,-244.66358036,204,0.00248123085005,252.1611530533881,1,1.12736318867,2.26211854645e-14,-314.411992284,-158.580126109,-1.12736318867,0.0
0.998176510007,-175.955832957,1.41711337863,4.12519535985,0.90102123411,29.1567027358,-248.535484211,204,0.00232302763462,254.38902006827146,2,10.0685289201,4.06401072977e-15,-326.858355721,-161.072552823,-10.0685289201,0.0
0.987805060077,-174.172394568,1.40666862489,4.08233294354,0.894500018317,27.3239419439,-243.627988711,204,0.00346431171883,249.72112599259876,3,5.06334474516,3.9825330646e-15,-311.896432861,-157.885336,-5.06334474516,0.0
0.981678700109,-177.991096317,1.40044731974,4.05701434361,0.901833271348,27.0668791762,-245.444169451,204,0.0046528315349,251.46467120369573,4,0.0568374717539,-8.42552262022e-15,-308.930876326,-158.834980516,-0.056837471754,0.0
0.979982158996,-164.881984823,1.39871762062,4.05000299496,0.889881925616,30.2716154916,-246.622338352,204,0.00294171636217,251.8514528475268,5,8.68566092074,-4.23513581166e-15,-308.209905339,-159.887414542,-8.68566092074,0.0
0.980461014868,-172.976857648,1.39920613861,4.05198197764,0.894887242074,31.4609410146,-251.68567096,204,0.00296463632659,255.74047899306487,6,12.391984296,-6.03995843709e-15,-325.406738849,-163.581367036,-12.391984296,0.0
0.972742301176,-160.552841679,1.39130245156,4.02008260755,0.887135133172,35.8164105846,-251.292628875,204,0.00337375673333,255.79591762510023,7,10.6066790051,7.04070371672e-15,-321.467527815,-163.889056441,-10.6066790051,0.0
0.961090447493,-173.194442181,1.37925177686,3.9719286265,0.895156032,31.4494567046,-250.985291701,204,0.00443784617343,256.0154629355982,8,29.8193491878,-4.31042626556e-14,-322.926060923,-163.093958461,-29.8193491878,0.0
0.965856359294,-168.051533851,1.384198381,3.99162485963,0.879614505636,31.0039995526,-240.970651505,204,0.00539342113399,247.05126880822758,9,14.0135012955,-1.48877237109e-14,-317.156397725,-156.674435176,-14.0135012955,0.0
0.970847118948,-146.519267528,1.3893522631,4.01225032853,0.873361429586,30.9362407072,-237.691706712,204,0.00428367542643,245.01844859079173,10,16.4867535102,-3.60132813612e-14,-309.032665896,-154.577910028,-16.4867535102,0.0
0.965053948952,-152.157025057,1.38336725965,3.98830871325,0.86084835891,30.2703067152,-228.52244815,204,0.00873201152317,237.15093638892645,11,4.26746296599,-2.7248653899e-14,-316.296513755,-148.778684502,-4.26746296599,0.0
0.940926243814,-143.575389244,1.35804801009,3.88859538973,0.848290278468,29.8432343369,-219.913380386,204,0.00755052039885,231.88730494778324,12,44.9974621728,2.5333042764e-16,-279.429006661,-143.738405758,-44.9974621728,0.0
0.935478879914,-135.130730326,1.35224182343,3.86608289814,0.844093211143,30.3107751542,-210.591809912,204,0.00500188400702,222.04388885083023,13,19.0683036322,-9.43564131473e-15,-277.12655684,-139.106547242,-19.0683036322,0.0
0.928967420621,-140.297582524,1.34525692312,3.83917278616,0.821746231688,33.5312434984,-204.2398653,204,0.00316711638041,215.63875258502694,14,24.1403973609,1.51122538383e-14,-291.771098342,-135.949861169,-24.1403973609,0.0
0.9121239714,-137.071345793,1.32695916861,3.76956333545,0.819707976723,33.360066482,-194.697368944,204,0.005527009408,207.21394082468106,15,4.45200030802,6.89480630498e-16,-295.573563205,-130.79313336,-4.45200030802,0.0
0.898481649118,-114.313647899,1.31188953633,3.71318328241,0.815444130124,35.8335686206,-192.901655552,204,0.00495203297868,205.2233136217519,16,13.9014464456,1.73630339654e-14,-316.757472172,-130.605339297,-13.9014464456,0.0
0.898628951893,-102.368532853,1.31205346923,3.71379204521,0.809006904102,33.1285700053,-182.685131119,204,0.0064952965573,196.19635387959232,17,43.0242011192,-1.01713343214e-13,-286.726793486,-123.822715387,-43.0242011192,0.0
0.899926040696,-118.171648735,1.31349583717,3.71915256478,0.798325314858,31.3524731261,-172.824091085,204,0.0050115340176,187.72440061866712,18,21.9007199089,6.47330379273e-14,-295.942760682,-118.016387758,-21.9007199089,0.0
0.881826190286,-110.813561323,1.29317822764,3.64435074548,0.784022220926,32.5909601343,-170.457669368,204,0.00600404449847,187.6108067853871,19,28.7148165663,1.23460462664e-14,-264.499129259,-116.263231446,-28.7148165663,0.0
0.866856241716,-110.833076192,1.27605640609,3.58248396966,0.8105407996,29.3025757864,-165.233252822,204,0.00339421809301,183.95420810239924,20,19.3286556564,-1.66950265744e-14,-313.567013079,-113.525963023,-19.3286556564,0.0
0.85330952547,-109.884622206,1.2603056028,3.52649903068,0.817122050497,27.2241333214,-157.016698857,204,0.00726283016356,177.68454555954105,21,10.4647177045,2.48546971874e-14,-289.829981867,-108.618021066,-10.4647177045,0.0
0.835266290559,-101.82502149,1.23893383908,3.45193118803,0.796345574646,27.8078322164,-155.644566532,204,0.00281939819211,177.42980594964467,22,8.24805970894,-1.52264386346e-14,-256.287001961,-107.052772956,-8.24805970894,0.0
