LossAfter,NumTrajs,MinReturn,AverageDiscountedReturn,Entropy,StdReturn,dLoss,MeanKLBefore,Perplexity,ExplainedVariance,Iteration,AveragePolicyStd,LossBefore,MeanKL,AverageReturn,MaxReturn,Total cost
-0.117407359996,204,-317.20288847,-159.893768552,1.4189385332,30.0602220425,0.117407359996,0.0,4.13273135412,4.89064344578e-12,0,1.0,-0.0,0.00148153553526,-245.956819809,-178.700790775,251.87711025377442
-0.00663329584399,203,-315.018048723,-162.987487148,1.41928107646,28.8723617381,0.00663329584399,0.0,4.13414723586,0.907385890192,1,1.00034260193,-1.88397517791e-16,0.00128931624347,-250.86403849,-182.23608212,255.88926969963077
-0.0466966250439,204,-328.44964262,-164.687701642,1.41605777287,31.0326047714,0.0466966250439,0.0,4.12084307744,0.901736400236,2,0.997123385078,-1.53916477045e-16,0.00224105683865,-252.681086523,-174.136303031,257.2889212190465
-0.044607985313,204,-339.767001296,-165.994614861,1.41603666346,33.6000661965,0.044607985313,0.0,4.12075608977,0.899326950039,3,0.997102336608,-1.5938337116e-16,0.00371448919807,-254.985032864,-173.509243107,259.81383409593207
-0.0576925836556,204,-312.700446208,-160.329601014,1.40259333935,30.5380832428,0.0576925836556,0.0,4.06573012473,0.898065723396,4,0.983787663981,1.47570465292e-16,0.00133267526763,-245.50848488,-168.349392503,251.66960060841993
-0.0402792245306,204,-317.364541209,-163.463668899,1.40381237812,33.941964893,0.0402792245306,0.0,4.07068942955,0.891545665618,5,0.98498767056,5.50199946417e-18,0.000667280552747,-251.805198981,-176.571894205,257.03553594892065
-0.0484950402123,204,-311.385886378,-163.821435094,1.40392158435,30.1837253029,0.0484950402123,0.0,4.07113399847,0.898535058906,6,0.985095243225,4.49532542965e-16,0.00312479229663,-252.272956209,-175.128264696,257.29779735378867
-0.0882302953538,204,-326.622198817,-161.57076149,1.41051878627,29.0005505247,0.0882302953538,0.0,4.09808088079,0.906287040399,7,0.991615599864,7.85040596248e-17,0.0021903162029,-249.241997645,-166.746761844,254.98570423673075
-0.00397809363534,204,-301.722902063,-155.275302099,1.41006514908,26.7410496309,0.00397809363534,0.0,4.09622226048,0.901946437592,8,0.991165868161,7.44201677266e-17,0.00618055644784,-239.610021247,-182.762468353,246.68642284743558
-0.12595737442,204,-305.027049628,-152.067837231,1.37794317404,24.4512824973,0.12595737442,0.0,3.96673434887,0.904940315552,9,0.959833584371,2.07521654887e-16,0.00404161352645,-234.118889691,-178.1322156,242.16436595847009
-0.00141847485489,204,-291.31366972,-149.445213737,1.37102254005,24.9365148055,0.00141847485489,0.0,3.93937680724,0.899010726983,10,0.953213860201,1.31749703001e-16,0.00599012825526,-231.278834127,-167.888727001,240.37629660718926
