AverageDiscountedReturn,Iteration,MaxReturn,Entropy,StdReturn,ExplainedVariance,MeanKLBefore,LossAfter,MeanKL,NumTrajs,LossBefore,MinReturn,Perplexity,AverageReturn,dLoss,AveragePolicyStd
-184.57831916,0,-243.338341973,1.4189385332,17.1583878772,3.54327678309e-12,0.0,-104.334540796,0.00649209125885,209,-100.0,-330.418956777,4.13273135412,-289.420099829,4.33454079556,1.0
-186.498691058,1,-231.752492063,1.42563827692,18.0474221314,0.969701520833,0.0,-104.701138174,0.00669619286869,209,-100.0,-329.321563953,4.1605125546,-291.703418083,4.7011381738,1.00672223721
-186.586555739,2,-234.830694008,1.41799396222,18.76789065,0.968736178126,0.0,-106.970657776,0.00762208691886,209,-100.0,-337.959106181,4.12882953908,-292.057285934,6.97065777627,0.999055874987
-189.575253107,3,-242.834046875,1.41272360347,19.0255724529,0.966928368808,0.0,-103.217628068,0.00998454450106,209,-100.0,-350.476601322,4.10712636816,-296.79287504,3.21762806842,0.993804342995
-192.193266327,4,-233.234722351,1.40690543327,20.9880603533,0.962924905211,0.0,-110.349917154,0.00846347632148,209,-100.0,-347.020140562,4.08329978866,-300.304932001,10.3499171539,0.988039008292
-193.985334674,5,-235.429740558,1.40600678507,21.894796681,0.962540152703,0.0,-108.927255077,0.00818796794224,209,-100.0,-351.731513568,4.07963198695,-303.085195081,8.92725507699,0.987151507655
-193.5809005,6,-208.837217006,1.39869572561,22.3886850984,0.958427984475,0.0,-101.073008837,0.00702694995574,209,-100.0,-347.827803293,4.0499143211,-301.773609413,1.07300883658,0.979960702516
-200.611955376,7,-252.153241943,1.3961209404,21.2151083419,0.963432700421,0.0,-108.816801651,0.00828207040429,209,-100.0,-372.003453776,4.03950007456,-313.556282378,8.81680165134,0.977440759737
-201.124502027,8,-220.239046202,1.41952214544,23.4379559796,0.962139512347,0.0,-104.574834212,0.00704440391055,209,-100.0,-367.169413685,4.13514397065,-313.679556347,4.57483421247,1.00058378257
-193.749384053,9,-193.077293742,1.41941537785,28.124720649,0.944372295024,0.0,-102.399313894,0.00686141717182,209,-100.0,-351.812642402,4.13470249486,-301.327262324,2.39931389417,1.00047695835
-182.415179948,10,-201.039524917,1.41635338842,35.0247110741,0.912491874793,0.0,-101.4597901,0.00813738333878,208,-100.0,-353.341555414,4.12206144277,-281.435252995,1.45979009968,0.99741819382
-198.339676229,11,-210.482382637,1.42051685485,32.4098259318,0.92857677769,0.0,-100.57250034,0.00350433055775,209,-100.0,-370.084281266,4.13925928372,-307.466610973,0.572500340377,1.00157956786
-199.412471605,12,-207.100336194,1.4140012126,31.2777208928,0.943715469725,0.0,-110.491446137,0.00914200900663,209,-100.0,-378.183942308,4.11237702374,-309.896757024,10.4914461367,0.995074847931
-200.651442309,13,-203.244663343,1.42407418096,31.434420894,0.942328963606,0.0,-102.053338865,0.00594414948378,209,-100.0,-378.716895328,4.15401020019,-311.247158105,2.05333886509,1.0051488578
-207.602974854,14,-205.367364731,1.42767573663,27.1605987326,0.953598951902,0.0,-103.61047414,0.00604590491308,209,-100.0,-386.515560077,4.16899807282,-323.56980341,3.61047414028,1.0087754842
-207.014375735,15,-237.144532318,1.4507086845,24.5132749082,0.956669873945,0.0,-112.404140049,0.00966133959483,209,-100.0,-375.659560834,4.26613678914,-321.939268747,12.404140049,1.03228020977
-207.920734088,16,-218.432901264,1.46104889923,29.2686585817,0.948312531622,0.0,-100.442723048,0.00667128533485,209,-100.0,-380.011076805,4.31047841551,-322.580748501,0.442723048051,1.04300958523
-205.137304592,17,-225.099970201,1.45585742084,25.7145322908,0.955764834991,0.0,-111.462237367,0.0078129635478,209,-100.0,-387.110979249,4.2881586464,-319.415126931,11.4622373669,1.03760885452
-201.272564827,18,-189.684378212,1.45512637812,31.1986630906,0.946926610504,0.0,-102.208907008,0.00690404705568,209,-100.0,-369.922240069,4.28502496479,-312.30188905,2.20890700783,1.03685059531
-209.69665303,19,-256.523132787,1.46171981284,22.1091827304,0.965522852746,0.0,-105.392642127,0.00615512790271,209,-100.0,-380.067692131,4.31337134445,-327.234897199,5.39264212708,1.04370958934
-202.935189774,20,-210.679386287,1.45779884185,25.5851386375,0.953177195715,0.0,-102.696809835,0.00663850750675,209,-100.0,-377.577036966,4.29649185418,-315.925563746,2.69680983541,1.03962524685
-210.467275269,21,-240.96180481,1.45704666943,25.9833347832,0.958380238814,0.0,-104.058183802,0.00755149346079,209,-100.0,-385.738410493,4.29326136659,-327.490421631,4.05818380192,1.03884356342
-211.515642254,22,-257.404433436,1.46625089882,22.4361852587,0.966570039341,0.0,-106.656086738,0.00753954115288,209,-100.0,-385.467807078,4.33295994618,-330.27347863,6.65608673838,1.04844945749
-209.035362503,23,-225.919560706,1.46647573731,26.5832041401,0.958502711608,0.0,-110.8607088,0.0094587996061,209,-100.0,-380.702136952,4.33393427192,-325.175022832,10.8607088003,1.0486852158
-214.711784558,24,-228.186850576,1.4935123956,26.1838919415,0.961860437944,0.0,-101.311836093,0.00777752124072,209,-100.0,-389.827643765,4.45270775589,-334.938330443,1.31183609342,1.07742492176
-210.882804724,25,-216.736325482,1.48724513596,27.5390076789,0.953039486047,0.0,-101.796884781,0.00631991266756,209,-100.0,-393.937437789,4.42488874582,-328.560859305,1.79688478073,1.07069353574
-207.006888896,26,-195.306490042,1.49083111669,31.3981585024,0.946429458377,0.0,-105.747185188,0.00987434965185,209,-100.0,-390.465030593,4.44078479602,-321.936529538,5.7471851879,1.07453991453
-208.106577612,27,-255.873803423,1.49036079645,26.5844064931,0.957355729713,0.0,-107.270906214,0.00868439678418,209,-100.0,-381.544498417,4.43869669613,-324.179735738,7.2709062137,1.07403465548
-206.890829022,28,-206.919055383,1.48992801698,25.6775975543,0.952887668812,0.0,-105.358443244,0.00643516890404,209,-100.0,-385.131789795,4.43677613496,-321.481746607,5.35844324384,1.0735699359
-202.479215845,29,-231.641187197,1.48221559909,30.7781413476,0.943629728186,0.0,-106.261330214,0.00777713996897,209,-100.0,-380.832406521,4.40268947756,-314.636804774,6.26133021438,1.06532196272
-206.822172311,30,-230.489156593,1.48410102603,25.8275273232,0.958395755046,0.0,-103.887802173,0.00982077218621,209,-100.0,-382.416875385,4.41099825723,-321.829009819,3.88780217302,1.06733244415
-214.824298919,31,-256.775092131,1.48705830158,27.6261294788,0.956882821726,0.0,-102.26139927,0.00998087188959,209,-100.0,-389.607347507,4.42406210173,-334.581880941,2.26139926997,1.07049351207
-221.599476799,32,-236.199740627,1.48567217031,25.4557677318,0.963834825528,0.0,-104.835811539,0.00722348903763,209,-100.0,-393.557312107,4.41793401905,-345.038533116,4.83581153871,1.06901069547
-212.240499141,33,-217.901779883,1.47377987431,35.0707499601,0.936452256934,0.0,-109.019016399,0.00769066960354,209,-100.0,-392.525321838,4.36570581216,-329.270360031,9.01901639868,1.05637299841
-214.446913192,34,-211.77410466,1.47080474205,31.9150445653,0.951077717896,0.0,-104.731057701,0.00641061407537,209,-100.0,-390.135831275,4.35273656213,-333.452563723,4.73105770056,1.05323481958
-211.430934062,35,-221.448353635,1.4753286986,36.4742116612,0.934611127136,0.0,-101.426276758,0.00572941995,209,-100.0,-390.287627032,4.37247276243,-327.211373585,1.42627675835,1.05801040226
-215.079196425,36,-222.750675524,1.47547983287,32.2945931622,0.946233950438,0.0,-106.288671365,0.00746750920164,209,-100.0,-393.477573609,4.37313364285,-333.521695415,6.28867136535,1.05817031598
-212.982409101,37,-195.558652971,1.48538603932,33.2354706668,0.946215876415,0.0,-105.595285994,0.00599109229445,209,-100.0,-389.872993194,4.41667009203,-330.967639432,5.59528599391,1.06870486213
-213.84676142,38,-224.121316079,1.48420821449,31.8650947056,0.950086801244,0.0,-102.636129626,0.00762326185354,209,-100.0,-390.246510262,4.41147109068,-332.768056992,2.63612962585,1.06744685601
-209.922287787,39,-207.472061637,1.47792715281,33.2971327416,0.942900018191,0.0,-142.406769651,0.00715039920481,209,-100.0,-386.54833608,4.38384920686,-325.941423102,42.4067696508,1.06076316877
-204.949037851,40,-180.817001261,1.49172514559,40.6647473334,0.917213239289,0.0,-106.435704992,0.00625244610601,209,-100.0,-389.215864732,4.44475676126,-315.466994698,6.43570499175,1.07550101383
