NumTrajs,Entropy,LossBefore,Perplexity,StdReturn,dLoss,Iteration,MeanKL,MaxReturn,MinReturn,AveragePolicyStd,LossAfter,ExplainedVariance,AverageDiscountedReturn,MeanKLBefore,Total cost,AverageReturn
403,1.4189385332,-4.94162766262e-11,4.13273135412,29.2955921404,2065.16496396,0,0.00986000217174,-178.700790775,-321.033846309,1.0,-2065.16496396,4.82980322403e-12,-161.484515826,0.0,353.9891291222572,-248.842475437
404,1.37712424424,1.29133148619e-10,3.96348720166,30.3451599396,1435.32791023,1,0.00644529897308,-163.580075465,-329.711350205,0.959047869807,-1435.32791023,0.906306819798,-166.293593636,0.0,344.2728384123665,-256.260007128
404,1.36005464405,-2.1369572778e-11,3.89640621141,24.8945639893,2015.77314285,2,0.00877632761721,-171.075543536,-313.536971927,0.942816233995,-2015.77314285,0.908789000124,-157.80387044,0.0,339.0852976245047,-243.667006761
404,1.3206083719,2.2007462519e-10,3.74569946251,28.9993034013,1911.60025629,3,0.00760908398878,-172.99960915,-333.672035687,0.906349612774,-1911.60025629,0.906897667421,-162.697071485,0.0,328.95080177191676,-251.111130482
404,1.28438741239,-1.11306519557e-10,3.6124543345,25.3291133573,2181.63595147,4,0.00867273197331,-186.844942866,-311.851912467,0.874108192612,-2181.63595147,0.909875934511,-158.302197023,0.0,311.8567119588041,-243.666229785
404,1.27491494163,-7.74169339746e-11,3.57839702454,28.1085319682,2232.98912848,5,0.00960338339516,-171.615014176,-327.317711845,0.865867320645,-2232.98912848,0.904337301483,-162.413503787,0.0,313.9142539483364,-249.322621624
404,1.25384574984,-4.80835371519e-11,3.50379178717,32.7096753011,2567.47795139,6,0.00919820875766,-179.125243758,-348.49872405,0.847815037305,-2567.47795139,0.896857741665,-169.297685816,0.0,316.3827934916195,-258.992326854
404,1.21911614728,-1.45559564402e-10,3.38419528118,32.26274438,1894.87737782,7,0.00608197146555,-177.898422248,-345.31722241,0.818876184101,-1894.87737782,0.903667829043,-169.737373968,0.0,309.79769892172794,-260.834938039
404,1.19261355637,2.35994002118e-10,3.29568341569,30.3026916849,2166.77514798,8,0.00704438737805,-187.295891357,-326.913554404,0.79745890388,-2166.77514798,0.907577383035,-168.873851691,0.0,301.2967563229399,-260.332089032
404,1.18610637206,-6.71178668199e-11,3.27430742047,28.1777768205,2411.8878612,9,0.00858795050652,-179.547419366,-324.123623896,0.792286538829,-2411.8878612,0.908462718654,-164.358170386,0.0,299.6612046347202,-251.578491902
404,1.1558950738,-2.06231032251e-10,3.17686567456,29.600917487,2223.84485594,10,0.00749861856054,-166.598949306,-349.101381928,0.768708488973,-2223.84485594,0.909566655263,-168.719999124,0.0,294.18071345695125,-259.058812279
404,1.14867172064,-1.82391532433e-11,3.15400073204,30.3599319787,2348.31309051,11,0.00762935730114,-172.46438488,-339.472195872,0.763175842266,-2348.31309051,0.912876667735,-170.870246373,0.0,293.6223199407783,-262.963776359
404,1.13328193011,-8.3846707355e-11,3.1058329184,28.7816623853,3114.1107946,12,0.00918692917589,-175.137049559,-323.224931007,0.751520641501,-3114.1107946,0.918944475064,-169.829825184,0.0,290.68234207194854,-262.360473948
404,1.1286482327,1.07823305839e-10,3.09147471993,32.2472808767,2233.76496007,13,0.00556664176328,-165.02012981,-328.892295563,0.748046377813,-2233.76496007,0.904401268447,-173.21891007,0.0,294.8372494368287,-267.007285875
404,1.1136775505,-1.22872378938e-10,3.04553794474,30.7818714655,2537.76976638,14,0.00689973007978,-171.037582369,-333.519622252,0.736931023039,-2537.76976638,0.916509902245,-172.823308631,0.0,291.2621339367068,-265.806123858
404,1.08870968604,2.11230588576e-10,2.9704388001,31.9198200643,2404.76978676,15,0.00601737266678,-166.86453892,-359.423705462,0.718759228601,-2404.76978676,0.909492486257,-173.122669326,0.0,291.20411903425105,-266.468036315
404,1.06650585812,2.79474110521e-10,2.90521052663,31.2086510306,2282.81511159,16,0.00728000686781,-179.302375242,-330.184614097,0.70297589601,-2282.81511159,0.907713809023,-167.094464613,0.0,281.1607534808445,-256.878928797
404,1.04934354215,3.79835718434e-10,2.85577580616,30.7593948046,2720.84236966,17,0.00746240710538,-175.879590498,-321.928060317,0.69101414088,-2720.84236966,0.90818239455,-169.497410766,0.0,283.8689584433064,-261.817040133
404,1.05423201958,2.3779537367e-10,2.86977037994,29.2284950507,3057.3952632,18,0.00918034287458,-176.442024861,-317.622756411,0.694400418037,-3057.3952632,0.907733404563,-163.274061041,0.0,275.48379351692677,-250.707168081
403,1.03706876587,5.44683853576e-10,2.82093605952,23.6035479143,2882.74504451,19,0.00728995264712,-187.074676957,-305.367525877,0.682583942144,-2882.74504451,0.918140333644,-155.900495316,0.0,271.5216435013237,-239.557143569
404,1.00395121056,-2.47161693889e-10,2.7290435793,22.5102828984,2889.98192216,20,0.00658141306545,-172.814183075,-308.368203405,0.660348652127,-2889.98192216,0.927335852322,-155.329525569,0.0,267.2805310631928,-238.642471373
404,1.00763750535,7.08594571908e-11,2.73912220341,25.0479587357,3047.76432516,21,0.00829495396673,-169.318927231,-313.008881414,0.662787384106,-3047.76432516,0.91698525131,-156.681079677,0.0,269.58493846575635,-240.454503696
404,1.00066157507,-7.16443571136e-11,2.72008077096,19.6789376416,2267.02964673,22,0.00619880172739,-178.666935441,-304.853555802,0.658179914899,-2267.02964673,0.931439496643,-154.049022608,0.0,271.21323886361137,-237.525240331
