AveragePolicyStd,Entropy,dLoss,NumTrajs,MaxReturn,LossBefore,AverageDiscountedReturn,AverageReturn,Iteration,ExplainedVariance,MinReturn,Perplexity,LossAfter,Total cost,MeanKLBefore,StdReturn,MeanKL
1.0,1.4189385332,0.717077778509,204,-178.700790775,-0.0,-159.651112274,-245.513800888,0,4.90363305516e-12,-317.20288847,4.13273135412,-0.717077778509,251.442568125255,0.0,30.0558595159,0.00551756630224
0.994859384914,1.4137846597,0.110414140075,204,-182.210130453,-4.71618075585e-17,-164.91516068,-254.042548359,1,0.905910328637,-325.709205379,4.11148657298,-0.110414140075,259.2934573244196,0.0,30.0877588237,0.00892462953843
1.01683994458,1.43563825793,0.543405812285,204,-165.290334076,-5.40029746131e-16,-171.811336372,-264.952017591,2,0.920431942137,-335.036885041,4.2023263211,-0.543405812285,268.6530103064485,0.0,28.9553051124,0.0067973818828
1.01897486922,1.43773562495,0.203733354936,204,-172.455011673,7.57735535676e-16,-168.220439291,-258.26440489,3,0.894562452127,-337.640828568,4.2111493911,-0.203733354936,262.70729342670506,0.0,34.5248731818,0.00625396028608
1.00847330874,1.42737614497,0.459246510737,203,-170.71709391,2.74158932377e-16,-174.546302618,-267.729193043,4,0.89740002826,-341.271079436,4.16774926283,-0.459246510737,271.87670754267555,0.0,36.8168762402,0.00903729362361
0.998634863514,1.41757246407,0.848175051859,204,-168.710084767,1.64873478103e-16,-163.818589588,-250.84613818,5,0.879133111168,-326.8589663,4.12708961176,-0.848175051859,257.1077076251941,0.0,33.6987003232,0.00617375574629
0.988456619421,1.40732801061,0.743736873842,204,-166.481119685,2.94276515885e-16,-160.952962538,-246.118350741,6,0.885626294838,-307.590811431,4.08502566327,-0.743736873842,252.84717603447464,0.0,31.4139634099,0.00938952900568
1.00136530821,1.42030291023,0.0918932428594,204,-170.59866656,-3.05844543023e-16,-165.914968792,-255.120302324,7,0.887171711925,-330.793199786,4.13837380617,-0.0918932428594,261.4157557222932,0.0,35.2115625427,0.00701109639425
0.99215409317,1.4110616853,0.289008237358,204,-147.341485787,-1.17794116125e-16,-169.781823317,-261.386704873,8,0.883163340924,-330.072276822,4.10030632897,-0.289008237358,268.2846890963802,0.0,39.6192003373,0.00844312939006
0.986931014221,1.40578339681,0.181482147276,204,-170.624016701,7.65505510003e-17,-168.686952846,-260.833131599,9,0.902821811917,-324.678652322,4.07872074683,-0.181482147276,267.1666075043776,0.0,34.8589044313,0.00707482371645
0.985852278238,1.40468977837,0.47708354487,204,-164.504647044,-2.94864632536e-16,-171.87394034,-266.876258007,10,0.907550598868,-318.322695107,4.07426262081,-0.47708354487,273.93273966787433,0.0,34.3340746192,0.0016039534995
0.986060283783,1.4049007467,0.0705081450071,204,-152.535100562,7.09891324939e-16,-171.121374705,-264.676483355,11,0.888805077776,-329.422705178,4.07512225185,-0.0705081450071,272.93307390391584,0.0,37.6147282247,0.000670109031132
0.984764909689,1.40358619654,1.13824366301,204,-124.017326431,3.03767095642e-16,-171.541590006,-265.725297975,12,0.902767461778,-319.519722066,4.06976881871,-1.13824366301,273.7592984554078,0.0,35.1422469385,0.00560580172973
0.986320784483,1.40516489515,0.227135008056,204,-152.394978483,4.00671250513e-16,-172.150451347,-266.824172692,13,0.90535267327,-317.052757243,4.07619883126,-0.227135008056,274.9445739042827,0.0,34.0240813521,0.00622764239351
0.986492842183,1.40533932389,0.320217477957,204,-141.424780115,2.33004042907e-16,-169.859670502,-263.378095026,14,0.898424702847,-322.420577904,4.07690989951,-0.320217477957,272.3710440559495,0.0,35.3285289587,0.00601608929402
0.975767914573,1.39440801991,1.09543104362,204,-151.657309405,-8.69208150757e-16,-169.143848845,-262.787261139,15,0.905646423382,-316.301021995,4.0325866549,-1.09543104362,272.1463830494568,0.0,32.9746762006,0.00968051053175
1.00553064637,1.42445394171,0.423153772232,204,-126.863110275,-1.05833774794e-15,-171.491430846,-267.235653969,16,0.911920638886,-331.371118573,4.1555880298,-0.423153772232,278.073445135608,0.0,32.8500645544,0.00259308646729
1.0068278342,1.42574316331,1.11530350311,204,-165.431525164,-2.19087192623e-17,-172.817421106,-268.7466953,17,0.923017034644,-325.62507469,4.1609489586,-1.11530350311,280.03708373981243,0.0,30.7598823559,0.00704061379623
1.00639449663,1.42531267179,1.18799523997,203,-141.77360842,-7.78191796776e-17,-167.644341187,-259.657519765,18,0.880623577482,-329.625596033,4.15915809086,-1.18799523997,268.2956456772984,0.0,38.6603783298,0.00715190951973
0.999605153796,1.41854360903,0.143448444022,204,-128.482439093,2.24126386391e-16,-158.027868666,-242.190097323,19,0.829005916118,-318.621942025,4.13109956084,-0.143448444022,252.74189908992597,0.0,43.8704908453,0.00503318541724
0.982145609813,1.40092283042,0.0282655493068,204,-110.290821571,-4.21324526049e-16,-160.932990838,-249.252592206,20,0.854747315465,-308.467136148,4.05894395599,-0.0282655493068,260.38893414306045,0.0,42.8633929944,0.00699537322776
0.971553353603,1.39007944032,1.20056604296,204,-114.763086764,-8.52920122255e-16,-156.618529974,-243.004636867,21,0.84406863045,-322.821173145,4.01516900664,-1.20056604296,255.80218883606048,0.0,41.395274986,0.00662984031177
0.9718992728,1.39043542451,1.10251038025,204,-108.225985056,-8.95983291611e-16,-137.960580752,-209.774878084,22,0.736588699108,-307.577660437,4.01659859775,-1.10251038025,227.0139857396568,0.0,44.882821407,0.00652868329626
