LossAfter,AverageReturn,StdReturn,MeanKLBefore,MaxReturn,NumTrajs,ExplainedVariance,Perplexity,AveragePolicyStd,dLoss,LossBefore,MeanKL,Total cost,Iteration,AverageDiscountedReturn,Entropy,MinReturn
-0.0542871529433,-245.4229564,30.0597021086,0.0,-178.700790775,204,4.91273688397e-12,4.13273135412,1.0,0.0542871529433,-0.0,0.00582313937051,351.4528277636184,0,-159.469284853,1.4189385332,-317.20288847
-0.123121334121,-252.247651789,31.3336966484,0.0,-178.780285675,204,0.899038881515,3.97066331628,0.960784279463,0.123121334121,-1.14007896552e-16,0.00660028024636,339.45410361274554,1,-163.962143021,1.37893316293,-314.367685889
-0.148091144186,-253.877532253,29.6376982107,0.0,-178.87851498,204,0.913917005541,3.81895298461,0.924074820591,0.148091144186,-2.58915771817e-18,0.0069341506567,329.06145131864344,2,-164.751965769,1.33997629725,-322.715924906
-0.138314606736,-258.188372358,31.6906805241,0.0,-181.456111874,204,0.906275546877,3.65286854291,0.883887247901,0.138314606736,2.4694729901e-16,0.00682947745054,319.732039386716,3,-167.819034234,1.2955127611,-325.31725395
-0.000979534590868,-251.641163723,30.158305881,0.0,-188.647524134,204,0.903150677165,3.47290392535,0.840341079003,0.000979534590868,6.60886039011e-17,0.00700846686841,305.1610224588549,4,-164.394014003,1.24499111008,-311.828403643
-0.0512865974779,-242.936442036,25.5514458175,0.0,-176.46859602,204,0.90538796056,3.3596522584,0.812937491096,0.0512865974779,1.23588915724e-17,0.00519009588684,294.13762272730526,5,-158.712828611,1.21183747409,-302.988964046
-0.0837470172935,-250.440278191,29.082801559,0.0,-179.69675544,204,0.891396000249,3.2480378434,0.785930070233,0.0837470172935,6.86440310096e-17,0.00252698017782,293.90035719333247,6,-162.951768168,1.17805107352,-309.569067718
-0.0321465184641,-250.865507113,31.0424541109,0.0,-173.987682657,204,0.899821026846,3.18744513835,0.771268409493,0.0321465184641,-7.06593385101e-17,0.00151107523419,288.1902445423109,7,-163.774261968,1.15921969884,-320.683059089
-0.229895470698,-249.386956953,29.2094481158,0.0,-184.179738569,204,0.906672856748,3.15489748924,0.763392831255,0.229895470698,2.48717508841e-16,0.0094319925808,283.52897191454866,8,-162.479484727,1.14895600394,-322.828227471
-0.169251268841,-253.888791066,29.7941226006,0.0,-180.979652712,204,0.901624736389,3.00220266786,0.726445154695,0.169251268841,-3.63401148621e-16,0.00592707311072,281.46699697237864,9,-165.408293717,1.09934624188,-314.764887568
-0.0720294361668,-254.983664032,30.3522440631,0.0,-177.427174313,204,0.9084107821,2.92583415855,0.707966211168,0.0720294361668,-1.50327240798e-17,0.00673472129041,279.07076318043534,10,-165.298803039,1.07357962244,-319.871374272
-0.0964450341628,-249.844879824,30.0025272376,0.0,-165.240597851,204,0.901201175892,2.8186365704,0.682027533096,0.0964450341628,-9.44180345748e-17,0.00315940173964,271.7529154868284,11,-162.281976575,1.03625328236,-306.765984242
-0.00327637784777,-247.883622692,27.9256816797,0.0,-179.860198236,204,0.913169489846,2.78084316957,0.672882636514,0.00327637784777,1.56315199068e-16,0.00365807870769,268.9627928052377,12,-161.167040475,1.02275418012,-308.861043606
-0.00708043407547,-242.678499254,29.5516199208,0.0,-177.497037779,204,0.895218778274,2.76096837745,0.668073518666,0.00708043407547,-8.80718472222e-17,0.00365741413114,263.01454356911034,13,-157.917109771,1.01558147959,-310.902869428
-0.105528862673,-238.051885835,30.9136178788,0.0,-174.18033796,204,0.888756868256,2.68587250571,0.649902516172,0.105528862673,-7.42062853686e-17,0.00323416511655,258.13812952058333,14,-154.728573139,0.988005630745,-319.250130766
-0.114040491456,-234.088533039,28.5624350087,0.0,-173.571899458,204,0.901872437414,2.63156059289,0.636760623278,0.114040491456,1.80057747977e-17,0.00426530653324,254.94389765890145,15,-152.35390081,0.967577051535,-315.432804127
-0.00631346984001,-222.981024111,24.9380663683,0.0,-160.899266625,204,0.901772566182,2.57476296323,0.623017259677,0.00631346984001,8.36542666774e-17,0.00603736944407,243.68571087549245,16,-146.126774186,0.945757476762,-302.158773167
-0.0380691467445,-222.832115306,20.6931346945,0.0,-173.907564282,204,0.915684159196,2.4919812649,0.602986512156,0.0380691467445,2.24252279155e-16,0.00366987097809,241.94806116222736,17,-145.086818867,0.913078082799,-277.139027717
-0.00970879728647,-220.81349782,18.8228155535,0.0,-174.757750429,204,0.928472476069,2.41668872384,0.584767921444,0.00970879728647,-1.93919267229e-17,0.005379691346,241.21846403118616,18,-143.608415166,0.882398307261,-284.507714984
-0.0511240684148,-220.034967909,22.1496796616,0.0,-161.284507405,204,0.906100684626,2.39701057143,0.58000638465,0.0511240684148,1.94624419224e-18,0.00801764675143,236.72549628559335,19,-143.602716474,0.874222365719,-284.620482992
-0.115898543696,-218.689688685,23.122151715,0.0,-159.341709409,204,0.894283743406,2.30395206664,0.557488950823,0.115898543696,-2.25417761097e-16,0.00365615459314,233.79502581780866,20,-143.206390578,0.83462593821,-279.458408093
-0.0618025141326,-221.316630016,29.8758473297,0.0,-158.465670009,204,0.862750226278,2.29430634106,0.555154967616,0.0618025141326,7.27883406024e-17,0.00477931542198,235.26642775065258,21,-144.421250301,0.830430549924,-311.482096221
-0.0813127819366,-210.367577853,23.124901944,0.0,-131.928087184,204,0.878386225571,2.21228552967,0.535308332458,0.0813127819366,-9.72940792383e-17,0.00328149061643,225.00876272760004,22,-138.683357826,0.794026157459,-279.321690709
