MeanKLBefore,Total cost,MinReturn,AveragePolicyStd,StdReturn,MeanKL,Iteration,LossBefore,AverageReturn,LossAfter,AverageDiscountedReturn,ExplainedVariance,NumTrajs,MaxReturn,dLoss,Perplexity,Entropy
0.0,186.7531207905677,-241.607801706,0.427180304593,26.0283386106,0.00269564798005,46,2.20309143246e-16,-164.877231367,-0.0719979730001,-113.813070418,0.805895839792,204,-101.759696549,0.0719979730001,1.76542143866,0.568389437326
0.0,183.5091106714103,-217.831652476,0.432009456403,24.2464658545,0.0034098861391,47,4.53698140451e-16,-161.163582617,-0.0231458346045,-112.236065408,0.820831693809,204,-100.921935573,0.0231458346045,1.78537902575,0.579630732049
0.0,190.74356145459362,-217.300998965,0.419649826529,24.577085733,0.00395883361311,48,2.84605305842e-16,-168.223590332,-0.00466531750051,-114.904245996,0.807730301614,204,-117.26576562,0.00466531750051,1.73429999585,0.550603871381
0.0,183.69424969040642,-230.088760152,0.415481999249,26.0308691908,0.00238937056548,49,-2.16631020555e-16,-161.581585763,-0.062080150134,-111.92556692,0.803152877872,204,-97.7906389888,0.062080150134,1.71707548537,0.540622544471
0.0,178.53795377903234,-234.180196824,0.422034486821,24.4219882275,0.00789408084591,50,1.15736380221e-17,-155.841238702,-0.0212376115877,-109.1482083,0.810963924176,204,-99.5917502662,0.0212376115877,1.74415515621,0.556270287244
0.0,182.8631852773863,-227.646805076,0.409459131528,25.8481015297,0.00407767840305,51,2.11222713188e-17,-158.198278449,-0.0219643381479,-109.298913922,0.791647247129,204,-103.27234914,0.0219643381479,1.6921845911,0.526020351628
0.0,182.11832536911297,-218.089335506,0.413799252729,27.4028396905,0.00286119869588,52,2.76282542452e-16,-156.484474677,-0.0403933558588,-108.700646037,0.77774097149,204,-98.2143712176,0.0403933558588,1.71012114607,0.536564213659
0.0,184.53425722673472,-231.216669137,0.413340918534,26.9869585425,0.00267313166435,53,2.7461473297e-17,-158.907317861,-0.0698534110593,-110.272108458,0.78911694506,204,-93.4537162573,0.0698534110593,1.70822697397,0.535455975277
0.0,184.822050630329,-229.952121194,0.416424287598,26.4618881159,0.0068010064073,54,2.50458433611e-16,-158.358739171,-0.00374045180253,-110.077848899,0.793864804147,204,-94.7020427591,0.00374045180253,1.72096970998,0.542887916828
0.0,184.60998492463423,-225.277322765,0.398837639877,25.1356969563,0.00411392950392,55,-1.66323504394e-16,-156.345401381,-0.0775084437245,-109.308312728,0.807057284981,203,-97.5925735482,0.0775084437245,1.64828881952,0.499737670697
0.0,180.912770010979,-229.015160483,0.404240843166,25.6043936654,0.00396460410846,56,4.4263500966e-17,-154.483982363,-0.00778116513848,-107.950586001,0.79091124471,204,-97.9249861043,0.00778116513848,1.67061880717,0.513194101009
0.0,183.81164683867482,-225.355664787,0.399488586118,25.3602627457,0.00511845934765,57,2.78298108459e-16,-156.285438877,-0.0905235507339,-109.43629525,0.803247735375,204,-98.309057074,0.0905235507339,1.65097900546,0.501368448602
0.0,181.37786280080797,-229.710557348,0.406105904806,26.7442972624,0.00196419055565,58,-3.84149189027e-16,-155.273503903,-0.0787165577691,-108.269260987,0.78937095657,204,-96.5115142644,0.0787165577691,1.67832660589,0.517797229085
0.0,180.3375499149478,-219.161894907,0.399936238376,22.5997754642,0.00264868938076,59,7.49703111512e-17,-153.945726514,-0.0720427482692,-107.390902435,0.809711695539,204,-112.505995352,0.0720427482692,1.65282903199,0.502488384564
0.0,178.6557295407474,-220.784162486,0.409358580447,22.7639520439,0.00271633062205,60,1.62139825539e-16,-153.548597432,-0.0865531248269,-107.317061773,0.821331794922,204,-107.228384201,0.0865531248269,1.69176904049,0.525774750977
0.0,178.37728362135726,-227.639216838,0.4124851168,26.0021375657,0.00338324055835,61,1.51317147807e-16,-152.297734284,-0.0249930694488,-106.553889393,0.780937034865,204,-86.2079382417,0.0249930694488,1.70469017531,0.533383378861
