MaxReturn,AveragePolicyStd,Entropy,MeanKL,Perplexity,MinReturn,ExplainedVariance,StdReturn,LossBefore,Total cost,NumTrajs,Iteration,MeanKLBefore,AverageDiscountedReturn,dLoss,LossAfter,AverageReturn
-178.700790775,1.0,1.4189385332,0.00955013848129,4.13273135412,-317.20288847,4.89086549038e-12,32.1835100451,-0.0,348.78899129402186,104,0,0.0,-158.867721016,0.123011103141,-0.123011103141,-244.135031856
-191.389296438,0.971953539894,1.39049125908,0.00858852539719,4.01682286907,-312.488920073,0.907076233029,29.6805316916,6.78394866757e-17,342.6564531265607,104,1,0.0,-166.288949294,0.171113456604,-0.171113456604,-255.68406029
-177.257723792,0.932473298357,1.34902377086,0.00758045923591,3.853661637,-309.493256256,0.906932500463,29.6027610794,-2.4534071949e-16,334.0372234575502,104,2,0.0,-164.194076789,0.143491473851,-0.143491473851,-253.197908587
-195.770941745,0.901188276492,1.31489745392,0.0054853825409,3.72436904623,-325.625777209,0.906724295505,30.0913348892,2.20172433294e-16,327.4863773705381,104,3,0.0,-170.421896647,0.0779127561547,-0.0779127561547,-263.690849464
-201.400962012,0.877709889951,1.28849937179,0.0067078802224,3.62733918202,-315.621045725,0.918986576507,28.0397756382,-2.47990381042e-16,320.7480394144129,104,4,0.0,-169.809297034,0.122928514682,-0.122928514682,-262.651759966
-204.846821262,0.854273930608,1.26143515841,0.0091943581058,3.53048465803,-312.986949707,0.915927061689,27.5272424243,9.36459179995e-17,311.29878903521023,104,5,0.0,-165.997490162,0.123385303297,-0.123385303297,-257.017113822
-198.821300432,0.811424602087,1.20997472508,0.00739384476662,3.35339989455,-313.299314221,0.919703876695,27.4117973577,4.83807132276e-17,301.8661137424139,104,6,0.0,-165.559992557,0.297240127166,-0.297240127166,-256.530080346
-183.395573373,0.778233030822,1.16820925903,0.00681205146674,3.21622804729,-310.274910055,0.902892862933,30.7929032658,-1.85590600803e-17,291.55780537911306,104,7,0.0,-163.223562654,0.18205247941,-0.18205247941,-252.233978653
-186.889520124,0.749492351249,1.13057936658,0.00657030485614,3.09745053968,-305.881792869,0.913387910941,27.1501582305,4.50724488746e-17,288.6084211310634,104,8,0.0,-161.292982031,0.15052441065,-0.15052441065,-249.60964485
-189.829066341,0.726017507641,1.09875738396,0.00558760462761,3.00043531747,-295.416382549,0.919835567238,23.629040289,-1.02319002734e-16,280.26389033716356,104,9,0.0,-157.682190152,0.393797284741,-0.393797284741,-242.612390008
-187.321079215,0.710832601548,1.07762021544,0.0051475039489,2.93768017995,-307.611299949,0.911426851985,27.4442701907,-3.13351336422e-16,283.112425103262,103,10,0.0,-163.544658074,0.192546567063,-0.192546567063,-252.740787131
-190.626498727,0.69562201419,1.05598968397,0.00570502078836,2.87481890866,-304.962182134,0.901952383847,29.6795249572,7.79237858267e-17,272.60878298091336,104,11,0.0,-157.831668893,0.185028333275,-0.185028333275,-243.717476094
-191.828775308,0.673574454739,1.02378179294,0.00797488196471,2.78370226844,-307.43904089,0.902170890641,29.6426187893,5.8171276114e-17,277.3513207269894,104,12,0.0,-163.354544391,0.358721964865,-0.358721964865,-252.67891176
-199.805704435,0.657014337505,0.998889095156,0.00480768547807,2.71526375272,-300.060259423,0.9087720325,25.6373427503,-9.31681849244e-17,265.99873291240993,104,13,0.0,-157.766569948,0.07689439788,-0.07689439788,-242.521750895
-192.899314196,0.652185209183,0.991511838974,0.00603829815106,2.69530626268,-300.122395134,0.914042243431,23.2799469574,-7.99961960417e-17,260.85740973386675,104,14,0.0,-153.280901353,0.311248065902,-0.311248065902,-235.869775107
-188.040586758,0.634564156115,0.964121649134,0.00553214617025,2.62248318418,-301.841767926,0.901687749826,27.3044680728,4.82903630545e-17,260.2194802876744,104,15,0.0,-156.722811044,0.262154970046,-0.262154970046,-240.044975338
-177.93852907,0.620889427587,0.942336264886,0.00945041309917,2.56596920483,-307.478849217,0.901158442216,29.731892132,-5.50913710105e-17,261.5966203172591,104,16,0.0,-158.799027236,0.149788602783,-0.149788602783,-245.050757387
-186.316357935,0.608160842474,0.921622644746,0.00708263209939,2.51336538204,-307.707992284,0.895511789436,29.2443090512,1.20715685078e-16,260.8059743399327,104,17,0.0,-157.42166955,0.0552395431286,-0.0552395431286,-242.948599635
