StdReturn,Total cost,LossAfter,AverageReturn,ExplainedVariance,MaxReturn,Entropy,AverageDiscountedReturn,LossBefore,dLoss,AveragePolicyStd,MeanKLBefore,MeanKL,NumTrajs,Iteration,Perplexity,MinReturn
30.0602220425,351.3218215874661,-5728.73981843,-245.956819809,4.89064344578e-12,-178.700790775,1.4189385332,-159.893768552,-8.5822193796e-10,5728.73981843,1.0,0.0,0.00829160898656,204,0,4.13273135412,-317.20288847
30.1502775938,334.25495035813384,-3375.59569245,-252.769326803,0.906522207821,-184.341292904,1.357024897,-164.553947923,1.23498011817e-09,3375.59569245,0.939964062147,0.0,0.00739890955024,204,1,3.88461895138,-317.190990961
30.25250528,319.09596237145655,-4123.60298573,-259.264603294,0.909649117877,-177.877982785,1.29306354278,-168.1870005,-3.6925484892e-10,4123.60298573,0.881725063971,0.0,0.0072158142442,204,2,3.64393281759,-316.618878836
32.1484903104,304.6271440209872,-3110.18991426,-257.862179893,0.904330118965,-180.252391785,1.22674649713,-167.380026917,-3.32050831275e-10,3110.18991426,0.825148395014,0.0,0.00701600149066,204,3,3.41011664388,-316.670795839
29.539278309,291.1487433392889,-2600.13970975,-254.424847886,0.909596324037,-175.197055167,1.16594855269,-165.128718475,-6.03307626079e-10,2600.13970974,0.776475661669,0.0,0.00610757063402,203,4,3.20896531269,-312.35685773
30.1565923253,288.1332298359913,-3334.52136043,-261.232989109,0.915791976363,-186.046671201,1.11947283269,-169.870529662,-1.23495169646e-09,3334.52136043,0.741214145237,0.0,0.00917078172258,204,5,3.06323893814,-337.517420786
28.7044788912,274.1241544329252,-2207.57055283,-252.396806873,0.905404867023,-172.731467963,1.05773188709,-164.313444679,-1.31876731757e-10,2207.57055283,0.696834985347,0.0,0.00789467960193,204,6,2.87983179259,-322.694785281
26.904663964,267.1672123328712,-1419.98428699,-250.028204041,0.916198767734,-187.1192279,1.013997453,-163.057158089,-1.039467179e-09,1419.98428699,0.667016110152,0.0,0.0093357436996,204,7,2.75659839213,-310.250206682
24.5690311123,260.823246046508,-1179.2008075,-242.285813183,0.916801118092,-191.638621997,0.977638388043,-157.587190629,1.25501742332e-09,1179.2008075,0.643199624343,0.0,0.00695523345813,204,8,2.65817125448,-315.324904107
27.4408353671,255.873598067702,-873.850671109,-242.329444586,0.910205200253,-181.021642095,0.926112323268,-158.50897584,2.86547674477e-10,873.850671109,0.610897427744,0.0,0.00682380327636,204,9,2.52467495379,-329.684047767
26.9074506587,256.11984537704745,-420.96729515,-244.504820072,0.909942991492,-181.287712806,0.895268884197,-159.18164407,1.62971502959e-09,420.967295152,0.592342864343,0.0,0.00463907916957,204,10,2.44799392786,-310.587563824
26.739117334,255.6978828978568,-1683.33700249,-246.54831193,0.91420055446,-182.305828441,0.87166803549,-161.168167164,1.13232090371e-10,1683.33700249,0.578526747354,0.0,0.00750553616763,204,11,2.39089562799,-318.921120603
24.3521963106,252.6434798350588,-1280.46320587,-242.740676368,0.921669151978,-185.979163699,0.848210713257,-158.722645334,1.33420030579e-09,1280.46320587,0.565113987753,0.0,0.00897021691768,204,12,2.33546429584,-320.141033378
26.4275643818,248.86541853241621,-1283.78750479,-238.397845847,0.90600627365,-180.316133191,0.831413721397,-155.434184703,7.77959030529e-10,1283.78750479,0.555701048545,0.0,0.00990299121366,204,13,2.29656314684,-305.759264879
24.9208847474,240.09315582121832,-1198.01441136,-229.816504998,0.908079107924,-168.513275668,0.791745694777,-150.3085978,2.75609846057e-09,1198.01441136,0.534088972662,0.0,0.0080633831836,204,14,2.20724624321,-295.978604988
27.2539884011,241.6059805462372,-1855.83797643,-230.507526873,0.896469009908,-169.214869608,0.778203025079,-149.97098855,7.96632093625e-10,1855.83797643,0.526904738771,0.0,0.00939668489388,204,15,2.17755573455,-305.244347075
24.1380780523,235.19315623613406,-1406.40573777,-220.655677402,0.898296605171,-153.68693323,0.769340396274,-143.925623715,-1.58422608365e-10,1406.40573777,0.522255609838,0.0,0.00812176138742,204,16,2.15834213365,-289.240455596
25.169470624,234.28238284888405,-1949.13764716,-220.166283904,0.902954868593,-159.943676312,0.754080680103,-144.238664718,5.52518031327e-10,1949.13764716,0.514346635289,0.0,0.00714827747826,204,17,2.12565646655,-283.716483289
19.5744127157,226.10116788606084,-1253.15092236,-209.444165582,0.908008247285,-155.070060582,0.746690875975,-137.593124645,-3.2184743759e-10,1253.15092236,0.510559723901,0.0,0.00681782817694,204,18,2.11000617912,-276.813724595
19.4978093946,223.64687334615436,-1440.22772582,-208.863567754,0.918252711089,-164.058205093,0.728832955404,-137.795476819,-1.83658244168e-09,1440.22772582,0.501523116563,0.0,0.00766687506565,204,19,2.07266030864,-270.787700577
18.9874005307,216.5325346869818,-1381.61584507,-200.4877646,0.905363869378,-154.13012881,0.701378953189,-132.963151214,-8.82778294908e-11,1381.61584507,0.487941586535,0.0,0.00768785128471,204,20,2.01653149366,-258.925625931
21.9179452586,216.61972506792097,-1106.74699014,-201.50184637,0.898518906182,-155.608722182,0.690397523541,-134.284916759,-4.12967438024e-10,1106.74699014,0.482612603808,0.0,0.00979033383436,204,21,1.99450823965,-290.31194697
23.9873763465,210.38693403927664,-1096.41160523,-193.886970657,0.872070841031,-143.590535702,0.683071966163,-129.659205313,3.79387188332e-10,1096.41160524,0.479090115336,0.0,0.00851455678079,204,22,1.9799507411,-282.777971796
