MeanKL,MeanKLBefore,StdReturn,ExplainedVariance,Total cost,NumTrajs,LossAfter,Entropy,MaxReturn,LossBefore,Iteration,AveragePolicyStd,Perplexity,AverageDiscountedReturn,MinReturn,dLoss,AverageReturn
0.00186554979773,0.0,29.7012858985,4.88964424505e-12,252.69342881700896,204,-0.0667207423127,1.4189385332,-178.700790775,-0.0,0,1.0,4.13273135412,-160.048278476,-317.20288847,0.0667207423127,-246.341278418
0.00173202789005,0.0,29.9496705183,0.902404701256,256.3861333955876,204,-0.0860225320384,1.41978919491,-176.799089822,5.84863078113e-18,1,1.00085102362,4.13624840613,-163.216659982,-319.4760755,0.0860225320384,-251.238401683
0.00273372730332,0.0,29.9176651795,0.907631225111,258.38338832270955,204,-0.00538391122237,1.42180427662,-179.69255634,-1.7063222746e-18,2,1.00286985358,4.14459168801,-164.882984478,-322.660707419,0.00538391122237,-253.739671958
0.00116333154139,0.0,31.4568719266,0.90630253424,259.6628990511144,204,-0.0447494342955,1.42072143087,-177.0938384,-1.04326975317e-16,3,1.00178448797,4.1401061635,-165.380310053,-317.568155448,0.0447494342955,-254.998827946
0.00725651062673,0.0,33.0959261204,0.898460487243,259.88785567388805,204,-0.116042907342,1.41960630533,-170.037065976,-4.01158061777e-16,4,1.00066799513,4.13549199854,-166.149438906,-318.945535665,0.116042907342,-255.979830142
0.00409978631044,0.0,31.0033338363,0.885341721633,249.7884681075644,204,-0.0510710892083,1.42157360039,-167.994533591,-3.77081804127e-16,5,1.00263854202,4.14363573947,-160.158252179,-318.018805583,0.0510710892083,-244.610162713
0.00318527905594,0.0,35.1078181923,0.867397126394,248.97597405616258,204,-0.0349028709116,1.41777399359,-165.602396424,-1.57733477966e-16,6,0.998836138199,4.12792142596,-158.470413211,-330.240092246,0.0349028709116,-242.982527538
0.00387030028392,0.0,33.0299366909,0.865300754458,240.83134853521003,204,-0.111684033469,1.4177124296,-152.086362006,5.00604927605e-18,7,0.998774647749,4.12766730246,-154.502869847,-324.725787578,0.111684033469,-235.597260057
0.00330920568457,0.0,36.9629264866,0.848321400378,238.30280578936865,204,-0.00652606171796,1.41300597891,-149.048593089,-1.71973383311e-16,8,0.994085008561,4.10828628354,-151.074622499,-321.255379047,0.00652606171796,-230.765301236
0.0013802429232,0.0,33.2789052254,0.842335870629,230.97512169828065,204,-0.0788197107318,1.39572614051,-147.947238495,-1.0329282949e-16,9,0.977054942403,4.03790559517,-146.336134135,-307.061384518,0.0788197107318,-222.32315728
0.00670503742134,0.0,36.7330296277,0.835204394283,227.37607092012024,204,-0.120860100657,1.38717932482,-140.9791561,-3.8392258004e-17,10,0.968739818421,4.00354142158,-143.410793333,-297.059942689,0.120860100657,-218.093553975
0.0023379142014,0.0,32.8869521718,0.814482130029,211.8466318447587,204,-0.121476422777,1.36919112506,-120.400748979,2.74524620906e-16,11,0.95146972765,3.93216877596,-133.43263684,-298.713122747,0.121476422777,-199.786321531
0.0044913564022,0.0,28.8062767668,0.839070216644,204.1995755080475,204,-0.0192197856721,1.36215938047,-142.215242014,4.49567258288e-16,12,0.944802703417,3.90461575587,-129.089794574,-278.111956754,0.0192197856721,-192.126116597
0.00172602717882,0.0,31.3427817394,0.823028601352,206.05053545149363,204,-0.0768470217236,1.35978848821,-129.719784253,1.3911715868e-16,13,0.94256533134,3.89536929814,-127.997909695,-323.58995423,0.0768470217236,-192.222588104
0.00576261934048,0.0,30.9782436561,0.811656733326,200.275749091484,204,-0.00125757073587,1.35755669253,-121.236319338,-2.54736227088e-17,14,0.940464063769,3.88668532376,-124.398611773,-273.818218925,0.00125757073587,-185.432700403
0.00436468273629,0.0,31.2588988427,0.808505245485,194.80908095873963,204,-0.023418595994,1.33862671876,-119.780522379,-1.63778977438e-16,15,0.922828550251,3.8138024841,-120.482303541,-279.044847297,0.023418595994,-178.357815956
0.00256670499549,0.0,24.7880103957,0.8283506673,183.50114257027533,204,-0.0740503657438,1.33901130424,-113.585924252,6.58187881944e-17,16,0.923183524959,3.81526949921,-113.802774211,-244.287907794,0.0740503657438,-165.726152967
0.00293197744004,0.0,28.978490773,0.801220890632,184.44827379461964,204,-0.106444885675,1.32925555598,-119.772722896,-3.12576524265e-17,17,0.914220968207,3.7782296599,-113.090322898,-259.308256369,0.106444885675,-165.156346379
0.00271718604488,0.0,23.9378336097,0.825535211871,176.30297730122285,204,-0.0552693641613,1.31050166295,-101.553344563,7.07612466288e-17,18,0.89723553528,3.70803342868,-107.887447095,-228.235205262,0.0552693641613,-155.404259489
0.00583650770289,0.0,26.2867209136,0.808173166034,178.9113718492858,204,-0.0117125294089,1.30675605692,-104.700088119,-6.55205243402e-17,19,0.893881130511,3.69417057492,-108.970410287,-241.61798105,0.0117125294089,-158.185856307
0.00196858858273,0.0,26.3319601954,0.800088632734,174.20728595043448,204,-0.0543528920582,1.28183313296,-97.054449585,7.26455271849e-17,20,0.8718783251,3.60323889112,-105.330001289,-250.435688819,0.0543528920582,-151.347355185
0.00309029862919,0.0,21.0916189176,0.82975192921,170.7060261268992,204,-0.0866790354608,1.27794632951,-106.072803932,-2.26571101352e-17,21,0.868496082728,3.58926099202,-102.389682113,-232.357074596,0.0866790354608,-146.297149076
0.00380487864455,0.0,23.1482144389,0.807524579455,170.26277353415958,203,-0.0360283737365,1.25775858846,-97.6490827496,-6.82205631347e-17,22,0.851138899356,3.51752841608,-101.452928335,-234.012493083,0.0360283737365,-145.413658119
