LossAfter,MeanKL,Iteration,MeanKLBefore,MinReturn,Total cost,NumTrajs,ExplainedVariance,StdReturn,dLoss,Entropy,AverageDiscountedReturn,LossBefore,AveragePolicyStd,AverageReturn,MaxReturn,Perplexity
4556634.58203,0.00685577825944,0,0.0,-317.20288847,351.9811919084482,204,4.89308593643e-12,30.0362641243,25324.0451533,1.4189385332,-159.748038558,4581958.62718,1.0,-245.857146588,-178.700790775,4.13273135412
4731396.83925,0.00760270608692,1,0.0,-323.363300772,361.7368126374375,204,0.916217935903,24.3233760265,38791.0104148,1.40620605873,-159.860741995,4770187.84966,0.987348240546,-246.599890753,-174.069732475,4.08044503114
4412802.57665,0.00814553650079,2,0.0,-309.503525842,346.3069939304802,204,0.910392230387,26.0693026605,37828.5543287,1.39252012989,-160.74325414,4450631.13098,0.973927509848,-247.234019397,-165.277886724,4.02498075659
4438822.85985,0.0060323703794,3,0.0,-307.20483651,343.9235139001209,204,0.916052741703,23.9929452009,21746.7304415,1.38802181446,-156.751275655,4460569.59029,0.969556315578,-241.729449601,-190.159452246,4.00691578498
4527444.62711,0.00627261864343,4,0.0,-302.569889408,346.05352911590415,204,0.931576755866,18.9368074832,33920.9484055,1.37741380576,-152.696231247,4561365.57551,0.959325613379,-235.772902224,-187.132445957,3.96463504122
4672035.40517,0.00855299500604,5,0.0,-302.765602365,353.7401152947833,204,0.944582418083,16.8898626941,43732.8026009,1.37362952134,-153.014583555,4715768.20777,0.955702112907,-236.009654309,-199.232977616,3.94966008721
4524935.31609,0.00699848570252,6,0.0,-313.561539265,347.43085592622595,204,0.928019881535,21.7648240161,42487.9408085,1.37417704774,-154.743180134,4567423.2569,0.956225528319,-237.73074528,-194.84805462,3.9518232225
4267436.38035,0.00687629341292,7,0.0,-300.19291087,335.1132087343642,204,0.93277251499,19.9004636547,38372.6481673,1.33350026045,-154.802368788,4305809.02852,0.918109813696,-239.495191103,-189.303724655,3.79430121359
4088702.5647,0.00940754384702,8,0.0,-308.386429824,325.3312338764869,204,0.933646412857,21.2091295496,31617.0443085,1.32272086089,-155.350093718,4120319.609,0.908266290127,-238.752514395,-186.462237064,3.7536205751
4053635.06164,0.00793927295361,9,0.0,-319.568233507,329.93798336941165,204,0.917866371473,25.197174185,33652.3331203,1.3292231008,-162.703556133,4087287.39476,0.914191297483,-250.839134261,-187.514598125,3.77810703877
3911598.21601,0.00977571202083,10,0.0,-330.346370756,323.4578609206079,204,0.909312590007,29.4748332355,38789.2084611,1.32676789042,-163.312201525,3950387.42447,0.91194951866,-251.368708397,-191.727592762,3.76884236914
3934106.35915,0.00984981177377,11,0.0,-331.811807506,327.02946017149213,204,0.909946401507,29.9700352832,37957.6926462,1.32827048848,-166.956135466,3972064.05179,0.913320842254,-256.781986035,-169.110017625,3.77450968116
3965303.82673,0.00780831740877,12,0.0,-322.818003321,332.0609341496863,204,0.920553647097,27.2218595898,53557.4511403,1.3182036715,-170.496120831,4018861.27787,0.904172731923,-262.437367174,-189.623182676,3.73670299876
3943412.85801,0.00655500522298,13,0.0,-321.387446962,325.89888843809945,204,0.928116491188,24.3133242027,39574.7982524,1.30376061072,-164.779602728,3982987.65626,0.891207563932,-253.398838331,-203.883865796,3.68312144249
3853078.06484,0.00908035865572,14,0.0,-305.185502975,320.7269375585436,204,0.920866137333,26.1683117513,50290.5906006,1.2957994425,-162.508894595,3903368.65544,0.884140678255,-251.152128277,-187.330534927,3.65391590248
3933813.53744,0.00543853756775,15,0.0,-317.426653951,322.1744439052765,204,0.919867584498,26.7504199093,26916.1812308,1.29186356532,-160.938164858,3960729.71867,0.880667648329,-248.357504603,-190.418228502,3.63956280281
4066114.15372,0.00780095982248,16,0.0,-313.500165309,324.6725621398369,204,0.930446559196,20.619286403,39942.8180855,1.27911432275,-154.702545235,4106056.9718,0.869511072921,-238.888194343,-198.807671752,3.59345567382
3975635.5258,0.00895190423207,17,0.0,-313.913449278,321.5819370865961,204,0.928353045259,23.1785767585,38680.5276545,1.28320695579,-156.733890963,4014316.05345,0.873076954614,-241.707541502,-173.902143838,3.60819250489
4064814.98923,0.00530080568285,18,0.0,-304.660644784,324.2708813431243,204,0.934622953795,21.1099024447,23969.6580855,1.28853871335,-156.398335907,4088784.64731,0.877744421109,-239.608285632,-167.639688384,3.62748189002
3858023.52787,0.00790214641143,19,0.0,-316.394260486,319.58910357438856,204,0.919896804797,25.3654353877,48261.80699,1.27357547573,-161.88996108,3906285.33486,0.864708297302,-248.299836312,-204.10723573,3.57360709243
3946784.17211,0.00842017360077,20,0.0,-316.751300624,320.8793280360325,204,0.932335552437,22.2272331279,44677.8163057,1.27850651739,-157.882230487,3991461.98842,0.868982740005,-242.692029146,-194.623655344,3.59127221581
3803067.15029,0.00728755590742,21,0.0,-310.798470808,312.9691294647684,204,0.913504483147,25.2738354074,38043.2721619,1.26855073423,-156.253746457,3841110.42245,0.86037425947,-241.713434842,-188.02570079,3.55569567839
4064735.43265,0.00868327420311,22,0.0,-318.600014694,326.0615352936959,204,0.919602192389,25.4594904812,38667.4174152,1.3015437495,-156.908867659,4103402.85006,0.889234068736,-242.255035329,-192.322808467,3.67496551702
