ExplainedVariance,AveragePolicyStd,NumTrajs,Total cost,Iteration,Perplexity,MeanKL,AverageReturn,dLoss,MaxReturn,MinReturn,StdReturn,AverageDiscountedReturn,MeanKLBefore,LossBefore,LossAfter,Entropy
4.80859796426e-12,1.0,204,255.26048633931777,0,4.13273135412,0.00522323390224,-249.624605307,569.22062065,-174.484363216,-307.502838976,28.3390205888,-161.774767316,0.0,1.23933252549e-10,-569.22062065,1.4189385332
0.901767330265,1.0008423408,204,254.7452363701819,1,4.13621252238,0.00594983287288,-248.047570395,588.754037203,-183.736594051,-311.075089755,27.4093885394,-161.240856138,0.0,2.19260165579e-11,-588.754037203,1.41978051944
0.892269458342,0.992066094074,204,260.1043083945917,2,4.09994265234,0.00665953208985,-256.107368852,623.455205567,-174.275025859,-329.851485597,32.8181838884,-166.077275034,0.0,1.11633424726e-10,-623.455205567,1.41097298638
0.908113199909,0.999638730788,204,262.62771183404016,3,4.13123832552,0.00789819145876,-258.33159238,802.330229379,-179.407950377,-319.377589971,28.8079989979,-167.0704506,0.0,1.20479404231e-10,-802.330229379,1.41857719872
0.908523596108,1.01766022642,204,265.0491764431752,4,4.20571632558,0.00854055647372,-260.793384121,683.401461301,-180.782610104,-339.352769518,31.4873769242,-169.489709981,0.0,6.96780411147e-11,-683.4014613,1.43644462983
0.918479605964,1.02470595683,204,275.3112585723063,5,4.23483443654,0.00674539855994,-270.646477671,678.707171065,-168.371802097,-331.43333177,30.4697239699,-175.84608516,0.0,-5.36579669586e-11,-678.707171065,1.44334423325
0.937993612865,1.04814013308,204,284.0187473878123,6,4.33168159147,0.00714240121604,-278.627170539,772.683643326,-183.23052171,-342.956166521,26.3079180707,-180.196737213,0.0,-2.59675614345e-11,-772.683643326,1.46595582493
0.932274047758,1.05012027686,204,288.8319711042906,7,4.33986499378,0.00694309262952,-282.960462331,725.380628732,-189.078787992,-347.676850973,30.2460866273,-183.713040967,0.0,-1.0529666028e-10,-725.380628732,1.4678432402
0.933123186838,1.05453612351,204,290.0419509705138,8,4.35811450167,0.00913430734655,-283.329386859,965.718712952,-139.982522913,-366.892338057,28.8777167403,-183.946682571,0.0,-1.46337386653e-11,-965.718712952,1.47203951008
0.934748246495,1.03857714399,204,283.94328802522153,9,4.29216032664,0.00795182645522,-278.784994527,960.666236,-192.808189708,-326.274295527,26.8544968853,-180.756837794,0.0,-8.10651545891e-11,-960.666236,1.45679017883
0.926575190121,1.02364101858,204,278.0633038030333,10,4.23043333283,0.00804400519546,-274.347718117,839.443727469,-170.437995851,-326.69888493,29.7301314455,-178.490995689,0.0,-6.66574018204e-11,-839.443727469,1.44230443056
0.912557028279,1.03278031477,204,269.3469346733449,11,4.26820358877,0.00666947062302,-264.675082234,659.459844456,-178.544021412,-324.938526695,30.358217034,-172.063852065,0.0,8.3392293071e-11,-659.459844456,1.45119303351
0.916519335367,1.03823441701,204,263.980324428212,12,4.29074392812,0.00718676418159,-260.637166813,861.373116898,-162.182835679,-318.348277694,29.308546692,-169.233282135,0.0,4.32253122185e-11,-861.373116898,1.45646012772
0.914898121789,1.06758492513,204,265.7026764942569,13,4.41204169325,0.00718255687184,-260.886908731,802.851860027,-173.468779653,-317.971023439,28.127067795,-169.021842172,0.0,-9.6842533992e-11,-802.851860027,1.48433755131
0.895876301721,1.07171641702,204,253.87792189304906,14,4.42911603933,0.00689950819095,-248.165072803,710.576923102,-176.417768743,-315.525918877,28.3682484568,-161.602099331,0.0,5.78053160893e-11,-710.576923102,1.48820002449
0.901024773625,1.05480644471,203,257.512045289135,15,4.35923166659,0.00958100724206,-251.947690801,1026.55716633,-162.869572231,-327.553003903,31.0630695445,-163.608763828,0.0,-3.50242890246e-11,-1026.55716633,1.47229581857
0.918463924467,1.04561405519,204,250.812635137383,16,4.32124199018,0.00712061350943,-242.511021802,922.714080008,-193.365990929,-311.539115833,23.3827577593,-157.363111957,0.0,-9.8161034856e-11,-922.714080008,1.46354285866
0.902764896246,1.03662784492,204,248.46734085579158,17,4.28410439726,0.00751394900056,-238.018469596,884.94692347,-164.36737859,-297.511892799,25.7807976811,-154.196179647,0.0,-3.94306809426e-11,-884.94692347,1.4549115214
0.917731896054,1.01884429311,204,251.74392945447835,18,4.2106097551,0.00604763160492,-242.727111159,892.146973584,-173.084145903,-300.895292629,23.7281065797,-157.141644281,0.0,4.99802421672e-11,-892.146973584,1.43760747215
0.909171951866,1.01916708346,204,245.07356065907155,19,4.21194376092,0.00760735822672,-236.444879244,961.856756685,-169.447306945,-309.383747141,25.1427500793,-153.573394,0.0,6.87390144805e-11,-961.856756685,1.43792424207
0.922506099458,1.01828773319,204,244.71164538850783,20,4.20830964246,0.00981634520208,-236.095668062,1478.19721282,-179.129559096,-294.421737519,21.1094941152,-153.095841107,0.0,7.00370213214e-11,-1478.19721282,1.43706105696
0.898155652679,1.02646837776,204,251.88800025529616,21,4.24211804879,0.00598158027387,-243.618314247,688.920812295,-184.511178686,-319.029221474,28.9295721135,-158.442781731,0.0,-1.06760641994e-11,-688.920812295,1.44506268432
0.9035198337,1.03175850641,204,243.36151819058514,22,4.26398072934,0.00692429008558,-232.881970461,929.701174358,-176.082305928,-301.72536343,24.6831043152,-151.757289262,0.0,-2.99965816075e-11,-929.701174358,1.45020316747
0.921025964709,1.0144102899,204,244.53870440549431,23,4.19228521103,0.00778532962151,-230.388927137,1264.59148603,-174.466897427,-291.762067218,21.5414312714,-149.578910249,0.0,-1.1900147534e-10,-1264.59148603,1.43324598169
