NumTrajs,MaxReturn,AveragePolicyStd,MinReturn,Iteration,AverageReturn,dLoss,AverageDiscountedReturn,Entropy,Perplexity,LossBefore,MeanKL,StdReturn,LossAfter,ExplainedVariance,MeanKLBefore
34,-1154.89617075,1.0,-1530.03692363,0,-1379.34059122,16413.9617066,-282.676722759,1.4189385332,4.13273135412,-2302237.25688,0.0098929200533,89.8727339836,-2318651.21859,1.95032878736e-12,0.0
34,-1162.68955407,1.00956097022,-1456.40974842,1,-1329.55880948,13336.4507753,-272.75019865,1.4284540866,4.17224427552,-2027767.12359,0.00641841191922,83.6964379087,-2041103.57436,0.915746848802,0.0
34,-1095.33400491,1.02709056689,-1463.89463146,2,-1309.99886021,13957.0796192,-273.830117048,1.44566864613,4.2446893893,-2394176.38178,0.00665587383306,91.542050413,-2408133.4614,0.914451173212,0.0
34,-1188.27047846,1.03060529604,-1456.3777983,3,-1332.04459395,6653.28209163,-275.599960238,1.44908482889,4.25921482066,-2205206.42638,0.00807899054636,68.4492408404,-2211859.70847,0.933147503629,0.0
34,-1196.56779183,1.04479327797,-1478.51864936,4,-1373.93526619,12599.8550481,-280.754576731,1.46275757892,4.31784993843,-1580239.76947,0.00891245152391,76.9208501159,-1592839.62452,0.935764374348,0.0
34,-1140.22172211,1.0458094372,-1437.30763784,5,-1305.83441561,10243.6762729,-270.931737801,1.46372969984,4.32204945155,-1883745.60457,0.00714044663843,80.210984937,-1893989.28084,0.915716685668,0.0
34,-1129.88100362,1.04404338532,-1457.32771513,6,-1291.17866411,15965.1929616,-268.94584028,1.46203957862,4.31475083357,-2436829.60341,0.00944376205476,87.084156358,-2452794.79637,0.913128417084,0.0
34,-1077.76872691,1.04473191349,-1469.8780919,7,-1257.0239667,13393.5303149,-262.363490168,1.46269884359,4.31759633552,-3303802.4662,0.00692179580613,80.8859458911,-3317195.99652,0.922037239656,0.0
34,-1155.86871933,1.03663878101,-1484.87465864,8,-1318.8298733,24480.0096367,-271.072186077,1.45492207102,4.28414959318,-2703517.8146,0.0081762242972,78.4275393539,-2727997.82423,0.91451824528,0.0
34,-1164.16199093,1.05046390236,-1477.49641189,9,-1293.64396087,18402.733481,-269.95488523,1.46817041157,4.34128510565,-2871519.94424,0.00604177055092,85.6247398309,-2889922.67772,0.913498148902,0.0
34,-1120.13001748,1.07048207126,-1511.69417922,10,-1290.99716342,25763.011908,-269.8490939,1.48704761411,4.42401481992,-3357621.40057,0.00701984534934,90.3386761525,-3383384.41248,0.911742632881,0.0
34,-1091.8532729,1.08140295107,-1464.04437994,11,-1283.5322237,20978.1323722,-268.03200073,1.4971977601,4.46914788232,-2455856.90662,0.00926562304641,86.9490195589,-2476835.03899,0.907647826033,0.0
34,-1057.87416576,1.08125485829,-1473.77234516,12,-1277.38042869,14004.6056782,-264.441443945,1.49706080567,4.46853585465,-2078209.10715,0.00669968668422,90.6077894978,-2092213.71283,0.889878993411,0.0
34,-1080.35754123,1.07488282868,-1376.6548967,13,-1232.51282969,12588.3102677,-258.093416517,1.49115019227,4.44220196811,-2421945.76551,0.00689717409927,73.7039249293,-2434534.07578,0.905317384808,0.0
34,-1052.22167835,1.07450847438,-1313.86312457,14,-1196.84801747,15529.5265477,-247.197236477,1.49080185709,4.44065486235,-2042995.1807,0.00702062157998,59.2901050406,-2058524.70725,0.919454078942,0.0
34,-1089.40922693,1.0797659637,-1303.92730209,15,-1184.36563451,8222.41186957,-241.926312127,1.49568285058,4.46238265328,-1690912.49192,0.00573840741752,59.0464748057,-1699134.90379,0.920020648373,0.0
34,-1095.74524975,1.08795885728,-1282.01165387,16,-1174.63179532,14068.2588219,-242.356134477,1.50324186593,4.49624168149,-1884121.57508,0.00742628114569,47.6022037425,-1898189.8339,0.944368863812,0.0
34,-1037.58240268,1.08963958565,-1273.45823955,17,-1186.9501115,8376.39392113,-245.481778379,1.5047855194,4.5031876803,-1430229.76631,0.00661371792717,48.7479928495,-1438606.16023,0.939354762018,0.0
34,-1081.12670755,1.06762626399,-1330.59552282,18,-1170.89294267,12380.6167667,-241.363539557,1.48437627242,4.41221253568,-2093436.38568,0.00628520061091,46.9476477831,-2105817.00245,0.936049789908,0.0
34,-1067.26574348,1.0819440817,-1234.72876416,19,-1155.17851094,6783.15616408,-242.063826469,1.4976980318,4.47138422986,-1151429.99454,0.006146058615,35.8282455012,-1158213.1507,0.942493492623,0.0
34,-1039.4831332,1.07115820968,-1283.12165741,20,-1162.22815564,10539.3273361,-239.804493096,1.48767903521,4.42680911836,-1831424.18898,0.00649994603927,53.4438178075,-1841963.51632,0.935196126588,0.0
34,-1072.399877,1.07016523349,-1259.19602253,21,-1169.07884438,11167.1598418,-241.597174425,1.48675159358,4.42270541452,-1467057.88893,0.00686348617458,46.7762272076,-1478225.04877,0.939961743292,0.0
34,-1076.31469532,1.05768713666,-1271.27465599,22,-1167.18466025,11593.7443041,-238.952996983,1.47502311086,4.37113679251,-1664995.69139,0.00666423820238,47.8633563208,-1676589.43569,0.944881012703,0.0
34,-1100.4843141,1.08217664552,-1213.43998482,23,-1171.72063914,6011.65831523,-240.357517158,1.49791295864,4.47234535364,-674357.842101,0.00695026719537,31.5572673386,-680369.500416,0.953107335116,0.0
34,-1084.48037491,1.12045768895,-1246.29027027,24,-1172.18019546,5132.1182798,-240.909753659,1.53267578589,4.6305506221,-1152097.71523,0.00762561082746,44.9396773334,-1157229.83351,0.949327726057,0.0
34,-1072.13046285,1.11524857108,-1218.47682606,25,-1148.21419284,7181.59911437,-235.008946869,1.52801584697,4.60902273734,-1303638.98008,0.00545381607634,34.1750267825,-1310820.5792,0.959909364794,0.0
34,-1091.21085341,1.11084081323,-1199.03107739,26,-1147.55746548,4848.52819896,-236.524036617,1.52405575117,4.59080665827,-879557.18091,0.00632888095145,31.1802957633,-884405.709109,0.96339370902,0.0
34,-1046.77243572,1.10406453639,-1209.72250181,27,-1134.45504316,4758.35186165,-232.41533249,1.51793693622,4.5628021265,-676339.644753,0.00764101367286,34.5746786502,-681097.996615,0.958703077106,0.0
34,-1040.31132254,1.12051342466,-1187.02432901,28,-1130.7710892,6661.27009464,-232.989649638,1.53272552835,4.63078096281,-1119949.01788,0.00624959303967,31.8294554133,-1126610.28798,0.963377455155,0.0
34,-1066.99676918,1.13451541381,-1215.50309776,29,-1140.09728851,6607.93798767,-234.646418492,1.54514414478,4.68864742237,-1107127.03819,0.00980515449557,34.2857821327,-1113734.97618,0.956066184679,0.0
34,-1049.21904098,1.15669928848,-1243.36367673,30,-1150.55023134,7661.87530498,-240.796607403,1.56450904139,4.78032741678,-1408852.92852,0.00621515735821,41.7763030705,-1416514.80382,0.956328674299,0.0
34,-1064.29251529,1.17773736256,-1216.51751856,31,-1153.63387411,7635.10461485,-238.337104563,1.58253364159,4.86727212519,-887203.276288,0.00947012267098,39.8642163816,-894838.380902,0.948361680566,0.0
34,-1062.45592407,1.17336791928,-1230.06951219,32,-1137.87225995,6938.34538687,-234.573511827,1.57881671037,4.84921438993,-1423680.13187,0.00680709600203,33.5419444201,-1430618.47725,0.951836101279,0.0
34,-1084.40288465,1.17607076504,-1250.01337473,33,-1153.64009855,12308.8548518,-241.68178463,1.58111755522,4.86038452534,-1655496.17365,0.00973061519904,33.4893944396,-1667805.0285,0.95454800264,0.0
34,-1094.00168254,1.18974548924,-1281.00764506,34,-1151.12366352,16606.7668772,-238.620686852,1.59267794286,4.9168984868,-1975113.21528,0.00916947562876,38.8701968513,-1991719.98216,0.945954643459,0.0
