dLoss,AveragePolicyStd,Perplexity,Iteration,LossBefore,MeanKLBefore,AverageReturn,NumTrajs,MaxReturn,Entropy,Total cost,AverageDiscountedReturn,LossAfter,StdReturn,MeanKL,ExplainedVariance,MinReturn
0.0968022006199,1.0,4.13273135412,0,-0.0,0.0,-246.822947537,204,-178.700790775,1.4189385332,352.5021271040903,-160.477513612,-0.0968022006199,30.1473550221,0.00184744970617,4.84545736867e-12,-317.20288847
0.0534276483291,0.983846339516,4.06597261496,1,-9.18168290779e-17,0.0,-249.807777212,204,-168.529182809,1.40265298005,347.8286506382758,-162.097467616,-0.0534276483291,27.9311086058,0.00225550954915,0.904184744086,-320.183838124
0.0625426788875,0.974880023552,4.02891723984,2,2.38343765672e-16,0.0,-253.629086397,204,-178.788231169,1.39349766488,344.11544900761226,-165.222761656,-0.0625426788875,29.720814966,0.00259756681332,0.909260636866,-323.367550382
0.014625337549,0.957222446184,3.95594321622,3,-2.75546377297e-17,0.0,-254.106920143,204,-170.350818956,1.37521905982,341.1863041540702,-165.178224357,-0.014625337549,30.6158802596,0.00349076806821,0.899828677762,-322.869805275
0.0726197631991,0.941054997319,3.88912749337,4,1.18577883366e-17,0.0,-257.422146115,204,-173.674529537,1.35818483771,338.5679097129369,-167.745384097,-0.0726197631991,30.572441154,0.00237379292106,0.902278569443,-322.294324915
0.0415376619525,0.929578287015,3.84169733286,5,1.59907661085e-16,0.0,-264.005801872,204,-170.313795402,1.34591428271,335.8123982373959,-171.55055776,-0.0415376619525,34.6949619731,0.00242596343807,0.893462058101,-339.196091531
0.0390502074021,0.91041400197,3.76249649117,6,1.75981133492e-16,0.0,-262.378762986,204,-180.871597926,1.3250826975,333.68986178133014,-170.999164239,-0.0390502074021,35.4487851212,0.00315996638783,0.895687081998,-336.212554702
0.044217522124,0.90911399384,3.75712390681,7,-4.83241559915e-17,0.0,-260.472687782,204,-165.735321118,1.3236537463,328.4934320540745,-169.561239413,-0.044217522124,32.0671025056,0.00312037251797,0.899829270562,-342.148396247
0.0223094266094,0.890944708207,3.68203513039,8,-4.13431538705e-17,0.0,-260.57866433,204,-178.831577894,1.30346562388,322.2125681295299,-168.944663333,-0.0223094266094,32.3124366957,0.00480475370467,0.900340533003,-332.736796966
0.0341428293061,0.857818548939,3.54513361335,9,-4.20404008086e-17,0.0,-262.810367866,204,-182.141734099,1.26557584992,314.99149561449275,-170.734699495,-0.0341428293061,32.1734379466,0.00117841932729,0.899017934511,-341.471333265
0.0397293128892,0.847687172727,3.50326335722,10,-1.55512970892e-16,0.0,-264.981309061,204,-189.281480329,1.25369492187,315.001917642935,-171.717579161,-0.0397293128892,31.8479240508,0.00393887804224,0.911250559565,-354.489524438
0.0512748463739,0.822384024547,3.39869224338,11,2.07543165445e-16,0.0,-258.750177091,204,-182.178081572,1.22339072333,303.9970339776357,-168.374591355,-0.0512748463739,32.2946932053,0.00282840733885,0.900222133914,-328.159820428
0.0524711259653,0.807861908887,3.33867624066,12,1.30529468599e-17,0.0,-259.765245488,204,-197.929928514,1.20557439329,301.9250306521905,-169.387632072,-0.0524711259653,31.3149114501,0.00162655280228,0.90989058234,-324.335274467
0.0739444298733,0.799483090888,3.3040488368,13,-2.37290403006e-16,0.0,-255.939260963,204,-171.231813251,1.19514863666,297.868843419513,-167.057042793,-0.0739444298733,30.6635692383,0.00190944599231,0.905842244382,-359.336673993
0.0229255752021,0.787405740139,3.25413639069,14,-1.58648616234e-16,0.0,-252.085475311,204,-181.161722538,1.1799269227,290.6747159113985,-164.644820049,-0.0229255752021,32.0006362171,0.00215557816223,0.896441647067,-322.17459629
0.0251030938564,0.77244080438,3.19229033146,15,-6.51898968129e-17,0.0,-252.577975478,204,-171.870470223,1.16073863142,290.02155240553236,-164.771258502,-0.0251030938564,31.9606300829,0.00314415783804,0.897125417518,-331.74953056
0.0598437655679,0.762969393477,3.15314753466,16,-1.56300779464e-16,0.0,-252.404454554,204,-172.553977562,1.1484011713,287.62489890606,-164.286567447,-0.0598437655679,31.8809181732,0.00221813154171,0.896414580221,-336.03917984
0.0317398861151,0.75208566265,3.10816799902,17,-1.01419496006e-16,0.0,-250.858920754,204,-167.587580203,1.13403348478,284.51873655537764,-163.426040543,-0.0317398861151,35.0002484282,0.00283322682355,0.894280175453,-323.592055478
0.00624695566104,0.73462740994,3.03601773066,18,1.90930614297e-16,0.0,-249.495742844,204,-177.683426058,1.11054669965,280.17960840757604,-162.473988496,-0.00624695566104,32.803941176,0.00430722716801,0.888798688539,-317.417086722
0.0776015375411,0.723250881592,2.98900159525,19,-8.56269438784e-17,0.0,-257.958103182,204,-157.020591389,1.09493941701,285.3231531428514,-167.766368701,-0.0776015375411,34.8400767698,0.00153092810042,0.890431480758,-341.600891205
0.0460642216807,0.711933813895,2.94223119474,20,-9.54080641847e-17,0.0,-248.244721842,204,-171.85215085,1.0791682033,273.8772865480885,-162.507667586,-0.0460642216807,36.5768428855,0.00324689723803,0.879091593693,-326.530970489
0.0571992245326,0.692410909759,2.8615482767,21,-2.57804329302e-16,0.0,-244.635427744,203,-165.454879301,1.05136283384,269.71019557014426,-159.923617316,-0.0571992245326,30.8278331522,0.00114273711486,0.887995880389,-316.944018296
0.0723372528,0.684026819139,2.82689908252,22,6.57072385588e-18,0.0,-244.800771618,204,-173.458855806,1.03918038034,268.3847676111762,-159.637971023,-0.0723372528,34.6776882947,0.00358846907118,0.877047655766,-333.348011667
