MinReturn,LossBefore,Entropy,dLoss,AverageReturn,Iteration,MeanKLBefore,LossAfter,ExplainedVariance,NumTrajs,MeanKL,Total cost,MaxReturn,AveragePolicyStd,Perplexity,AverageDiscountedReturn,StdReturn
-317.20288847,-0.0,1.4189385332,0.109905678697,-245.502043687,0,0.0,-0.109905678697,4.90441021128e-12,204,0.00258440750335,251.48271034721765,-178.700790775,1.0,4.13273135412,-159.562700948,29.9844596456
-314.063892053,7.19345153761e-17,1.4192929165,0.0722971813701,-252.829997956,1,0.0,-0.0722971813701,0.902589246997,204,0.0035003036234,257.8121407665028,-187.93085592,1.00035444609,4.1341961846,-164.169472175,29.8315072742
-314.6816955,-1.07478615275e-16,1.4170684632,0.0971783539915,-245.555522422,2,0.0,-0.0971783539915,0.904901262981,204,0.00476717608309,251.23837519672801,-168.586684318,0.998131677486,4.12501007909,-159.707282289,26.6374119248
-300.246158366,-1.93511825946e-16,1.40455411834,0.0135935206228,-240.081495389,3,0.0,-0.0135935206228,0.896446207039,204,0.00501186986593,247.30939084841833,-173.098723177,0.985718546556,4.07370994369,-156.339465681,26.7462252346
-310.604237569,-5.29617827938e-16,1.41192249919,0.00871470285267,-237.038425099,4,0.0,-0.00871470285268,0.893340224299,204,0.00536320399568,244.57110354669427,-166.729057416,0.99300852089,4.10383744919,-154.849626641,29.0109109724
-316.387934795,3.35077377071e-16,1.4081163916,0.0658146638885,-246.311369819,5,0.0,-0.0658146638885,0.879388855469,204,0.00252100086173,252.60588535191576,-169.562408546,0.989236207091,4.08824748968,-159.696452507,33.206863166
-314.190374339,4.48009513916e-16,1.41212167352,0.224479564497,-239.524193832,6,0.0,-0.224479564497,0.867058381508,204,0.00628489980868,246.76768997092063,-159.871549247,0.9932063224,4.1046549097,-156.212751127,34.8713895626
-318.040740926,2.38667472625e-17,1.41460276814,0.0161277217271,-230.629047396,7,0.0,-0.0161277217271,0.867453682495,204,0.00579306906053,239.1257380181452,-166.729344407,0.995673620792,4.11485159112,-150.193324696,33.4615848915
-299.344892935,4.33009935712e-16,1.41445947369,0.207485002051,-223.00200243,8,0.0,-0.207485002051,0.861203713941,204,0.00569638792144,232.6445286560937,-160.944940391,0.995530956511,4.11426199797,-146.322391289,32.3186048219
-289.701686286,-5.59361928834e-17,1.39089068662,0.177538035338,-213.836382463,9,0.0,-0.177538035338,0.852724646076,204,0.00456117092968,223.72576022184123,-146.615972787,0.972341842455,4.01842761924,-141.061557421,29.7911649059
-299.117116315,1.09776549808e-16,1.37052484701,0.0992148761489,-209.242502634,10,0.0,-0.0992148761489,0.852441295097,204,0.00518403731983,219.6516114955706,-142.521957409,0.952739570331,3.93741669462,-138.410619303,30.9318505867
-274.47935872,3.41843244769e-16,1.35359650027,0.226755201008,-197.327150768,11,0.0,-0.226755201008,0.816721480449,204,0.00772573136831,207.97363614291277,-130.93574487,0.936747010251,3.87132374015,-131.837052757,32.7226045474
-266.135619263,-8.14884168365e-17,1.34722077847,0.229329635794,-185.072255155,12,0.0,-0.229329635794,0.809289273966,204,0.00683037737074,197.52318951566755,-116.788718986,0.93079357082,3.84671977435,-124.938201336,31.4437912689
-263.176266085,2.08701969092e-16,1.33372759151,0.102202921062,-176.430693782,13,0.0,-0.102202921062,0.800169961603,204,0.00509757353815,191.81377241220451,-122.298245622,0.918318552299,3.79516387416,-119.123145323,30.2230418388
-254.39646042,2.73625143109e-16,1.32801235195,0.173141109085,-172.047945529,14,0.0,-0.173141109085,0.77338957277,204,0.00701906791783,188.99239835310917,-107.439010913,0.913085111211,3.77353546808,-116.552993863,31.9866278191
-236.367413319,8.05028923089e-17,1.31455363608,0.067268845565,-155.862601313,15,0.0,-0.067268845565,0.772003167278,204,0.00407923834584,176.65589781008543,-97.3564568803,0.900878485148,3.72308876182,-107.608541277,28.192863984
-252.31574766,-4.36192020112e-18,1.30472963414,0.100970213206,-156.463799798,16,0.0,-0.100970213206,0.778316989553,204,0.00447220017136,178.0139379189584,-101.382930894,0.892071583499,3.68669220325,-107.790038217,28.7316488755
-230.560551661,-4.41626245112e-16,1.30231768455,0.0554557179696,-150.240702111,17,0.0,-0.0554557179696,0.791728812501,204,0.00272302168868,172.78490676349122,-96.2328537531,0.889922544534,3.67781080253,-104.300444206,25.0169206842
-241.294155936,9.87254488642e-17,1.29208670765,0.107148877384,-147.59652841,18,0.0,-0.107148877384,0.769833701221,204,0.00264007439721,171.84138071297954,-97.9683335289,0.880864184492,3.64037503398,-103.058195121,27.1541541587
