AverageDiscountedReturn,MaxReturn,Total cost,dLoss,MeanKLBefore,Entropy,AverageReturn,Perplexity,NumTrajs,StdReturn,ExplainedVariance,MinReturn,LossAfter,Iteration,AveragePolicyStd,LossBefore,MeanKL
-118.415790648,-108.863865943,206.15584782046702,0.157262375512,0.0,0.872810453841,-173.444257859,2.39362859182,104,27.7780048718,0.821051901208,-241.94734547,-0.157262375512,24,0.579188044593,-6.07256735204e-16,0.00526180881118
-118.384654555,-117.402407513,204.6544371237557,0.368394893165,0.0,0.860362534535,-175.05005706,2.36401757638,104,29.6761021544,0.807884586622,-249.643571441,-0.368394893165,25,0.572023045734,-3.23428262366e-16,0.00600639772203
-117.007402307,-108.021372786,203.38727431851225,0.216833616611,0.0,0.843516178252,-172.878956888,2.32452607198,104,31.2083520147,0.788885694429,-234.433184099,-0.216833616611,26,0.5624672578,1.27285949426e-16,0.00382752479009
-112.690707571,-93.6177531997,195.83244856735814,0.21169855973,0.0,0.825416109649,-164.505478425,2.28283047551,104,31.7610834477,0.76739629236,-243.296978034,-0.21169855973,27,0.552378144114,3.95324436023e-16,0.0074543532158
-109.119355081,-101.563432811,193.93218624526176,0.127915106048,0.0,0.787241367354,-159.038450987,2.19732644122,104,27.6114264,0.788478803277,-227.729609461,-0.127915106048,28,0.531688670987,-9.57697299914e-16,0.0048400700875
-108.914817843,-105.146464393,191.18730281371535,0.0956419036412,0.0,0.765419166989,-157.525171558,2.14989535097,104,26.9367608525,0.802169505782,-235.893189533,-0.0956419036412,29,0.520211735715,4.40282261273e-17,0.0040297218527
-107.862254311,-106.71915761,187.34180937616983,0.178153468725,0.0,0.747799224656,-154.953151289,2.11234609817,104,25.262863984,0.811299668522,-234.583695881,-0.178153468725,30,0.511125915808,-1.70482636288e-16,0.00852664560347
-105.566608242,-102.070763398,184.76567441585198,0.162871516581,0.0,0.711169422581,-151.637299536,2.03637124529,104,29.5246935344,0.770774426018,-234.730688011,-0.162871516581,31,0.492742225612,3.87970309732e-16,0.00654942417601
-103.030296206,-102.170553923,183.77913707056393,0.186231845842,0.0,0.704658967142,-148.993227293,2.02315660438,104,29.1086744142,0.759647531414,-235.269473897,-0.186231845842,32,0.489544669377,-3.40624262525e-16,0.00932368601333
-100.767567853,-110.499551872,180.6962977689772,0.272298477024,0.0,0.676081004172,-144.104794863,1.96615725178,104,24.210017374,0.787082312399,-230.606969869,-0.272298477024,33,0.475752494732,-9.97480340183e-16,0.00695558987412
-97.9575303069,-95.4871447904,175.3342374607569,0.102451003678,0.0,0.64913491591,-138.859457337,1.91388444168,104,25.4018890843,0.76992007311,-223.234396255,-0.102451003678,34,0.463104004999,-1.13179832342e-17,0.00829465208879
-99.3497614187,-94.5989328998,180.81295968657753,0.159758137385,0.0,0.619798667255,-142.58513817,1.85855381643,104,32.1385766656,0.732358785991,-238.645660664,-0.159758137385,35,0.44971561352,3.44480303895e-16,0.00511848012185
-97.7659601806,-96.0479325147,176.47408865286087,0.161507685107,0.0,0.607129096353,-138.741724621,1.83515527481,104,26.1221286476,0.774963643863,-227.267351082,-0.161507685107,36,0.444053851451,6.21981752641e-16,0.00544655071924
-94.9595428243,-94.9103152224,172.49575563255465,0.139566015718,0.0,0.607619847992,-133.57636682,1.83605610129,104,21.8008405302,0.786057789824,-211.133576705,-0.139566015718,37,0.444271825088,4.61799303895e-17,0.00296386570123
-96.4078059844,-90.7593747059,175.0410837267937,0.422483033408,0.0,0.604718863115,-136.915661161,1.83073744871,104,28.7498035839,0.732771006011,-231.935127548,-0.422483033408,38,0.442984866868,2.00076765758e-16,0.00668197546609
-97.6727227374,-90.8263132812,176.6847667353211,0.301690172541,0.0,0.582689120608,-139.469686281,1.79084776705,104,30.2678884398,0.726797280964,-239.083621021,-0.301690172541,39,0.433332731695,-1.55785656517e-16,0.00961948173321
-94.1274240696,-89.5806999268,167.32559676234231,0.145300016822,0.0,0.550003307881,-131.47222449,1.73325875127,104,23.9205231806,0.767054587404,-217.546339797,-0.145300016822,40,0.419397875824,1.04545183233e-15,0.00660805608708
-94.545940381,-85.1218705298,168.59995942495726,0.173503499839,0.0,0.547274173396,-132.166012256,1.72853490398,104,25.147056103,0.755229886711,-214.741918031,-0.173503499839,41,0.418254843073,3.2740140033e-16,0.00754741026768
-93.8607854569,-85.5515523321,166.93649541353741,0.277895061488,0.0,0.520338537818,-131.260787981,1.68259717607,104,20.5493651695,0.796206876057,-198.302245164,-0.277895061488,42,0.407139257767,-8.49710207793e-16,0.00838374043622
-92.6622695983,-82.2556764089,167.45395165843107,0.36658717781,0.0,0.462655986013,-128.273819961,1.58828685553,104,19.766794495,0.815508311569,-176.932943133,-0.36658717781,43,0.384318921176,-1.11701984191e-15,0.0069315077503
-91.6604439735,-83.6788836364,169.24442483940982,0.27166081759,0.0,0.453712406191,-127.948592536,1.57414521795,104,20.6045730161,0.781475994415,-206.373867305,-0.27166081759,44,0.380897058886,1.0081192841e-15,0.00637105714898
