AverageReturn,MinReturn,StdReturn,LossAfter,Perplexity,Iteration,MeanKL,AverageDiscountedReturn,NumTrajs,MaxReturn,AveragePolicyStd,LossBefore,ExplainedVariance,MeanKLBefore,dLoss,Entropy
-289.765878202,-330.418956777,16.9497964705,-104.155089882,4.13273135412,0,0.00740458182399,-184.764066071,209,-243.338341973,1.0,-100.0,3.54283269388e-12,0.0,4.15508988192,1.4189385332
-293.083594957,-329.277232117,18.3982961442,-102.731023237,4.14972427278,1,0.00788624803837,-187.146962628,209,-237.297753497,1.00411178884,-100.0,0.969029490311,0.0,2.73102323724,1.42304189174
-295.059341027,-336.30631304,17.0551741634,-105.910187206,4.10217070579,2,0.00800145367721,-188.004873568,208,-233.813072777,0.992605217782,-100.0,0.972597146547,0.0,5.91018720563,1.41151627404
-293.677683342,-353.066031544,20.3180487177,-105.742966268,4.07510475211,3,0.00712769560051,-187.528029624,209,-225.656974889,0.98605604936,-100.0,0.963504169731,0.0,5.74296626804,1.4048964524
-297.955015837,-339.954553457,17.201051673,-102.91852757,4.06144164271,4,0.00905982548867,-190.125081647,209,-244.27593701,0.98274997688,-100.0,0.968715173801,0.0,2.91852757038,1.401537995
-294.339285754,-363.091494063,20.5373899697,-104.290063615,3.98911869451,5,0.00576773586836,-188.862128097,208,-242.13336544,0.965249940703,-100.0,0.959264079887,0.0,4.29006361474,1.38357032794
-292.414643683,-339.308706588,22.7182644119,-103.896447068,4.02217939935,6,0.00537955475579,-187.686408002,209,-215.609800936,0.973249663407,-100.0,0.955848259237,0.0,3.89644706753,1.39182389487
-283.03533481,-338.536678266,25.5693215898,-103.256983278,4.03550881197,7,0.00711922210176,-182.276242042,209,-206.728018597,0.976474991037,-100.0,0.944371160564,0.0,3.2569832784,1.39513239339
-270.6388524,-324.053444642,28.431865816,-101.957075012,4.07261475688,8,0.00526654597565,-174.343203122,209,-194.457803898,0.98545354341,-100.0,0.936096074002,0.0,1.9570750117,1.40428523958
-275.161910598,-332.989514906,27.8091118855,-103.578984141,3.99128287282,9,0.00874285164449,-177.301734503,209,-206.411973,0.965773608497,-100.0,0.936460066506,0.0,3.57898414079,1.38411270123
-276.419087929,-329.571916329,26.3397014,-101.811082072,4.04989695404,10,0.00859858010512,-179.088398,209,-201.385344207,0.979956500196,-100.0,0.938559863199,0.0,1.81108207223,1.39869143735
-268.33423171,-320.030945266,25.836107663,-104.778240756,3.95421883504,11,0.00611778125519,-173.320403226,208,-201.193213672,0.956805196422,-100.0,0.937139881399,0.0,4.77824075639,1.37478306845
-263.047413659,-322.164074327,27.4973351527,-103.871005987,3.98513619185,12,0.00834002172784,-170.151188299,209,-199.399107419,0.96428629165,-100.0,0.936656614303,0.0,3.87100598698,1.38257148778
-260.646461536,-350.85252007,33.4627267387,-105.315195997,3.91939948949,13,0.00860040687459,-169.071465147,209,-163.210467719,0.948379934152,-100.0,0.914500670776,0.0,5.31519599664,1.36593845061
-257.792506835,-332.510723311,35.6128405169,-103.548968136,3.88136651281,14,0.00852992273811,-167.668527956,209,-185.073512016,0.939177067229,-100.0,0.905639822812,0.0,3.54896813575,1.35618728565
-265.93470203,-348.082881586,36.1623001045,-106.923931939,3.93788743316,15,0.0091757901833,-173.25369262,209,-168.111326774,0.952853475276,-100.0,0.90648159334,0.0,6.9239319387,1.37064439503
-265.900511686,-331.392635901,37.2057818445,-109.5356218,3.90010004998,16,0.00857081834636,-173.288145359,209,-168.513390007,0.943710034791,-100.0,0.903505171764,0.0,9.53562180041,1.36100220665
-254.030642897,-332.05682841,34.4783584263,-104.468444104,3.90357430287,17,0.00597248389342,-165.739119953,209,-167.540586658,0.944550702279,-100.0,0.894251674628,0.0,4.46844410392,1.36189262133
-253.308335,-342.952452494,38.5091366016,-105.59167371,3.90198322511,18,0.00702483522379,-165.557469874,209,-163.79907638,0.944165708042,-100.0,0.890859289674,0.0,5.59167371017,1.36148494314
-243.940134924,-349.923143157,33.0933473881,-106.212465734,3.93550098557,19,0.00708493489672,-158.455651104,209,-166.870114093,0.952276024824,-100.0,0.896687314157,0.0,6.21246573376,1.37003818903
-247.692684284,-318.811190982,33.5103638052,-106.439692367,4.00160270158,20,0.00565332336953,-161.509834264,209,-156.620451232,0.968270704938,-100.0,0.890543239308,0.0,6.43969236674,1.38669495627
-241.398806304,-313.073922804,31.9381493516,-102.36692568,4.11848680012,21,0.00813055052844,-157.268298296,209,-168.622600979,0.996553234947,-100.0,0.887635392905,0.0,2.36692568011,1.41548581437
-248.143922491,-318.821695158,31.0571657282,-104.751967987,4.10587682379,22,0.009163410172,-161.376456116,209,-157.471617262,0.99350198984,-100.0,0.895849964469,0.0,4.75196798711,1.41241931907
-247.001567237,-321.88957178,33.6624310937,-103.260935913,4.05936493352,23,0.0065176342456,-161.221836213,209,-153.639986973,0.982247474053,-100.0,0.891883439153,0.0,3.26093591341,1.40102654106
-234.049416015,-311.846801819,39.0255173837,-105.583548514,3.91951846055,24,0.00795727029636,-153.451776695,209,-129.266525831,0.948408721665,-100.0,0.846855755913,0.0,5.58354851448,1.36596880456
-225.00920139,-304.874787111,31.9580974108,-105.873156822,3.88278274342,25,0.0098031906817,-147.322397706,209,-146.948050401,0.939519753576,-100.0,0.851327226461,0.0,5.87315682187,1.35655209848
-215.042208675,-315.107861478,32.012550769,-104.18368987,3.85953637535,26,0.00751246471432,-140.814483087,209,-127.013716016,0.93389481305,-100.0,0.849798305075,0.0,4.18368987014,1.35054706625
