Iteration,AverageDiscountedReturn,AveragePolicyStd,AverageReturn,Perplexity,ExplainedVariance,Entropy,Total cost,MeanKL,MeanKLBefore,dLoss,LossAfter,LossBefore,StdReturn,MaxReturn,MinReturn,NumTrajs
11,-158.04243618,0.733003903577,-241.741904895,3.02930821501,0.870092524451,1.10833428158,275.90424075990495,0.00772454144319,0.0,0.0427868872819,-0.0427868872819,2.29328399312e-16,32.2029499019,-173.054060227,-311.990033131,104
12,-152.518020886,0.707319387926,-232.255863803,2.92316101186,0.888845453918,1.07266556907,268.5643730065508,0.00927841962685,0.0,0.111943373657,-0.111943373657,-1.48536735887e-16,28.5083186546,-170.617832636,-308.358348098,104
13,-152.09109968,0.688682620206,-231.689490411,2.84614025757,0.873609527126,1.0459637808,264.3599899971166,0.00415181978353,0.0,0.0958599528808,-0.0958599528808,6.34068803801e-17,30.9327982653,-176.222517844,-314.08213833,104
14,-153.370950994,0.671332242255,-235.327900876,2.7744358066,0.875941473081,1.02044741359,265.7252614568188,0.00537288703825,0.0,0.0749893795597,-0.0749893795597,6.58566863639e-17,30.088602009,-174.64298065,-323.349568164,104
15,-150.295207798,0.660596778251,-230.524686557,2.73006901791,0.873694129524,1.00432689016,258.6255773826168,0.00303176230415,0.0,0.12692007992,-0.12692007992,-2.20836911913e-17,31.5217811476,-177.477100938,-316.774473531,104
16,-150.157964644,0.650401389207,-230.654964794,2.68793421394,0.886426644656,0.988772948381,259.76361048620055,0.00419925640834,0.0,0.0479479438247,-0.0479479438247,-9.26447247393e-17,30.1180658118,-171.265737398,-322.394294945,104
17,-146.314853208,0.6316065692,-223.351346178,2.610260272,0.908826469902,0.959449937437,249.73714880483826,0.00665422257657,0.0,0.124336143292,-0.124336143292,-2.47306637052e-17,21.9618039798,-164.120911762,-275.841515736,104
18,-150.795299582,0.615037172821,-231.434297975,2.54178340807,0.882868513827,0.932865963813,254.30853124077615,0.00343929432093,0.0,0.152567962981,-0.152567962981,2.8887233106e-16,27.027242435,-180.497863203,-293.569725966,104
19,-148.867858104,0.603486349021,-228.034842405,2.49404695638,0.88346679047,0.913906674821,251.8092104658633,0.00284562296351,0.0,0.0598966528054,-0.0598966528054,-4.73395294345e-17,27.9956431595,-174.921075814,-310.585945997,104
20,-145.742522791,0.596232703821,-223.231077818,2.46406958944,0.87405623176,0.901814287738,246.97157558818384,0.00555512316755,0.0,0.0943288494349,-0.0943288494349,-3.61675440795e-16,28.1581558778,-174.653180544,-297.901477295,104
21,-144.958077508,0.581492592952,-221.276231052,2.40315267108,0.910869422747,0.87678148827,245.41039507850147,0.00602964312715,0.0,0.223316094778,-0.223316094778,3.63650186761e-17,19.8417920043,-187.082234758,-284.965716104,104
22,-142.783647671,0.563013928246,-216.520906362,2.32678531407,0.89597423708,0.844487621392,240.02381161416673,0.00703077927287,0.0,0.274636894512,-0.274636894512,-4.82373305144e-17,23.4127955474,-164.332230615,-280.125919482,104
23,-144.662233633,0.551114394822,-220.751678386,2.27760773919,0.89865245932,0.823125654933,242.0350129570939,0.00448512333137,0.0,0.00161495620407,-0.00161495620407,1.03095913865e-16,23.6115686148,-172.522278782,-305.700630384,104
24,-141.476276259,0.549170321972,-215.350573149,2.26957340837,0.892804276727,0.819591888003,237.29567998336137,0.00999988164787,0.0,0.0516584848377,-0.0516584848377,-1.99037921634e-16,22.381188348,-164.497808981,-274.978083403,104
25,-137.561132646,0.539502930248,-207.632015594,2.22962067548,0.89549366174,0.80183147032,230.35757421918225,0.0047536962006,0.0,0.158874750337,-0.158874750337,7.55548995832e-17,21.960656852,-162.067887917,-281.001738393,104
26,-138.728956304,0.536455892563,-211.634464044,2.2170280873,0.908247866256,0.79616759961,232.42751490472628,0.00290355718799,0.0,0.0208732096899,-0.0208732096899,-2.14113717582e-16,18.9561010951,-168.248373453,-262.666288634,104
27,-137.415158907,0.534503605065,-209.009046923,2.20895980754,0.915321630883,0.792521729408,229.9240136091865,0.00651617911083,0.0,0.162070053777,-0.162070053777,3.11575825024e-16,18.5339082738,-169.678224354,-284.932297355,103
28,-137.413073678,0.528012736757,-208.062892718,2.18213479257,0.915377813862,0.780303660285,227.18631375771253,0.00805761433067,0.0,0.102847405788,-0.102847405788,4.77456157958e-17,19.9579630355,-155.617411487,-255.027025812,104
29,-134.267127816,0.516024769089,-202.742283752,2.13259174272,0.895270695649,0.757338020663,224.21081649852857,0.00615499065476,0.0,0.0150258929061,-0.0150258929061,1.5187414993e-16,20.1431001269,-160.89013651,-253.179824516,104
30,-134.967008178,0.516094494162,-203.261421636,2.13287989771,0.91611517516,0.757473131159,225.66664913278203,0.00808227494818,0.0,0.139104558361,-0.139104558361,3.0098466944e-17,18.6597785837,-152.470045926,-257.490969513,104
31,-133.378676859,0.536565512671,-199.712986845,2.21748111775,0.895930350635,0.79637192006,221.42758072624588,0.00694937488886,0.0,0.0977406701842,-0.0977406701842,2.74859900779e-16,21.0398404555,-133.538594232,-249.037057053,104
32,-135.715421134,0.53141495213,-205.163579946,2.19619523472,0.889485551358,0.786726424393,227.32995761484923,0.00438754605519,0.0,0.145773711259,-0.145773711259,6.87393946473e-17,21.9593480337,-152.379986754,-286.087102737,104
33,-129.465927444,0.524990278883,-192.91484286,2.16964378615,0.862424973771,0.77456300023,214.89814012438146,0.00816172071192,0.0,0.154718157403,-0.154718157403,-3.82709723808e-16,24.6563072336,-132.464080426,-243.969333286,104
34,-126.678884564,0.515133109652,-187.376323775,2.12890675381,0.844259703791,0.755608586834,210.75491781153923,0.00717809041864,0.0,0.160684556887,-0.160684556887,1.53104030083e-16,26.8111594774,-132.320647393,-264.989407341,104
35,-123.956784886,0.501973423805,-181.639710814,2.07452130749,0.856415663753,0.729730431885,204.41056620941848,0.00674441611733,0.0,0.0260157522464,-0.0260157522464,-1.11095854836e-16,24.1003089537,-129.14350614,-246.614734241,104
36,-120.883555038,0.495293010727,-177.115442719,2.04691295491,0.813912078211,0.716332782526,200.65312151029167,0.0070117218989,0.0,0.328249790567,-0.328249790567,-1.53689941621e-16,29.2899820334,-114.55838039,-239.133906147,104
37,-117.265642367,0.486912363632,-170.0277753,2.01227799189,0.832627974143,0.699267409637,194.9969605585579,0.0069323462445,0.0,0.135728041872,-0.135728041872,9.37843137636e-17,24.6968772481,-121.580791015,-224.652398849,104
38,-120.462800385,0.483659562207,-174.697808969,1.99883503745,0.834406848823,0.692564529579,199.73433121715956,0.00740196822755,0.0,0.127411178727,-0.127411178727,3.70686870854e-16,26.4951073766,-118.695383,-246.938842235,104
39,-121.359743417,0.47512857824,-176.763446184,1.96357877253,0.81230931909,0.674768712659,201.73957508257084,0.00585839395174,0.0,0.118889937208,-0.118889937208,1.31109080653e-16,30.4764767383,-114.58367544,-249.773081615,104
40,-119.202410759,0.47532714871,-171.61467161,1.96439941094,0.862485695517,0.675186555314,196.51962070136884,0.00606749064922,0.0,0.0920222266373,-0.0920222266373,-2.32808064811e-16,22.0760348961,-116.212322443,-241.040662742,104
41,-119.661036976,0.475833396577,-173.216777684,1.96649159737,0.858007418653,0.676251039996,196.48276857418932,0.00409138197218,0.0,0.152208444681,-0.152208444681,4.44287544243e-17,24.9521123017,-125.299548145,-262.508803011,104
42,-119.880290303,0.467449998957,-173.172423685,1.93184526717,0.867269240448,0.658475643129,195.95737909020602,0.00242841601107,0.0,0.11491969685,-0.11491969685,-1.89550183317e-16,22.6010630851,-122.557365896,-234.722581199,104
43,-116.024677694,0.460949901796,-166.358934827,1.90498211183,0.873320317058,0.644472618419,189.36769286322073,0.00633721275912,0.0,0.170764893973,-0.170764893973,8.63096425991e-17,21.4682881294,-120.826167365,-221.793997047,104
44,-115.660208557,0.443760064404,-165.91795973,1.83394113187,0.845316175988,0.606467275101,188.69727066516728,0.00543917856637,0.0,0.156257872383,-0.156257872383,-2.18219646419e-16,23.6234887778,-121.385707218,-231.869748621,104
45,-115.987043066,0.448761663769,-167.263898892,1.85461139839,0.845596638412,0.617675185373,189.94524245618624,0.00653518634431,0.0,0.105702931659,-0.105702931659,6.00770091233e-17,24.0811316628,-104.990763193,-235.249110442,103
46,-112.380383098,0.463224698209,-160.672656583,1.91438323429,0.825336207165,0.649395499891,184.5181987119389,0.00999404715465,0.0,0.020725206158,-0.020725206158,-7.95187098729e-17,25.4975440579,-94.7949619614,-229.342157842,104
47,-109.953049995,0.446989456469,-157.727570145,1.84728734171,0.812502444121,0.613718261239,182.53390097404687,0.00761193484648,0.0,0.134723992545,-0.134723992545,3.16941410185e-16,26.1663668307,-112.017954165,-236.131712668,104
48,-110.543348244,0.435076338877,-159.061696428,1.79805362711,0.81927190567,0.586704761585,186.07801569813338,0.00526564488778,0.0,0.0165751253335,-0.0165751253335,1.08519219449e-16,25.0827656154,-104.642372264,-225.376235355,104
49,-107.998087549,0.424760379815,-155.287205628,1.75542053965,0.782965372578,0.562708451946,184.3247213722604,0.00743722684562,0.0,0.243709270691,-0.243709270691,2.67109378605e-16,29.982469153,-102.046999548,-223.354741509,104
50,-107.067388953,0.421427052378,-153.497788416,1.74164479284,0.821029038559,0.554829949967,182.96034108226874,0.00417649065639,0.0,0.11238207304,-0.11238207304,1.32364579467e-19,20.1054706838,-120.30480696,-205.657617859,104
51,-106.245742821,0.426168066549,-151.944844112,1.76123813075,0.791721776972,0.566017045103,179.93254926458079,0.00516749062905,0.0,0.073292948322,-0.073292948322,-4.89570554814e-17,25.6480344592,-92.8812503244,-237.328073019,104
52,-107.328147052,0.422033244992,-153.685942732,1.74415002406,0.802749333523,0.556267344757,183.23273873636492,0.00748903131237,0.0,0.0993279635398,-0.0993279635398,1.65346789455e-16,25.230044112,-94.1169002922,-215.918323307,104
53,-108.637972687,0.417140679473,-155.988922811,1.72393036514,0.823090243879,0.544606779975,184.4521225674384,0.00613982822728,0.0,0.0960574623181,-0.0960574623181,3.61447426166e-17,23.7095197728,-104.97249855,-223.483875071,104
54,-109.566070446,0.425624516602,-157.279859148,1.75899178484,0.824436383735,0.564740795388,184.09589139704858,0.00529705489308,0.0,0.128793101787,-0.128793101787,-6.93140400156e-17,24.495208674,-106.973099927,-231.044948162,104
55,-105.647450515,0.43225907018,-150.2320786,1.78641061244,0.836051631409,0.58020836221,179.9604356640067,0.00916851391733,0.0,0.0559852576812,-0.0559852576812,1.21335484816e-16,20.7404845138,-93.300011626,-217.828318007,104
56,-107.853870081,0.437141735492,-155.275854151,1.80658935646,0.818575942735,0.591440734243,184.5241711237703,0.00697329659264,0.0,0.0786008286784,-0.0786008286784,-4.18237914793e-18,23.1335853768,-111.797735138,-216.941264036,104
57,-109.329855861,0.433391392586,-157.017849444,1.79109019675,0.830898626953,0.58282448292,185.82468421416698,0.00552767043531,0.0,0.101548135917,-0.101548135917,1.74184491635e-17,22.9687492,-104.454330595,-223.37257573,104
58,-105.056621233,0.446743222121,-149.10392417,1.8462697213,0.834885043307,0.613167236621,178.1279671656204,0.00597528770015,0.0,0.100731464934,-0.100731464934,-2.18852263496e-16,21.7676408026,-97.511442659,-214.165097091,104
59,-104.480945799,0.452337410684,-148.838786904,1.86938899978,0.835788344707,0.625611639388,179.21851497140636,0.0023892818177,0.0,0.100248707641,-0.100248707641,1.62476353489e-16,20.9354086466,-84.4401796075,-213.898965783,104
60,-103.734568951,0.456945255565,-147.274242467,1.88843198479,0.830054938041,0.635746847055,177.58906839383314,0.00711421322954,0.0,0.14598484547,-0.14598484547,-1.64268669206e-16,21.7913963079,-92.956561421,-199.008422245,104
61,-101.147466246,0.4455405608,-142.613645066,1.84129944515,0.842557132379,0.610471542556,174.17872732755538,0.00420764928073,0.0,0.0789085839121,-0.0789085839121,-4.88246492293e-17,19.9547202505,-101.291498556,-208.395607295,104
62,-102.264425778,0.444541828754,-144.582013066,1.83717195391,0.824943120894,0.608227407683,177.37683685461093,0.00700058390899,0.0,0.0638451144469,-0.0638451144469,-1.53423654136e-16,21.5038655952,-99.1585789295,-216.33233188,104
63,-103.878457792,0.433213630319,-147.324098313,1.79035555305,0.873631669261,0.582414233119,177.33722206067003,0.00658600201511,0.0,0.193672651374,-0.193672651374,-3.23267150147e-16,18.1766901149,-108.155556826,-191.625849928,104
64,-102.190026257,0.42692199764,-144.706889251,1.76435392541,0.816188036937,0.567784575448,174.6210603456758,0.00965408106552,0.0,0.0646538401387,-0.0646538401387,-8.37827243441e-17,21.9392969861,-94.1001138154,-213.142217847,104
65,-103.855251808,0.442515502212,-147.899047935,1.82879769068,0.823291884749,0.603658751305,176.82543479884507,0.00686144687344,0.0,0.15353478551,-0.15353478551,-2.19138813168e-18,21.0191116259,-109.67992372,-203.183635915,104
66,-105.486243691,0.445632861737,-149.594958378,1.84168090013,0.826305688744,0.610678687282,177.38110174445202,0.006619820734,0.0,0.0767619248001,-0.0767619248001,-1.28858027196e-18,23.3047561106,-97.9351928706,-208.893745397,104
67,-103.748333509,0.435041133022,-147.020964492,1.79790813077,0.857809953682,0.586623839511,174.84686873996833,0.00663363241438,0.0,0.126385444357,-0.126385444357,-1.78799210613e-17,18.5004164923,-97.0615360327,-206.100923424,104
68,-106.575647693,0.432563188886,-152.74950653,1.78766745335,0.813217578436,0.580911671394,179.8323314762786,0.00556891270098,0.0,0.00945954705055,-0.00945954705055,7.67891169362e-17,24.4801267417,-99.5435229675,-232.156617396,104
69,-104.170898521,0.43179301378,-147.72860186,1.78448452654,0.812049645427,0.579129592876,175.3644604478191,0.00681067873789,0.0,0.190597351405,-0.190597351405,-3.19346096642e-17,22.6108464017,-95.6952824388,-228.483182381,104
70,-105.979723079,0.420708632994,-151.443218233,1.73867575853,0.817377991144,0.553123765156,178.8727069900564,0.00890460400439,0.0,0.0153111740563,-0.0153111740563,4.22897263984e-18,23.4267462349,-94.2081738171,-210.293394624,104
71,-109.761727148,0.427714307935,-157.860981732,1.76762833101,0.799752870622,0.5696387221,184.4544715946379,0.00472280915591,0.0,0.155494969644,-0.155494969644,4.16019105384e-16,26.5232090396,-104.546195477,-232.015734163,104
72,-109.560172635,0.43217533294,-157.594018877,1.78606454892,0.807799333,0.580014623413,184.53468654389465,0.00682950172381,0.0,0.0229256717542,-0.0229256717542,2.53171515088e-16,25.5370004811,-104.463382273,-235.311401886,104
73,-107.068086237,0.438130745299,-152.409900819,1.8106766683,0.832619679748,0.593700625305,179.03322795640193,0.0065387878839,0.0,0.0558132073272,-0.0558132073272,-1.69554352059e-16,22.2693491754,-107.194738518,-216.889970281,104
74,-105.93869267,0.438234070175,-150.831774199,1.81110368226,0.84874985154,0.593936428647,178.62225494034317,0.00720376902422,0.0,0.201815937461,-0.201815937461,5.62873826654e-17,20.3743796738,-103.644039482,-226.091656875,104
75,-103.103300558,0.43976583125,-147.034027394,1.81743403928,0.800053977299,0.597425637761,176.24326934950753,0.00641628201649,0.0,0.0358726522631,-0.0358726522631,1.74788702693e-16,25.1000063633,-97.9658977674,-224.226053481,104
76,-100.875420805,0.440702871994,-143.103402725,1.82130657694,0.78312727588,0.599554142941,172.86322879114107,0.00668640844948,0.0,0.127893431853,-0.127893431853,2.78811298641e-17,24.2536647473,-86.8022277968,-209.574038378,104
77,-102.10994406,0.424114479252,-144.699262557,1.75275120614,0.831354352509,0.561186671248,175.5204883469991,0.0096742339136,0.0,0.0370115871309,-0.0370115871309,-1.39959816958e-16,20.5259796275,-92.5084792324,-226.967011333,104
78,-102.205532892,0.447343160281,-145.445391992,1.84874910454,0.856344137245,0.614509250685,175.48339472969928,0.00597351764616,0.0,0.201595837406,-0.201595837406,-1.63524122055e-16,18.2830949851,-102.295416738,-192.784837931,104
79,-100.112343088,0.440349408985,-141.29201959,1.81984580928,0.843884429691,0.598751777325,171.2335973293757,0.00756756033573,0.0,0.0172336586169,-0.0172336586169,-4.68570145245e-17,19.5490072505,-92.4323115947,-207.75045315,104
80,-102.276176144,0.427544828043,-144.530138238,1.76692791615,0.812428708497,0.569242398022,172.96750853081357,0.00652922507288,0.0,0.192178152523,-0.192178152523,-3.24767474093e-17,23.5740590318,-92.4817887728,-232.671816117,104
81,-101.148122363,0.409580671201,-143.18943516,1.69268688192,0.833819163686,0.526317137384,171.43390110772455,0.00655759637504,0.0,0.113667635145,-0.113667635145,2.46663969547e-17,19.8751485007,-97.832733099,-220.062933173,104
82,-103.359751333,0.409207077245,-146.745800682,1.69114291846,0.829879118282,0.52540458347,174.16898551999242,0.00479260358306,0.0,0.136500805227,-0.136500805227,2.30035344974e-17,21.6858848413,-95.6741006262,-245.682646924,104
83,-105.63799054,0.412948022585,-150.565626381,1.70660324056,0.825321861553,0.534504985959,178.14795431742107,0.0061882422442,0.0,0.139639947601,-0.139639947601,5.21772185705e-16,23.7793680648,-95.521284495,-226.604777678,104
84,-108.004938432,0.422490260749,-155.041405067,1.74603874741,0.853966104723,0.557349649273,181.73187329706457,0.00727743392258,0.0,0.00059416355723,-0.00059416355723,-4.29534502023e-17,20.7989042261,-99.2445230389,-231.454232853,103
85,-107.603379556,0.422765458878,-154.007892628,1.74717606735,0.850549175457,0.558000808757,180.00504290704953,0.00526980060476,0.0,0.0819242037231,-0.0819242037231,2.96686168991e-17,20.3352454266,-107.397160675,-208.66110686,104
86,-109.371413637,0.427825967947,-156.592957668,1.76808979184,0.83625715727,0.569899750168,182.16174808177345,0.0073138579404,0.0,0.091034902804,-0.091034902804,9.98137677137e-17,22.5045854191,-107.388406886,-237.321224634,104
87,-110.531372282,0.43113393402,-158.190927054,1.78176072695,0.870372811676,0.577602047841,181.97697770323055,0.0046016750448,0.0,0.118343883639,-0.118343883639,-1.71890771341e-16,20.1528728512,-110.682472794,-219.721538307,104
88,-110.913915851,0.426107579919,-157.969826718,1.76098815576,0.883639772201,0.565875103631,182.530307363759,0.00437327380015,0.0,0.0459322034623,-0.0459322034623,-5.50062451879e-17,18.7659854994,-111.448305351,-202.576508158,104
89,-111.181213068,0.428999372424,-159.531316962,1.77293915732,0.842894476573,0.572638710269,184.0238173746303,0.0063137856001,0.0,0.010863317298,-0.010863317298,-7.81090798966e-17,23.1894758846,-115.944793015,-224.525294245,104
90,-110.395970215,0.42252439704,-158.899402061,1.74617982353,0.826460407123,0.557430443826,183.39786050517887,0.00472656769601,0.0,0.0775601716516,-0.0775601716516,3.56641939854e-16,24.5004639524,-91.3355231124,-239.831070621,104
91,-109.091681965,0.433294776145,-155.972317004,1.79069090695,0.871928135221,0.582601526918,180.22372765332514,0.00936592544684,0.0,0.13131210564,-0.13131210564,2.65470026987e-16,18.9603642101,-114.301699717,-211.905458517,104
92,-108.16152413,0.43814716766,-154.655368987,1.81074453751,0.835227625867,0.593738107389,178.89953589939486,0.00329600133386,0.0,0.141771497084,-0.141771497084,8.93251496163e-17,22.2417038757,-112.09904833,-224.009360922,103
93,-107.785680243,0.441311179865,-154.493954407,1.82382054995,0.817368447198,0.600933504112,177.5921938777086,0.00641670276538,0.0,0.118978309955,-0.118978309955,2.10636395773e-16,23.3902453291,-114.614630573,-233.223281429,104
94,-111.916978876,0.427364490636,-161.233835348,1.76618263009,0.827457570423,0.568820511382,185.0611973641309,0.0051787792968,0.0,0.0310919921282,-0.0310919921282,-6.96131890317e-17,24.2364658111,-108.297041524,-219.202722393,104
95,-111.336508921,0.43458938236,-160.689920066,1.79604116665,0.811026818768,0.585584890915,184.40971946996433,0.00512381275125,0.0,0.106588660918,-0.106588660918,-1.59444345461e-17,25.7363424484,-109.861919982,-231.841457292,104
96,-107.011949311,0.428234770406,-151.912264223,1.76977926258,0.832907852588,0.570854828404,177.21685028119845,0.00715126014911,0.0,0.0535151176737,-0.0535151176737,-5.2857288745e-18,21.4912041643,-104.168375753,-232.967154613,104
97,-108.527959055,0.432153683988,-154.428734391,1.78597507962,0.857737172666,0.579964529175,178.71178054105036,0.00576219389243,0.0,0.149857165699,-0.149857165699,-1.84621988566e-16,21.943685044,-101.867334326,-224.555631371,104
98,-102.409348618,0.420094559437,-144.392227175,1.73613795748,0.852323237622,0.551663081677,171.7887602706881,0.00729805217333,0.0,0.359034559936,-0.359034559936,1.46288594452e-16,19.0410668449,-89.5534633488,-187.392298822,104
99,-102.088167231,0.422167371768,-145.654695828,1.74470433399,0.797143601576,0.556585105192,175.03573359108836,0.00391208427726,0.0,0.0785755791092,-0.0785755791092,-2.25005013674e-16,23.1820852013,-99.5749376693,-225.691898234,104
