AveragePolicyStd,AverageReturn,ExplainedVariance,NumTrajs,Perplexity,MeanKL,dLoss,MinReturn,AverageDiscountedReturn,Iteration,Total cost,LossAfter,LossBefore,StdReturn,MeanKLBefore,MaxReturn,Entropy
1.0,-244.342295152,4.87654361336e-12,103,4.13273135412,0.00600640073413,2805.46721405,-317.20288847,-159.085897517,0,349.42627469213005,-2805.46721405,1.10986775326e-09,32.3078955316,0.0,-178.700790775,1.4189385332
0.961659707558,-246.025330328,0.896566259148,104,3.97428122542,0.00835503457228,2640.26465574,-302.403955404,-160.672588389,1,337.0896575134045,-2640.26465574,-2.5050894692e-10,29.0362915867,0.0,-172.843506529,1.37984390796
0.924623207082,-243.918757221,0.905404824821,104,3.82121931866,0.00747818445764,1707.33627688,-301.436550663,-158.805748507,2,328.9284285102107,-1707.33627688,9.4155439001e-10,26.702241201,0.0,-189.563343386,1.34056956505
0.892594237874,-254.935294368,0.90438815074,104,3.68885219337,0.00659952466083,1711.96751565,-317.804624922,-165.215023394,3,325.99602759551095,-1711.96751564,1.49429979501e-09,30.5333187569,0.0,-192.309579653,1.30531535096
0.859980119377,-243.759905803,0.9026142257,104,3.55406680327,0.00953352108337,3491.1556709,-311.484868316,-158.061103325,4,308.2679002372749,-3491.1556709,-6.36646291241e-12,29.5641452264,0.0,-192.358905038,1.2680925262
0.812170112248,-242.298699698,0.911129803264,104,3.35648088777,0.00994395319533,2163.98594076,-304.064572878,-157.264268557,5,294.921383375932,-2163.98594076,7.5020523127e-10,29.5145616814,0.0,-181.644794662,1.21089307029
0.763794848788,-235.861622972,0.895987177376,104,3.1565589197,0.00798349874994,1326.89501276,-305.669745248,-153.126867285,6,278.6540169789353,-1326.89501276,-0.0,28.3389302153,0.0,-178.911103995,1.1494824848
0.750342334632,-241.424260849,0.893376074641,104,3.10096329266,0.0077475376802,2829.10419419,-295.364999031,-155.896584127,7,279.25470725207475,-2829.10419419,-1.08252606879e-09,30.4928326137,0.0,-177.333219118,1.13171280279
0.718900184645,-234.190403785,0.899613790626,104,2.97102133357,0.00847537752015,857.655560892,-307.358253514,-151.711797336,8,271.01621508251554,-857.655560891,1.37470168582e-09,26.6791504393,0.0,-180.019251255,1.08890577706
0.703668186546,-234.248995339,0.919793661862,104,2.90807157744,0.00665496368911,1198.25098121,-294.906640244,-151.826994502,9,270.1076337318453,-1198.25098121,-3.57317730959e-10,23.3961070623,0.0,-188.052992131,1.06749017334
0.688187400165,-229.310671276,0.937052009972,104,2.84409364617,0.0086681173496,798.156656701,-293.877276304,-148.693366856,10,267.839025030386,-798.156656701,6.77342626432e-10,20.096084832,0.0,-187.790395148,1.04524443903
0.673359926521,-222.993254471,0.953781168623,104,2.78281568094,0.00888287746938,2356.30818037,-266.669561309,-145.110025554,11,268.56187447656737,-2356.30818037,-8.83574102772e-10,13.7270991191,0.0,-180.937945843,1.02346325
0.652389273927,-228.071236783,0.936896009284,104,2.69614960745,0.00923694352136,1966.42787255,-280.740497818,-148.328046005,12,262.176682072067,-1966.42787255,2.90526713798e-10,17.5417780342,0.0,-185.506916835,0.991824683889
0.629388290601,-222.431615452,0.935230877719,104,2.60109272248,0.00862231232074,1510.85470565,-280.160796351,-144.961036987,13,253.0642423696772,-1510.85470565,7.22625514982e-10,18.0942644391,0.0,-179.210660373,0.955931634614
0.604862337136,-221.754018588,0.924049827268,104,2.49973354561,0.00990884074398,1373.52577559,-288.82674948,-143.751256626,14,246.45583010617509,-1373.52577559,3.71230157725e-10,19.5614164615,0.0,-172.940354463,0.916184144438
0.588831764747,-229.581054909,0.880974492576,104,2.43348349647,0.00712572347801,2412.9866307,-302.00964079,-148.727964191,15,252.27423277956507,-2412.9866307,2.39737119045e-10,28.6462164113,0.0,-172.452963074,0.889323768461
0.588556659274,-219.749556733,0.919239670976,104,2.43234655946,0.00752373524065,1042.7329666,-261.988778273,-142.435455308,16,244.1455694332536,-1042.7329666,1.36319044941e-09,17.4953479682,0.0,-165.285703942,0.888856453729
0.584025789318,-220.006407117,0.914494807646,104,2.41362169113,0.00836555098375,956.790765063,-287.56629577,-142.974423168,17,242.0021362182696,-956.790765063,2.46160425377e-10,21.7452937551,0.0,-168.616173037,0.881128395866
0.574326007883,-217.443328888,0.922357439594,104,2.37353510026,0.00723345074097,1247.25415551,-273.309603852,-141.237195388,18,241.5313494768683,-1247.25415551,1.75191416929e-10,17.2110306827,0.0,-175.843301626,0.864380447299
0.565531684497,-218.549605883,0.895730006356,102,2.33719052427,0.00919646831944,2527.14202422,-281.990022304,-142.451251711,19,240.32029302621606,-2527.14202422,-4.66172878077e-10,24.208248698,0.0,-168.994333946,0.848949577381
0.55777661853,-210.637273694,0.920306689707,104,2.30514092,0.00719440216405,1757.53663169,-267.375165991,-138.014941301,20,231.45964629715138,-1757.53663169,-8.66123173182e-10,17.7981109232,0.0,-167.848642127,0.835141811238
0.540102301478,-207.824396187,0.909787628737,104,2.23209771575,0.00619701900519,1286.45809201,-273.071410318,-135.759464938,21,228.61917709579564,-1286.45809201,-1.15732312622e-10,18.4303145803,0.0,-166.982378388,0.80294182302
0.533297396857,-204.970330124,0.923274453792,104,2.20397487306,0.00923833208641,1304.17950483,-246.279465997,-134.811943793,22,226.05092766184202,-1304.17950483,-3.93937327203e-10,16.136287879,0.0,-170.949794712,0.790262490619
0.526564643394,-208.811507,0.869424114009,104,2.17615021173,0.00747767218802,2311.53900136,-272.592792568,-136.418594706,23,226.85300011117323,-2311.53900136,1.22887033882e-09,22.9017176079,0.0,-159.82704438,0.777557357735
