MinReturn,Total cost,StdReturn,LossBefore,Iteration,ExplainedVariance,Perplexity,AverageReturn,NumTrajs,AverageDiscountedReturn,MaxReturn,Entropy,LossAfter,MeanKL,dLoss,MeanKLBefore,AveragePolicyStd
-322.328997801,252.7748223200516,29.1013655525,-1.04152769742e-10,11,0.893096688451,4.13758210325,-244.032332054,204,-159.975444621,-168.567272058,1.42011158419,-866.060035699,0.0078464692152,866.060035699,0.0,1.00117373928
-305.470696472,245.67297990827385,28.2868594706,-8.66092753071e-11,12,0.880905122658,4.22640233575,-236.415245547,204,-154.321797945,-166.966686251,1.44135111952,-827.112950315,0.0072700802384,827.112950315,0.0,1.02266563529
-309.423664284,243.24699750428886,26.7384330226,1.05358680114e-10,13,0.892865483882,4.23853789124,-233.068960846,204,-152.022310746,-176.305145175,1.4442183728,-1151.00066011,0.0094618023785,1151.00066011,0.0,1.02560208444
-312.578430669,241.02396492636473,21.1431644786,-2.80592216129e-11,14,0.913696950638,4.22078261142,-228.174579767,204,-148.285298917,-169.084301113,1.4400205638,-1016.27479179,0.00724635106708,1016.27479179,0.0,1.02130582652
-304.004076325,242.90277114873453,22.0356016739,4.47361037104e-11,15,0.92056752693,4.24628079099,-231.298760104,204,-151.020053493,-170.865085829,1.4460434918,-1126.42980828,0.00874234673718,1126.42980828,0.0,1.02747563951
-310.342585239,243.7668802871019,27.4763199528,3.16973114423e-11,16,0.89984014236,4.18457299306,-232.822412954,204,-152.522929149,-173.310514815,1.43140466601,-910.243688494,0.00699312868661,910.243688494,0.0,1.01254415893
-299.286061979,237.03309544704814,20.8113479718,1.69809055706e-10,17,0.910352663318,4.09870892335,-225.287855252,203,-146.867284291,-172.662968417,1.41067202738,-1334.42288661,0.00993793175974,1334.42288661,0.0,0.991767567775
-304.752348575,239.79992635875482,23.1089661582,-4.23112656023e-11,18,0.91865834471,4.06051493657,-229.819018384,204,-150.23430723,-168.153303061,1.40130979724,-1048.98781835,0.008999941533,1048.98781835,0.0,0.982525741123
-308.334048759,240.50815144445977,21.9743908608,4.75591233062e-11,19,0.930036892801,4.01394280422,-228.397174172,204,-148.67754637,-167.604053805,1.3897740012,-1132.84731261,0.00749326271535,1132.84731261,0.0,0.971256648514
-293.535475618,241.02391958127183,19.631440931,2.22968310482e-11,20,0.936598818081,4.01344957818,-227.532261814,204,-148.176993889,-159.767473553,1.38965111546,-1166.53383815,0.00747982810188,1166.53383815,0.0,0.971137302253
-303.214277778,235.88855470189566,21.1004060136,2.91082713488e-11,21,0.922596264947,3.96529635439,-224.776483953,204,-146.751480537,-176.545402433,1.37758059489,-1305.32071161,0.00801717344499,1305.32071161,0.0,0.959485631804
-286.747453451,233.16829880963152,21.0422387984,-1.03400565887e-10,22,0.910653471877,4.05141581853,-220.522169306,204,-144.092709328,-165.855759091,1.39906640485,-1111.648987,0.00770288849776,1111.648987,0.0,0.980324020938
-280.948126373,233.55122083816957,19.5529389338,-1.25766952408e-10,23,0.913830180204,4.00447441344,-219.389086222,204,-142.973858066,-168.868480263,1.38741233931,-1346.58942796,0.00914789415355,1346.58942796,0.0,0.968965575138
-294.973990993,235.06853512281734,22.3906588779,-2.65826527457e-11,24,0.900768828584,3.92332776539,-217.635870284,204,-142.294792821,-151.08088968,1.36694021342,-1182.48691531,0.00821910592709,1182.48691531,0.0,0.949330461917
-295.718343664,232.52058346328394,19.3554819862,6.37432329142e-11,25,0.919878435786,3.92030124047,-216.928022198,204,-141.632825744,-165.403844309,1.36616849791,-1293.40896718,0.00696982682483,1293.40896718,0.0,0.948598131489
-279.111065984,237.57402449719288,17.3253276847,-1.161326868e-10,26,0.92919837012,3.95135746791,-219.037283879,204,-142.547658471,-161.387636018,1.37405918264,-862.932194873,0.00580637829407,862.932194873,0.0,0.956112829343
-259.211625399,236.38420458201762,17.9974322695,-2.02170724606e-10,27,0.931857276762,3.96960301987,-218.851497308,204,-142.552041876,-160.325088902,1.3786660947,-1311.59782059,0.00815374982658,1311.59782059,0.0,0.96052771877
