AverageReturn,StdReturn,AveragePolicyStd,LossBefore,NumTrajs,Perplexity,AverageDiscountedReturn,MeanKLBefore,ExplainedVariance,dLoss,LossAfter,MeanKL,Total cost,Entropy,MaxReturn,Iteration,MinReturn
-249.558298125,28.3731887146,1.0,4.24060786486e-11,204,4.13273135412,-161.803759475,0.0,4.79516426566e-12,733.11327055,-733.11327055,0.0075839365999,255.44044855953612,1.4189385332,-174.484363216,0,-307.502838976
-250.158224216,27.990865732,1.00524610179,-1.35517430611e-10,204,4.15441208348,-162.787499458,0.0,0.900514165504,823.441072148,-823.441072149,0.00786959934869,256.6763122959386,1.42417092214,-181.462022903,1,-320.517267
-258.085117286,33.8295794784,0.999637384347,-1.78840275922e-11,204,4.13123276104,-167.803585179,0.0,0.891733572721,660.252399007,-660.252399007,0.00732104498429,261.72992685480574,1.41857585179,-189.426624844,2,-320.987204778
-254.126386147,29.6952109467,1.00471655217,2.98538971322e-13,204,4.15222359717,-164.970517184,0.0,0.905028410519,623.819288565,-623.819288565,0.00630307493525,259.1395541486646,1.4236439973,-178.330152862,3,-314.926868722
-259.998380769,31.9237768212,1.00265732547,5.18335374622e-13,204,4.14371336639,-169.188192768,0.0,0.905864895727,640.953924641,-640.953924641,0.00765843768117,263.69379410383584,1.42159233422,-178.975176276,4,-323.900156124
-262.512802088,26.7432936645,1.00829610351,-1.48448309201e-10,203,4.1670169212,-169.968858283,0.0,0.924158104242,941.066390655,-941.066390655,0.00974542556765,266.40281077349556,1.4272004132,-197.636264466,5,-323.876003579
-273.44362245,27.6887597452,1.02385695165,6.81590339724e-11,204,4.23132572622,-177.100722046,0.0,0.928304578806,846.275421701,-846.275421701,0.00857524212603,277.0419435811587,1.44251535441,-193.211704743,6,-325.733929583
-281.47682018,24.8409004382,1.0386117708,-9.33950694559e-11,204,4.29230342995,-181.61251489,0.0,0.944069575703,935.041952202,-935.041952202,0.00957122259499,284.2613264424753,1.4568235189,-210.375973509,7,-343.907350242
-289.445994827,28.4939223222,1.05382695783,1.55236934418e-10,204,4.35518371042,-186.614892076,0.0,0.941730088767,568.060413843,-568.060413842,0.00660235664051,292.8907243460152,1.47136679321,-180.902426633,8,-338.421941463
-293.592157924,24.359648474,1.04604128513,1.19118270803e-10,204,4.32300761678,-189.472525624,0.0,0.948865052646,1056.44081626,-1056.44081626,0.00945183164838,297.8645503134865,1.4639513676,-208.280539719,9,-354.986280076
