LossAfter,StdReturn,AveragePolicyStd,Entropy,Iteration,Perplexity,NumTrajs,LossBefore,dLoss,MaxReturn,ExplainedVariance,Total cost,AverageDiscountedReturn,MeanKLBefore,AverageReturn,MinReturn,MeanKL
-21.2117494239,28.3189147632,1.0,1.4189385332,0,4.13273135412,204,-0.0,21.2117494239,-174.484363216,4.80082640308e-12,255.43312999140954,-161.75286322,0.0,-249.467975494,-307.502838976,0.00158101215954
-34.8623428317,28.4100419493,0.998773853681,1.41771163455,1,4.12766402078,204,2.46636531803e-15,34.8623428317,-169.753613063,0.905216073625,253.91274480120452,-160.368990695,0.0,-247.707728702,-326.481433071,0.001910777225
-27.0953211707,26.8836987593,0.997375645156,1.4163107287,2,4.12188560058,204,1.4845115547e-14,27.0953211707,-175.864394288,0.906108842478,253.10622286255125,-160.15367462,0.0,-247.029786431,-312.700038944,0.00134842521709
-32.8208562017,28.422891002,0.991563016306,1.4104657567,3,4.09786356707,204,2.23870856007e-14,32.8208562017,-176.831165837,0.893616988727,253.22071863405282,-160.612709357,0.0,-247.754192589,-300.750676995,0.00157328452909
-16.7684309823,25.686626337,0.985580970064,1.40441453884,4,4.07314137701,204,-6.3065091934e-14,16.7684309823,-182.740244097,0.902774476033,248.32226763368516,-156.699660586,0.0,-241.804998713,-298.415033552,0.00268452873909
-5.18167083942,24.9360351246,0.984651613005,1.40347114045,5,4.06930059395,204,-5.38820623479e-14,5.18167083942,-177.353039548,0.912454272419,249.74538310096835,-156.71831229,0.0,-242.089597725,-321.903706021,0.00263453983449
-17.2976759084,25.3720769198,0.971371819357,1.38989257337,6,4.01441877437,204,9.35294736371e-14,17.2976759084,-178.732898613,0.910281766582,245.57781428883044,-155.064054856,0.0,-238.308923895,-312.205265527,0.00194003577073
-13.4030565597,27.7299284478,0.96892177026,1.38736713041,7,4.00429337964,204,3.81255750709e-14,13.4030565597,-174.860085419,0.899027116979,247.0210189484065,-156.124075028,0.0,-239.89245924,-305.193443262,0.00165919413211
-18.3833838034,27.1454574672,0.964352655479,1.38264030712,8,3.98541045573,204,1.54982416766e-14,18.3833838034,-180.732385997,0.907965150722,250.99723248520087,-157.49200774,0.0,-243.195119727,-300.916977864,0.0006695547403
-34.1033789382,26.1658848516,0.963872322779,1.38214209481,9,3.98342536972,204,9.94087470684e-15,34.1033789382,-184.555978865,0.912947990155,250.60832482665228,-157.973582398,0.0,-243.855619453,-303.178751251,0.001928973948
-42.47800484,26.8870767002,0.97112006385,1.38963336456,10,4.01337833649,204,9.29705398453e-14,42.47800484,-173.355777434,0.904209340872,248.1469994398985,-155.389689456,0.0,-239.796617409,-310.095252539,0.00284505032496
-9.72205569072,23.3995094948,0.959481798535,1.37757659975,11,3.96528051252,204,4.74770327579e-15,9.72205569072,-183.241324773,0.912310414695,245.88777600438675,-153.241713948,0.0,-236.991648552,-298.029858722,0.00200757914452
-37.9636610666,24.7264492569,0.947672879979,1.36519263362,12,3.91647742454,204,-5.31005276059e-14,37.9636610666,-183.227016237,0.912536285852,247.78102782989146,-154.500361238,0.0,-239.270164102,-299.363308274,0.0014285728556
-39.1840713105,26.2759446635,0.94982546064,1.36746149629,13,3.92537346213,203,9.65932987451e-14,39.1840713105,-178.149097739,0.902018044563,243.5502004126491,-152.125408535,0.0,-234.686255886,-306.371738322,0.0020308397521
-6.2489095475,28.3715016827,0.952352765841,1.37011877273,14,3.93581813558,204,1.03077631486e-13,6.2489095475,-158.53539548,0.895005916286,241.34698234925014,-151.611661664,0.0,-233.253682532,-303.55452698,0.00257471905367
-35.5386128955,23.2497381006,0.948793613714,1.36637455153,15,3.92110911599,204,-2.77330919841e-14,35.5386128955,-171.984289503,0.90811701123,240.93506855793422,-150.647476234,0.0,-232.549543007,-300.58107267,0.00233380610762
-28.8711853308,25.6095859282,0.954837885993,1.37272482741,16,3.94608846955,204,2.38786090022e-13,28.8711853308,-184.555798048,0.905936430045,243.46463296304006,-152.816948069,0.0,-235.925068453,-310.129600943,0.00153828110081
-40.2372715698,24.3425240244,0.956945097728,1.37492927488,17,3.95479700955,204,-2.12512030898e-15,40.2372715698,-176.281892565,0.906653580153,237.13104820298634,-148.901604575,0.0,-228.874990415,-297.858156264,0.00194618903826
-34.8842663661,24.8162542796,0.956231381719,1.37418316908,18,3.95184741303,204,-1.64951695972e-14,34.8842663661,-164.292062697,0.896820795025,235.59538812833193,-146.911828941,0.0,-226.429959297,-309.97598234,0.00238950706135
-22.4263329973,23.8012634948,0.96135811162,1.37953023854,19,3.97303481043,204,-4.25626099085e-15,22.4263329973,-174.493143819,0.908768269999,238.09237256652486,-149.356496174,0.0,-229.238589725,-296.951256324,0.00220886924846
-40.0436111559,23.5837237873,0.955314588335,1.37322395233,20,3.94805855226,204,1.29941716655e-13,40.0436111559,-165.983895153,0.902764883128,233.46695819741208,-146.385621352,0.0,-224.285915427,-284.39615927,0.00339315948802
-19.7610775545,21.7283512377,0.958489486788,1.37654184825,21,3.96117955465,204,7.63241230168e-15,19.7610775545,-170.30081591,0.905402606795,233.7544418926382,-145.527099154,0.0,-223.715578092,-277.896755738,0.0018417454015
-24.1276845563,21.9269089182,0.950790941205,1.36847746211,22,3.92936353393,204,-3.35575534626e-15,24.1276845563,-167.19931604,0.906976227393,232.19447054837622,-144.665792509,0.0,-221.935278422,-289.193942691,0.00074272758234
-7.69387675409,25.0068981182,0.949367154159,1.36697886332,23,3.92347940457,204,2.26919360226e-13,7.69387675409,-161.206333285,0.88773062579,227.93643095358323,-142.132913603,0.0,-217.25809505,-294.218012543,0.00262762744324
-22.1772046961,22.7099011277,0.957384179948,1.37538800707,24,3.95661161841,204,1.19798161729e-14,22.1772046961,-165.200956311,0.900090751194,231.30444299882154,-143.468469084,0.0,-220.338989991,-286.696230449,0.00100462681101
-10.0705450333,23.8431425845,0.957900865666,1.37592754632,25,3.95874694168,204,1.22455158795e-13,10.0705450333,-169.616593601,0.894227449907,231.1920195367781,-143.132894762,0.0,-219.794033055,-278.348321773,0.00432349428796
