NumTrajs,AveragePolicyStd,MaxReturn,MeanKLBefore,MinReturn,Perplexity,Total cost,AverageDiscountedReturn,dLoss,ExplainedVariance,LossBefore,AverageReturn,MeanKL,LossAfter,StdReturn,Iteration,Entropy
204,1.0,-178.700790775,0.0,-317.20288847,4.13273135412,351.29787562312276,-159.935349361,0.103836250264,4.88165063928e-12,-0.0,-245.992917643,0.00216409399851,-0.103836250264,30.0015470856,0,1.4189385332
204,0.977699537186,-189.383942906,0.0,-321.904238232,4.04056953224,348.10415355927586,-164.065481238,0.0865105163972,0.911824006736,4.46659439602e-17,-252.979567671,0.00246198548332,-0.0865105163972,28.5136003004,1,1.39638565536
204,0.961500919197,-187.936451415,0.0,-325.133965536,3.97362499578,342.23361740846025,-166.211310384,0.0938336370105,0.907993285176,-1.82124540086e-16,-256.253451713,0.00467054020845,-0.0938336370105,29.8752604897,2,1.37967877525
204,0.929430896573,-182.740759846,0.0,-324.855938092,3.84108820776,333.8029470178294,-167.764304637,0.0299508402484,0.902512334032,3.05870974498e-17,-257.818181159,0.00599233473881,-0.0299508402484,32.7098845762,3,1.34575571389
204,0.889070500392,-185.287984534,0.0,-314.063783,3.67428953299,319.01013457782335,-163.85042741,0.0811951610323,0.904919459913,1.4748595853e-16,-250.929911958,0.00233665865896,-0.0811951610323,28.4265147181,4,1.30135978962
204,0.873926307307,-168.569860344,0.0,-318.211691545,3.6117026514,313.71939970438257,-165.240110733,0.0366952580707,0.898778644172,-1.24221249379e-16,-253.182317891,0.00467643445157,-0.0366952580707,32.1286865761,5,1.28417930974
204,0.840463324628,-164.250384618,0.0,-334.407383705,3.47340913368,312.0450216661851,-167.713758527,0.0812500786613,0.900648013415,-2.19643847261e-16,-257.575558543,0.00264381616698,-0.0812500786613,31.7506298872,6,1.24513657094
204,0.833946714156,-184.15531342,0.0,-332.806808887,3.44647773326,304.4393691726791,-166.159252725,0.106386429778,0.90424431016,-1.17832475519e-16,-254.899718348,0.00405252439965,-0.106386429778,31.2237977311,7,1.23735276264
204,0.813964226312,-190.781090638,0.0,-341.921020742,3.36389547921,297.6187697388165,-166.601071747,0.0336207938344,0.910142626824,-1.41919692236e-16,-256.1795383,0.00511338483691,-0.0336207938344,30.0912240355,8,1.21309967124
204,0.781541198234,-182.132135582,0.0,-317.787987194,3.22989981448,291.53002555252954,-164.479989662,0.0809426737087,0.919954980406,-4.05821183187e-16,-252.415834431,0.00285515234253,-0.0809426737087,27.8025856016,9,1.17245111956
204,0.756018702056,-181.748598541,0.0,-319.26209858,3.12442219429,283.64926602996917,-162.182323049,0.0715070550083,0.906908886144,5.31826462574e-16,-248.913419045,0.00272604564248,-0.0715070550083,30.9344458774,10,1.13924936827
204,0.73440091772,-185.868352044,0.0,-313.154008395,3.03508169916,276.5124334283671,-161.002688596,0.0792385151292,0.910641095819,-1.11236010846e-16,-246.353553079,0.00202578139411,-0.0792385151292,27.3543536605,11,1.11023834315
204,0.721085820461,-184.436360845,0.0,-316.378995181,2.98005397923,281.91962003406525,-165.429188293,0.103158176057,0.903829992087,-3.24028246045e-16,-253.716925709,0.00156728973636,-0.103158176057,31.6525868771,12,1.09194141419
204,0.7184126167,-178.524360982,0.0,-312.573202927,2.96900634623,272.00394945091756,-159.713366698,0.0839383203841,0.898666703757,3.0407472222e-16,-244.6637762,0.00322366511574,-0.0839383203841,29.7524383873,13,1.08822733328
204,0.70060814249,-176.36041343,0.0,-312.505451226,2.89542523742,270.20827936142325,-159.900542567,0.0724780255276,0.897555001734,-5.05611770678e-16,-245.470214714,0.00253820786094,-0.0724780255276,30.9625827469,14,1.06313198708
204,0.685719608503,-185.037210111,0.0,-309.431166675,2.8338949262,269.4462873018408,-159.131390839,0.0515915488099,0.901160937147,6.33138011999e-16,-244.383746811,0.00254960687786,-0.0515915488099,29.5442189373,15,1.04165206443
204,0.672793247513,-175.563364386,0.0,-304.767773176,2.78047374884,267.38734705015474,-158.715559727,0.0365797743376,0.904123381103,4.8365311071e-16,-244.441625654,0.00373311571666,-0.0365797743376,29.7129565444,16,1.02262132643
204,0.655503040463,-185.835199447,0.0,-311.05285635,2.70901796804,261.4486249070618,-155.845118832,0.0782808520723,0.903808299443,-2.83803266605e-16,-239.562656488,0.00200783325492,-0.0782808520723,29.3271082759,17,0.996586195803
204,0.644554306071,-182.56622834,0.0,-311.09173125,2.66376979014,261.1113554877974,-156.811433634,0.0516223992788,0.898513147589,-2.78463714115e-16,-241.156723836,0.00156616599369,-0.0516223992788,30.3503597191,18,0.97974233383
204,0.635017256949,-172.208350202,0.0,-318.243939735,2.6243557282,257.2186699899371,-153.97319334,0.093304089772,0.903435582284,-9.86994476522e-17,-235.364927785,0.00308618992321,-0.093304089772,26.5377656424,19,0.964835429044
204,0.629304087391,-182.019726545,0.0,-316.507367608,2.60074473324,258.07422446997134,-155.078045007,0.00979868068323,0.906106254312,-4.22794840525e-17,-237.843175564,0.00391068988659,-0.00979868068323,27.8777268367,20,0.955797839873
204,0.615441605271,-174.312254511,0.0,-312.810207866,2.54345481873,262.39930781700735,-159.446262891,0.0644750990816,0.899354474271,-5.03995817029e-16,-245.445115494,0.00288410244161,-0.0644750990816,30.344772662,21,0.9335233217
204,0.601729193626,-179.134865968,0.0,-304.855916597,2.48678510519,250.88010542210475,-153.005167989,0.090354613828,0.90414308539,3.55692225946e-16,-234.142273664,0.00304684129907,-0.090354613828,26.2614753316,22,0.910990753845
