Total cost,MeanKLBefore,ExplainedVariance,MaxReturn,MinReturn,AverageReturn,NumTrajs,LossBefore,MeanKL,AverageDiscountedReturn,Perplexity,StdReturn,AveragePolicyStd,dLoss,LossAfter,Iteration,Entropy
254.43647954243113,0.0,4.82724971107e-12,-178.700790775,-321.033846309,-248.710621302,404,-0.0,0.00201569220783,-161.446973039,4.13273135412,29.4837690289,1.0,0.0936515437963,-0.0936515437963,0,1.4189385332
254.42803488745815,0.0,0.910885519866,-165.036565237,-312.615372612,-248.761904529,404,1.37767246011e-16,0.00408009271215,-161.417730077,4.14113493291,27.6021476898,1.00203342005,0.0409267482878,-0.0409267482878,1,1.42096988865
256.3821371699251,0.0,0.896302581737,-166.087634731,-334.755160031,-251.206603891,404,1.11662662849e-16,0.0017840797225,-163.207328001,4.09719142462,31.6374694436,0.991400377508,0.00288503898352,-0.00288503898352,2,1.41030172059
258.1156705493931,0.0,0.896658114718,-169.14985741,-326.302254249,-253.381835873,404,-3.85840754813e-17,0.00425506192488,-164.85240913,4.12140232201,32.8921345987,0.997258705893,0.0905232053641,-0.0905232053641,3,1.41619347487
249.35670266426726,0.0,0.898774025649,-169.666232753,-307.163067087,-243.673536964,404,6.98656235449e-19,0.00297111912901,-158.761186402,4.19265974907,28.1790323573,1.01450091714,0.0488966773183,-0.0488966773183,4,1.43333531752
249.24452908512728,0.0,0.897458369721,-176.121950775,-339.750775135,-244.059564725,404,1.50614151088e-16,0.00451415172789,-159.28201183,4.14354534172,29.6156436171,1.00261666841,0.0521329388304,-0.0521329388304,5,1.4215517841
243.1542947997012,0.0,0.878856064414,-150.91868229,-331.153687664,-237.074566887,404,8.9895115133e-17,0.00276313827546,-155.393926094,4.10904435152,31.4328804919,0.994268438819,0.108341701121,-0.108341701121,6,1.41319048359
235.76344087210353,0.0,0.878700013743,-153.946763092,-314.435713407,-228.257321111,404,1.03968278001e-16,0.00486196606207,-149.869661634,4.10432940882,28.0458861747,0.993127560718,0.0811900652512,-0.0811900652512,7,1.41204236996
229.67332127815774,0.0,0.869169677926,-157.384253908,-300.399042863,-220.054480153,404,1.00370751837e-16,0.00686627025891,-145.043083447,4.07335029251,28.6987039585,0.985631521498,0.054704783569,-0.054704783569,8,1.40446582853
221.67974504659796,0.0,0.852240284481,-125.811500329,-306.282792171,-211.798621312,404,-1.830121883e-16,0.00589154974888,-140.089504042,3.99146516083,30.1190943508,0.96581771686,0.037101547393,-0.037101547393,9,1.38415837173
212.4357422816216,0.0,0.839699336817,-133.983520391,-295.502868787,-200.856093032,404,-1.2881925824e-16,0.00439629849858,-134.490510655,3.97121731442,30.198928885,0.960918330793,0.123165538411,-0.123165538411,10,1.37907267602
201.5695017628106,0.0,0.833701129734,-122.505464389,-289.022452373,-188.504403465,404,-2.60789519882e-16,0.0043158798546,-127.270115384,3.87646122223,29.371880116,0.937990130515,0.101402010063,-0.101402010063,11,1.35492268133
196.44702739545838,0.0,0.819512675175,-117.052962505,-259.539063563,-181.86631624,404,-1.65469897717e-16,0.00503205680637,-123.031838669,3.81821369578,30.9454297048,0.923895934336,0.116453970506,-0.116453970506,12,1.33978269434
194.4521755545272,0.0,0.801584658538,-109.733677872,-259.689422959,-177.987899524,404,1.44476020273e-16,0.00492940537723,-120.079361402,3.74600768165,32.5018311294,0.906424192782,0.0642257277259,-0.0642257277259,13,1.32069065465
185.46286370155988,0.0,0.798257716202,-105.440633592,-248.572055792,-168.401986351,404,3.40423914183e-17,0.00440254554879,-114.809714551,3.71546758821,27.597517578,0.899034384246,0.0625391591117,-0.0625391591117,14,1.31250453518
175.76564363986643,0.0,0.795591631203,-97.9150770903,-260.99184822,-156.10350385,404,-2.62795364937e-16,0.00433303505456,-108.020976264,3.68831487256,25.3609286138,0.892464221968,0.0429301860813,-0.0429301860813,15,1.30516967964
174.0822325593185,0.0,0.802846240484,-97.5987026347,-236.034743109,-153.629283125,404,3.25316186783e-18,0.00244799644613,-106.430147255,3.65295157828,24.9254609472,0.883907340029,0.0691638780307,-0.0691638780307,16,1.2955354924
174.14916990539342,0.0,0.771056146898,-92.2108196652,-237.979504851,-153.060040516,404,1.86656300079e-16,0.00275349256701,-105.706238611,3.62656472526,28.2970652791,0.877522494086,0.090603846943,-0.090603846943,17,1.28828584352
169.41109670170874,0.0,0.80474184857,-97.2536841612,-235.274670104,-147.783024916,404,-1.13682746552e-16,0.00328733540609,-102.911199117,3.56376308506,23.662388442,0.862326335706,0.0838900429624,-0.0838900429624,18,1.27081703295
171.32228717962502,0.0,0.7835189463,-92.8468050132,-231.894285912,-148.794583098,404,3.51663745828e-17,0.00382711936232,-103.258938994,3.51534251087,26.3879240351,0.850609974289,0.0853322613666,-0.0853322613666,19,1.25713696315
168.33305416714168,0.0,0.793440732717,-93.7397928595,-244.410982402,-144.123529357,404,1.4985187491e-16,0.00125584875033,-100.66732475,3.47834620346,24.806519947,0.841657950981,0.0583574716789,-0.0583574716789,20,1.24655695194
168.51542470590198,0.0,0.784761613347,-92.8417530157,-236.613491664,-144.599483222,404,-1.51846291802e-16,0.00266520164058,-100.666089328,3.44451560439,25.9155717431,0.833471936412,0.0677646567314,-0.0677646567314,21,1.23678328627
167.1895846527234,0.0,0.76545575245,-88.4273514827,-240.606706525,-142.385835355,404,-3.50251780083e-17,0.00387398599537,-99.2842517772,3.37834525591,26.5479490484,0.817460649248,0.0142572301564,-0.0142572301564,22,1.21738602036
