dLoss,MaxReturn,StdReturn,Entropy,Iteration,ExplainedVariance,NumTrajs,AveragePolicyStd,MinReturn,MeanKLBefore,LossBefore,MeanKL,LossAfter,AverageReturn,Total cost,AverageDiscountedReturn,Perplexity
3355.64561666,-178.700790775,29.1209929675,1.4189385332,0,4.93782792432e-12,209,1.0,-317.20288847,0.0,2.91788637696e-09,0.0071208330044,-3355.64561666,-245.612593694,251.70249940494992,-159.686293134,4.13273135412
1349.3693488,-184.381833571,23.7068025505,1.41982727573,1,0.91341888731,209,1.00088913757,-313.383395195,0.0,1.29358568302e-09,0.00729099491836,-1349.3693488,-238.599551048,246.61262371435234,-154.768696911,4.13640592084
2501.71500413,-191.651736454,25.3015881711,1.40824260929,2,0.912133492393,209,0.989361074082,-312.793981524,0.0,2.87070633931e-09,0.00845692745461,-2501.71500413,-247.221316858,252.99699361098246,-160.249578479,4.08876353141
4077.3854934,-170.856555408,27.7045405733,1.40054777196,3,0.90549616671,209,0.981777316862,-313.883111073,0.0,1.7826948806e-09,0.00921885894265,-4077.38549339,-241.429727511,248.26373098055672,-157.546845785,4.05742190016
1975.75811083,-175.281724637,21.7073183033,1.40229577914,4,0.915002696903,209,0.98349497146,-305.570108515,0.0,-3.62376795238e-10,0.0093859951042,-1975.75811083,-235.295299286,243.8300720184565,-152.466777678,4.06452050517
2012.40996915,-177.619136936,18.6392940813,1.38479703227,5,0.933728733432,209,0.966434743545,-315.904613297,0.0,-3.17345438816e-09,0.00835386521686,-2012.40996916,-231.181111395,240.97064572110136,-150.264651546,3.99401516636
1883.97608103,-181.057540947,17.6409698627,1.39796854895,6,0.937794313373,209,0.979248357001,-277.592510109,0.0,-1.01124442153e-10,0.00754855411576,-1883.97608103,-226.389307297,237.88600923311867,-147.436934988,4.04697038845
2239.4524509,-169.895324677,17.6228517108,1.37621824027,7,0.934829537637,209,0.958179362123,-274.433038168,0.0,-1.20229515232e-09,0.00968249407635,-2239.4524509,-223.803179917,234.39568960845338,-145.94472245,3.95989789272
2039.73802648,-162.735803844,21.1857313606,1.38240290136,8,0.908769073972,209,0.964123739777,-285.477559365,0.0,-1.20905951917e-09,0.00656638928341,-2039.73802648,-220.267792878,230.82877015319482,-143.304770223,3.98446440863
1240.9329314,-163.362146036,21.3534202102,1.37076021034,9,0.910165113437,209,0.952963836684,-282.287814617,0.0,-4.38916458734e-10,0.00726912031706,-1240.9329314,-215.819306127,226.06749219941395,-141.370408325,3.93834352721
3110.79243358,-150.620382998,24.7805621044,1.35381762661,10,0.884002520607,209,0.93695417259,-301.520198827,0.0,7.60735474614e-10,0.00995068673847,-3110.79243358,-213.689376267,224.13258282682492,-140.045841982,3.87217988644
3022.98560701,-156.250818182,25.2059328509,1.33212188487,11,0.868600498497,209,0.916845185319,-278.630010846,0.0,-2.30625829545e-09,0.00849076385375,-3022.98560701,-204.650067084,217.26533998121198,-134.717783444,3.78907484424
1803.06984958,-135.340034369,20.4305551354,1.31790950925,12,0.88619622728,209,0.903906797559,-255.616865285,0.0,-1.10844666779e-09,0.00608338199107,-1803.06984958,-192.254151443,207.37219226060876,-128.081708782,3.73560396347
2457.42365059,-125.404003114,23.9443710693,1.30917500931,13,0.854331065331,209,0.89604600371,-263.277102987,0.0,4.14674961036e-10,0.00717153652549,-2457.42365059,-186.122179772,203.1916443187572,-124.721769682,3.70311741427
2756.43796753,-129.438387994,25.5682674665,1.29820289649,14,0.842884740729,209,0.886268225404,-265.099396643,0.0,2.6503812478e-09,0.0081873396027,-2756.43796753,-183.132037772,200.54729536392378,-123.656038468,3.66270848329
2512.17916462,-126.27450414,24.7724421463,1.28968690209,15,0.84792311233,209,0.87875281617,-258.229841136,0.0,-1.11799636215e-09,0.00820455632729,-2512.17916463,-176.700958427,197.3479797393245,-120.57434739,3.63164931591
3066.08177509,-105.142175843,23.5180250062,1.27210251183,16,0.843652898587,209,0.863435550786,-236.465032363,0.0,4.05265154768e-10,0.00837953831928,-3066.08177509,-169.576506825,193.3952619012412,-116.442017266,3.568347173
3106.53642827,-108.852622505,25.3722860272,1.2519692013,17,0.810971906496,209,0.846225563065,-224.651005469,0.0,1.86335924468e-09,0.0093506706142,-3106.53642827,-163.952697429,185.79445674034181,-111.99111919,3.49722291714
2821.57425447,-99.2187960219,26.2306352066,1.2553766737,18,0.79858027855,209,0.849113971609,-227.756881749,0.0,2.90026491712e-09,0.00674488299213,-2821.57425447,-158.434760803,181.56666713646624,-108.950354701,3.50915993369
3635.69845219,-99.5547353578,28.8034382515,1.2634962108,19,0.773474222075,209,0.85603644963,-230.880242465,0.0,-8.48132231113e-10,0.00819571543009,-3635.69845219,-156.587971411,178.6117591573932,-107.405121353,3.53776867566
2083.83493606,-96.9072027565,27.2733064779,1.25639853694,20,0.752464113296,209,0.849982093435,-221.788863821,0.0,-3.6816913962e-09,0.00775033115137,-2083.83493607,-149.044821174,174.88904324952,-103.120714199,3.51274764798
691.851542104,-89.0687231808,26.1438180173,1.24229825004,21,0.77125135542,209,0.838081202227,-222.092802726,0.0,-2.52384779742e-09,0.0084130936583,-691.851542107,-148.119800983,175.40427965473896,-103.122210135,3.46356446174
3032.74174763,-90.517382991,23.4932340661,1.23305015686,22,0.801805612303,209,0.830366278325,-218.871874731,0.0,1.06166275771e-09,0.00784313205025,-3032.74174763,-148.435382342,177.34406240544914,-103.926722546,3.43168075384
