dLoss,LossAfter,MeanKLBefore,Iteration,Total cost,AveragePolicyStd,AverageDiscountedReturn,Perplexity,MeanKL,Entropy,MaxReturn,MinReturn,ExplainedVariance,AverageReturn,StdReturn,NumTrajs,LossBefore
0.14043412213,-0.14043412213,0.0,0,254.8134076960771,1.0,-161.525516837,4.13273135412,0.0049232431911,1.4189385332,-178.700790775,-317.20288847,4.83890705283e-12,-248.86022858,28.8661824584,404,-0.0
0.525214607173,-0.525214607173,0.0,1,254.94615951583498,1.00234190297,-163.38623359,4.14240980995,0.00577487469456,1.42127769819,-173.857396736,-344.523658562,0.894632079357,-250.517775701,31.5609406342,404,1.02699392865e-16
0.211351819612,-0.211351819612,0.0,2,256.34857415435044,0.997541675933,-163.646497107,4.12257176117,0.0082081822687,1.4164771825,-174.729540694,-322.824079873,0.895628925406,-250.769537459,32.2857997764,404,-1.3009535478e-16
0.35144882286,-0.35144882286,0.0,3,254.88608720424,0.99591206697,-162.21056754,4.11583702511,0.00538620244445,1.41484222173,-161.212478649,-334.063347746,0.883092590719,-249.161434,34.9755773448,404,2.46542014181e-16
0.293073491659,-0.293073491659,0.0,4,244.2199078565935,1.00905239292,-153.702271283,4.17014246218,0.00451696138227,1.42795019882,-160.031051227,-312.414209599,0.87727960526,-236.020962108,29.7477558566,404,-1.87001001595e-16
0.130367330321,-0.130367330321,0.0,5,239.21300916319177,0.998701771774,-151.440564345,4.12736612563,0.00703107272332,1.41763946155,-164.077053889,-318.622726535,0.863092451524,-231.567165868,33.1900360624,404,1.69356250169e-16
0.533722223637,-0.533722223637,0.0,6,230.29496540631553,0.97900966381,-145.883694442,4.04598393362,0.00868639636112,1.39772476781,-147.508721912,-313.012090756,0.837949283081,-221.150997982,34.8926100754,404,2.11439816145e-16
0.489025220081,-0.489025220081,0.0,7,219.0768880530686,0.965007429108,-138.954511913,3.98811645924,0.00708484604187,1.38331905409,-122.141515771,-297.416983382,0.826342600429,-208.995506094,35.7354288558,404,1.45198727771e-16
0.535121269231,-0.535121269231,0.0,8,206.46065639846836,0.940958050833,-130.372950672,3.88872683959,0.00793844704716,1.35808181347,-112.957197909,-302.25820215,0.794557897633,-193.647010846,36.3009306912,404,9.21641093084e-17
0.579102808523,-0.579102808523,0.0,9,208.25208396875482,0.927260980915,-131.083627983,3.83212052928,0.00655472051983,1.34341831298,-115.589957467,-293.498881644,0.795867152874,-194.553880596,38.5987672004,404,3.07974018586e-16
0.130826208895,-0.130826208895,0.0,10,193.43624299955513,0.908459493439,-121.428857851,3.75441903249,0.00703867449055,1.32293355487,-108.059202116,-293.053893568,0.785625491455,-178.189700051,33.1145289973,404,3.25572029048e-16
0.229324389488,-0.229324389488,0.0,11,191.9794074442504,0.889405047433,-118.913330049,3.67567212604,0.00620726329988,1.30173600738,-110.676797895,-270.725873733,0.782305906464,-175.365849175,33.3013323714,404,2.61564531362e-16
0.151783487084,-0.151783487084,0.0,12,188.09142794153405,0.877695012811,-114.940433715,3.6272776988,0.00916823577322,1.28848242169,-93.0337568297,-256.653054214,0.760731923372,-168.791351059,33.2655481521,404,4.65574577021e-16
0.0457247749036,-0.0457247749036,0.0,13,190.66521189614335,0.850805221892,-113.951462635,3.51614941676,0.00765069680768,1.25736647516,-87.8161450337,-262.898212505,0.720636430814,-169.813597277,34.7366729691,404,8.24929936619e-17
0.0694951270207,-0.0694951270207,0.0,14,180.96739223085092,0.821808389322,-105.708056918,3.39631329763,0.00460112679203,1.22269051909,-91.0537553438,-258.309002278,0.677032065346,-156.15779914,32.0047891001,404,-4.77712689453e-16
0.118289389137,-0.118289389137,0.0,15,179.83872228571545,0.810367578509,-105.504361217,3.34903150007,0.00235507987011,1.20867119958,-95.5875662815,-255.238920189,0.702379878957,-155.881939159,31.3446404342,404,-9.54690860452e-17
0.150307962902,-0.150307962902,0.0,16,177.525274771769,0.810003796276,-104.531363018,3.34752808583,0.00395561813461,1.20822218864,-93.2439911758,-238.188222638,0.697273493143,-153.463873545,31.5326459875,404,1.07704953197e-16
0.0795800935839,-0.0795800935839,0.0,17,177.86418886268507,0.785045411856,-103.2751319,3.24438178799,0.00406718710674,1.17692481983,-90.3593027814,-238.200582818,0.688689697486,-151.941088048,31.6622914471,404,-1.78059049442e-16
0.0708017717167,-0.0708017717167,0.0,18,173.97630563289593,0.777494072566,-100.948450042,3.21317413134,0.0046342136998,1.16725927454,-90.6399605542,-240.646758868,0.691797061468,-146.901984954,29.7582889577,404,9.16137994109e-17
0.250940602717,-0.250940602717,0.0,19,174.0165428536178,0.771580873601,-100.549822543,3.18873646857,0.00827259874823,1.15962474698,-85.3559353448,-236.627306755,0.698866150375,-146.086026315,29.6154458103,404,-3.26792244007e-16
0.0320142751386,-0.0320142751386,0.0,20,176.4773840314593,0.764662044117,-100.28797131,3.16014280503,0.00939848941611,1.15061721804,-85.0622972159,-245.475403901,0.665783784693,-147.959783503,31.59441839,404,-1.86404276664e-16
0.0616280527309,-0.0616280527309,0.0,21,175.16420710871714,0.731897992625,-99.4132745526,3.02473778214,0.00356814774009,1.10682440414,-82.2108269376,-232.78005618,0.678338829025,-145.197600062,28.666315816,404,-9.52771806919e-17
0.149554453155,-0.149554453155,0.0,22,174.05565009805284,0.731590438778,-99.7912127325,3.02346674472,0.00445088800401,1.10640410173,-84.7809057489,-226.147571137,0.695423394086,-144.520558303,30.0068584374,404,-4.02785807559e-17
