MeanKL,NumTrajs,AverageReturn,MeanKLBefore,MinReturn,Perplexity,StdReturn,AverageDiscountedReturn,MaxReturn,Iteration,LossBefore,Entropy,ExplainedVariance,LossAfter,AveragePolicyStd,dLoss
0.00885893521094,204,-288.177171918,0.0,-325.965547602,4.13273135412,17.1458677359,-183.942688886,-235.417923701,0,-100.0,1.4189385332,3.60145246958e-12,-108.790003002,1.0,8.79000300211
0.00743882637022,204,-286.130947102,0.0,-332.45392411,4.19739920536,18.4812416158,-182.661946922,-225.061251799,1,-100.0,1.43446509666,0.969638448062,-105.259578204,1.01564772682,5.2595782041
0.00605718472519,204,-280.728761212,0.0,-330.60887573,4.1937613302,21.2163136297,-179.26051007,-219.616795456,2,-100.0,1.43359802342,0.959551341427,-106.21326049,1.01476746753,6.21326049013
0.0073050910686,204,-289.047981172,0.0,-329.921700626,4.20401074801,21.1345724919,-185.04869229,-204.970762876,3,-100.0,1.43603900963,0.961067725092,-103.006743327,1.01724752658,3.00674332724
0.00686818247724,204,-273.406680294,0.0,-328.325889069,4.21378219454,25.9022790802,-175.864735776,-201.241915556,4,-100.0,1.43836062789,0.940162241769,-105.201058965,1.01961193058,5.20105896539
0.00651034240121,204,-276.795673116,0.0,-322.959592381,4.21036165524,24.9189973885,-177.501478382,-208.610963266,5,-100.0,1.43754854786,0.94725805168,-103.398758747,1.01878426021,3.39875874668
0.00741817470726,204,-284.467997283,0.0,-332.802454405,4.21680972626,24.6237824712,-182.381544468,-200.589363105,6,-100.0,1.43907885311,0.953166248342,-105.236431648,1.02034450462,5.2364316478
0.00997567525182,204,-274.361394503,0.0,-317.327783322,4.2088824818,24.1121639961,-176.131524663,-201.940213905,7,-100.0,1.43719716871,0.942199439867,-106.5674799,1.01842634354,6.56747989954
0.00922255407906,204,-260.979642314,0.0,-342.070629111,4.21366929921,29.2599216007,-167.971287615,-191.46791933,8,-100.0,1.43833383561,0.918975163309,-104.153700325,1.01958461321,4.1537003251
0.00686149500898,204,-258.164923836,0.0,-317.772227398,4.24593267305,28.7885767858,-166.813157895,-193.027569035,9,-100.0,1.4459615066,0.924707801976,-109.920227735,1.02739140516,9.92022773535
0.00779765441872,204,-262.517402419,0.0,-326.445451742,4.33794247581,28.6127490604,-168.657355171,-196.275835572,10,-100.0,1.46740015178,0.922887435359,-102.873868154,1.04965508379,2.87386815414
0.00795275326674,204,-267.836753822,0.0,-331.930251902,4.33439400108,28.379636358,-172.087181788,-200.03347889,11,-100.0,1.46658180832,0.925572517198,-106.764873794,1.04879645679,6.76487379406
0.00737176449757,204,-272.627554196,0.0,-327.051879279,4.26189289188,26.1161986834,-175.178432854,-190.574655209,12,-100.0,1.44971340241,0.938951000605,-103.445440367,1.03125331087,3.44544036664
0.0067641756243,204,-282.013196678,0.0,-337.290485956,4.24563671366,26.0958043078,-180.972613328,-181.324034444,13,-100.0,1.44589179995,0.950159536524,-107.830871772,1.02731979165,7.83087177158
0.00849866229776,204,-264.910688647,0.0,-318.447249462,4.29233734575,31.3148717525,-170.161328462,-175.901858486,14,-100.0,1.45683142041,0.915642283907,-104.567444279,1.03861997743,4.56744427934
0.00597238564499,204,-251.762203478,0.0,-317.269832343,4.28243108154,32.2275571171,-162.015050261,-172.714064572,15,-100.0,1.45452085804,0.889751480844,-103.110774038,1.0362229515,3.11077403819
0.00939692885968,204,-240.020488114,0.0,-315.674451948,4.22913730435,30.1216717077,-154.572752083,-180.2542513,16,-100.0,1.4419980253,0.894978436873,-107.044111415,1.02332741763,7.04411141505
0.0072087669759,204,-242.429741963,0.0,-315.957456407,4.22959346586,34.6006790743,-156.363289045,-167.028545273,17,-100.0,1.44210588108,0.880334418782,-104.213755642,1.02343779535,4.21375564171
0.0069915688677,204,-240.185862821,0.0,-313.269010504,4.22540274173,33.1680292288,-155.455255785,-172.8749156,18,-100.0,1.44111457975,0.876547099526,-105.906263244,1.0224237628,5.90626324444
0.00517418154779,204,-242.583071573,0.0,-315.189216927,4.18948729174,33.9231158388,-156.996240645,-160.534311525,19,-100.0,1.43257836171,0.877846317927,-104.990845028,1.01373327535,4.99084502844
0.00585116295633,204,-247.141785523,0.0,-316.796455626,4.2130168435,35.2383250871,-159.8834621,-141.064989904,20,-100.0,1.43817898097,0.883910092817,-105.213560466,1.01942673803,5.21356046638
0.00700891979762,204,-254.477904048,0.0,-316.924928989,4.14710427963,37.929602173,-164.32947485,-142.744560437,21,-100.0,1.42241032675,0.877872381529,-103.277521121,1.0034778272,3.2775211211
0.00981446831972,204,-273.150295684,0.0,-325.244784437,4.16124939897,31.5108028845,-175.439189531,-171.344179932,22,-100.0,1.42581536547,0.915442384398,-106.107917442,1.00690053197,6.10791744189
0.00848108066522,204,-263.978611586,0.0,-323.070758137,4.16917396513,33.3477092573,-170.072985335,-163.208192535,23,-100.0,1.42771792629,0.910553203346,-108.953828667,1.00881804499,8.95382866665
0.00673482151484,204,-279.441327997,0.0,-328.022786401,4.2984480946,29.3289650133,-178.91396568,-150.503289617,24,-100.0,1.45825404932,0.930697021689,-104.732329042,1.04009859976,4.73232904173
0.00671557042335,204,-262.172724064,0.0,-326.667791079,4.29173987964,33.0525532983,-168.388154468,-154.169843095,25,-100.0,1.45669221707,0.895316092189,-109.621031854,1.03847540812,9.62103185427
0.00613098063727,204,-264.303188533,0.0,-327.692742372,4.28550243598,36.1603547452,-170.209002134,-148.347037149,26,-100.0,1.45523779978,0.896396819353,-107.427618215,1.03696612936,7.4276182152
