AverageReturn,MeanKLBefore,MinReturn,Entropy,StdReturn,NumTrajs,AverageDiscountedReturn,dLoss,MaxReturn,AveragePolicyStd,LossAfter,Perplexity,MeanKL,Iteration,LossBefore,ExplainedVariance
-1213.50462134,0.0,-1414.92100833,1.50304207181,73.5297687128,34,-256.092941572,15.5126763766,-1095.35919855,1.08774151121,-515.512676377,4.49534344857,0.00933487833599,15,-500.0,0.921420771066
-1211.0936614,0.0,-1412.59151774,1.50804634368,65.1500827632,34,-255.790221925,14.9003139453,-1089.2557719,1.09319850822,-514.900313945,4.51789575121,0.00720178555716,16,-500.0,0.915651695499
-1232.04678883,0.0,-1429.47506568,1.51518113615,95.7917497899,34,-263.125823489,15.8624820547,-1070.31705415,1.10102614378,-515.862482055,4.5502452661,0.0092104649352,17,-500.0,0.900180551441
-1248.19006808,0.0,-1416.58494559,1.51112406464,88.8827704466,34,-271.636538284,7.97119759596,-1088.15399702,1.09656825109,-507.971197596,4.53182199323,0.00897021694541,18,-500.0,0.914243396423
-1183.62688325,0.0,-1371.5864314,1.51495210351,72.2619230567,34,-257.74548165,13.9610995874,-1085.92966307,1.10077400173,-513.961099587,4.54920323075,0.00826230586659,19,-500.0,0.915746034523
-1222.86189478,0.0,-1481.63310322,1.5055783314,113.627584581,34,-263.837854228,21.0149186416,-1037.15243935,1.09050380752,-521.014918642,4.50675927714,0.00886895837679,20,-500.0,0.884859790998
-1216.19913324,0.0,-1398.09164839,1.51075121846,102.481097684,34,-260.140025679,16.6600233745,-984.58795425,1.09615947602,-516.660023375,4.53013263565,0.00890567340035,21,-500.0,0.879811454457
-1160.66317533,0.0,-1484.59883391,1.49828612962,117.288907494,34,-251.315169673,24.1526790618,-988.537295171,1.0825805578,-524.152679062,4.4740146146,0.00952260896696,22,-500.0,0.853710962505
-1149.78992808,0.0,-1340.31060793,1.52213086985,71.271989775,34,-253.690984232,17.7338396807,-1021.90391113,1.1087046331,-517.733839681,4.58197839967,0.0068221617571,23,-500.0,0.905012510386
-1157.36365051,0.0,-1375.68378646,1.53976668196,90.9158977019,34,-256.059616417,16.2088611553,-1022.3793065,1.12843097343,-516.208861155,4.66350206487,0.00853507708996,24,-500.0,0.884582723189
-1133.89476659,0.0,-1357.20699263,1.54988581094,84.7873746203,34,-254.10064554,11.8035116453,-970.808549306,1.13990768121,-511.803511645,4.71093221495,0.00682507371859,25,-500.0,0.910664308399
-1120.19424976,0.0,-1349.22931684,1.53702313978,70.5287063953,34,-251.417237229,15.2934535296,-978.051100311,1.12533931845,-515.29345353,4.65072508537,0.00771456758703,26,-500.0,0.918628207379
-1061.97781752,0.0,-1280.77227583,1.53290557803,62.6408843418,34,-239.532442609,14.6681787793,-957.580758348,1.12071519091,-514.668178779,4.6316148085,0.00698787648418,27,-500.0,0.916608344364
-1146.92902253,0.0,-1417.41521818,1.55250274024,97.5287678435,34,-255.79671479,20.8821176246,-1012.95843104,1.14289464566,-520.882117625,4.72327653657,0.0068860021449,28,-500.0,0.873828488257
-1218.92398008,0.0,-1479.50489058,1.58202445045,124.600355605,34,-264.900752946,19.0377381606,-945.904109967,1.17713782178,-519.037738161,4.86479438421,0.00671441139924,29,-500.0,0.885044094854
-1172.70144968,0.0,-1469.45563413,1.59288562969,119.404311123,34,-261.507949346,14.6623723196,-995.52008112,1.18999260936,-514.66237232,4.91791976788,0.00890860178359,30,-500.0,0.878595430733
-1176.72518824,0.0,-1458.74251993,1.60392406605,103.288956912,34,-260.429400759,10.7613369515,-1010.67316122,1.2032010331,-510.761336951,4.97250663482,0.00982052200031,31,-500.0,0.878767732981
-1127.02390577,0.0,-1269.74307383,1.57869641596,58.7601589255,34,-251.548451909,16.5189063163,-1024.86575526,1.17322677817,-516.518906316,4.84863109164,0.0069446157924,32,-500.0,0.918142988604
-1136.78199967,0.0,-1279.34734518,1.60045794769,70.4839797713,34,-252.785188141,17.0631546646,-964.281327161,1.19903781519,-517.063154665,4.9553011736,0.00747523812908,33,-500.0,0.919189585128
-1135.33710514,0.0,-1324.86761187,1.6121709966,83.0121694085,34,-250.449593796,4.06663596546,-982.625216217,1.21316477715,-504.066635965,5.01368411224,0.00716139031832,34,-500.0,0.900803406699
