AveragePolicyStd,AverageDiscountedReturn,MinReturn,MeanKLBefore,dLoss,StdReturn,ExplainedVariance,NumTrajs,LossBefore,Iteration,Perplexity,LossAfter,MeanKL,AverageReturn,Entropy,MaxReturn
1.0,-184.011736157,-325.965547602,0.0,960.913082471,17.1771999088,3.59812180051e-12,204,-4.5906745072e-10,0,4.13273135412,-960.913082471,0.00552942292378,-288.305625991,1.4189385332,-235.417923701
1.00356112293,-184.747761171,-331.355412476,0.0,2771.16004076,16.9295974277,0.971595274223,204,4.30645741289e-10,1,4.14744851851,-2771.16004076,0.00788388440812,-289.859400865,1.42249333035,-236.403679581
1.00631883902,-178.053196764,-329.280258015,0.0,3774.39116427,21.545962163,0.952783375338,204,1.24578036775e-09,2,4.15884541826,-3774.39116427,0.00833736244421,-278.785014531,1.42523749206,-209.326913475
1.01332778378,-171.988013301,-320.07014924,0.0,3524.85135095,24.7410376662,0.940788004842,204,-2.97632141155e-10,3,4.18781150402,-3524.85135095,0.00851959985407,-267.863720033,1.43217828341,-200.629830631
1.01157545284,-166.518028179,-304.860770229,0.0,4345.92198707,23.7253231712,0.936745629341,204,-1.75646341916e-09,4,4.180569591,-4345.92198707,0.00971830804261,-258.405641411,1.43044750304,-181.702113048
1.0107849961,-159.378411747,-313.660322322,0.0,2180.43062752,21.9018121693,0.935967459132,204,6.68023858452e-10,5,4.17730284564,-2180.43062752,0.00760104910445,-246.285489735,1.42966578603,-204.016289534
1.01137042771,-157.915779843,-303.188321668,0.0,2003.88967383,21.14777381,0.942303750286,204,-1.86321358342e-09,6,4.17972227721,-2003.88967383,0.00761554434034,-244.539222402,1.43024480347,-198.596904853
1.00758010005,-155.637137371,-298.718242436,0.0,2022.06162811,20.5153927799,0.945309364872,204,-4.86579665449e-11,7,4.16405787126,-2022.06162811,0.00628744773445,-240.68801069,1.42649004865,-191.202073035
1.00081340417,-154.725794941,-307.019120811,0.0,1907.08774861,22.1185956603,0.934434106978,203,-1.59829482982e-09,8,4.13609293504,-1907.08774861,0.00686560071029,-239.634648156,1.41975160674,-189.225795715
0.988682153711,-152.740322028,-297.567453572,0.0,1242.9183799,20.3160425274,0.93562151685,204,3.48677531292e-09,9,4.0859577359,-1242.91837989,0.00784311875231,-236.811648098,1.40755615271,-187.205871656
0.981381255958,-147.644815098,-290.364269386,0.0,2459.17871485,14.6774993014,0.95411721113,204,7.48826778363e-10,10,4.05578508685,-2459.17871485,0.00894549619009,-228.85866438,1.40014427841,-182.556595208
0.988398432801,-148.7448456,-279.435545138,0.0,2436.83294629,16.4984188324,0.952666781489,204,1.03568709164e-10,11,4.0847851936,-2436.83294629,0.00709335824532,-229.868749406,1.40726914274,-177.345374313
0.988208739693,-146.356279662,-293.218041618,0.0,2341.91720068,19.2454619237,0.9317794376,204,-4.94438268106e-10,12,4.08400124295,-2341.91720069,0.00630757553651,-225.773470227,1.40707720465,-165.510608139
0.983850299933,-144.633377992,-273.200747358,0.0,2356.23185224,18.4043160759,0.934590016342,204,-4.23014512307e-10,13,4.0659889823,-2356.23185224,0.00692264980868,-222.429209922,1.40265700549,-172.707043815
0.963809600754,-139.416809458,-284.133451841,0.0,1976.85871397,19.2524060727,0.921844344971,204,-1.7374759409e-09,14,3.98316615644,-1976.85871397,0.00604564779642,-213.661376939,1.38207701973,-148.498233489
0.95198065488,-136.559090395,-273.440800285,0.0,1909.10061882,18.7207035413,0.920511234212,204,-4.53923121313e-09,15,3.93428030094,-1909.10061883,0.0073003432786,-208.691783363,1.3697279683,-156.218796629
0.929206515875,-134.150696729,-267.346546743,0.0,2402.84737674,17.4596250985,0.924427602573,204,2.43201725425e-09,16,3.84016090261,-2402.84737674,0.00647522976764,-205.255767459,1.34551426744,-146.264011147
0.930834513039,-132.625153766,-254.021990064,0.0,3201.22862291,19.3695824806,0.910554045216,204,-3.12326164931e-10,17,3.84688897753,-3201.22862291,0.00958206915192,-202.413694234,1.34726476386,-150.9245274
0.929055799966,-128.057134668,-269.204429918,0.0,2816.14996191,22.254024512,0.871488321553,204,-7.2525097039e-11,18,3.83953803425,-2816.14996191,0.00759306300799,-194.158368341,1.34535205578,-139.489385319
0.914971117078,-124.85313737,-276.717899397,0.0,2950.91872808,24.1924693494,0.854277404762,204,-1.37046640702e-09,19,3.78132982366,-2950.91872808,0.00679428438604,-187.54240383,1.33007575296,-124.319857726
0.909293798306,-120.320333956,-249.073887111,0.0,3356.78102085,22.5206309065,0.861271009704,204,-2.59802845903e-10,20,3.75786699037,-3356.78102085,0.00770316640871,-179.399984103,1.32385150664,-125.325600608
0.898087540064,-113.996266834,-231.05338887,0.0,3192.51311191,22.4890504616,0.849169059768,204,-5.22959453519e-12,21,3.71155453557,-3192.51311191,0.00647942424891,-168.115750376,1.31145080114,-92.8434105106
0.873118181877,-110.285332806,-225.187777203,0.0,2848.66206222,19.7071921144,0.860145000961,204,6.6262373366e-10,22,3.6083628861,-2848.66206222,0.00734199703026,-161.952882748,1.28325417533,-112.11485929
0.848286778464,-108.919987427,-245.697473061,0.0,3179.39263284,21.7096229509,0.838994380645,204,2.47041498369e-10,23,3.50574136664,-3179.39263284,0.00647558800495,-159.68232393,1.25440201499,-112.799334844
0.821429356856,-100.732464792,-200.987787032,0.0,1884.05414365,17.914517336,0.835989636875,204,6.95361990211e-10,24,3.39474685828,-1884.05414365,0.00643803301294,-145.887334078,1.22222919513,-96.7316077253
