dLoss,Perplexity,NumTrajs,MinReturn,AverageReturn,MeanKL,MaxReturn,LossAfter,ExplainedVariance,AveragePolicyStd,LossBefore,Total cost,Entropy,Iteration,StdReturn,MeanKLBefore,AverageDiscountedReturn
0.0249596192606,4.13273135412,404,-321.033846309,-248.737993907,0.00152202969642,-178.700790775,-0.0249596192606,4.84012829816e-12,1.0,-0.0,353.9614662144471,1.4189385332,0,29.1681105665,0.0,-161.433339519
0.0631596074312,4.0618148758,404,-327.028301206,-250.889964015,0.00249349015391,-164.835255751,-0.0631596074312,0.902803394113,0.982840288361,6.7689390764e-17,346.68697066231294,1.40162988748,1,29.3768253567,0.0,-162.9204024
0.0383064843853,3.95207194463,404,-328.503332975,-253.03910481,0.000992615931279,-170.944197063,-0.0383064843853,0.904752734881,0.956285711794,1.94772982014e-16,341.7640167837277,1.37423998433,2,30.6125202636,0.0,-164.113778799
0.0463814277624,3.90169468129,404,-332.363958555,-255.82986864,0.00147200739845,-174.700791134,-0.0463814277624,0.897450785609,0.944095888885,-3.03443844873e-17,337.8555004834273,1.36141099242,3,32.5933638617,0.0,-165.77312687
0.0203325893757,3.83822756204,404,-315.427049924,-255.865079922,0.00346352459012,-185.797137818,-0.0203325893757,0.906349901352,0.928738704057,2.4459303372e-17,329.31098990157653,1.34501068766,4,30.1325801781,0.0,-165.872525045
0.0227346973509,3.71287230614,404,-330.237204921,-261.774252837,0.00168193711751,-176.401674024,-0.0227346973509,0.907311181195,0.898406401964,-1.95246520148e-17,325.6337274695111,1.31180578358,5,31.5629175044,0.0,-169.660596674
0.0123569861672,3.63449369487,404,-340.038955824,-261.703310694,0.00100299719469,-178.958550129,-0.0123569861672,0.901234059832,0.879441072609,3.6323970215e-18,320.71935700225845,1.29046981514,6,33.7021036558,0.0,-170.264904517
0.0287355521219,3.59765701063,404,-342.905420206,-260.844517473,0.00198823429697,-175.897174365,-0.0287355521219,0.909801949181,0.870527673435,3.39955187405e-17,318.3042575147841,1.2802828032,7,30.5817959786,0.0,-169.477374693
0.0212669806717,3.515305947,404,-331.011118635,-257.668991525,0.00262684489508,-176.801162898,-0.0212669806717,0.897905948926,0.850601126901,2.49993457491e-17,308.2011111913454,1.25712656187,8,32.2499764667,0.0,-167.278216148
0.0209498910078,3.40891336094,404,-333.707065308,-262.440938376,0.00180463225335,-186.684002501,-0.0209498910078,0.908808881007,0.82485723577,2.45012559198e-18,306.81156250344765,1.22639357803,9,31.5023783444,0.0,-170.425266866
0.0536647718866,3.32900315142,404,-342.338574208,-264.521791506,0.00167193678293,-175.91182903,-0.0536647718866,0.913514573716,0.805521304475,-2.47370725885e-17,303.32564625922527,1.20267290525,10,30.4168811378,0.0,-171.607493375
0.033093966297,3.26443930336,404,-337.278196869,-260.096254319,0.00251307030518,-168.4970779,-0.033093966297,0.904950546543,0.789898743383,-1.92292573655e-16,296.9325108757583,1.18308801854,11,31.0302603568,0.0,-169.034812829
0.0176237288787,3.18811371479,404,-337.529031608,-254.31566021,0.00198715698143,-180.55734241,-0.0176237288787,0.898199850355,0.771430185418,-2.58795080921e-17,289.7949315629376,1.15942942993,12,31.6357021915,0.0,-165.21850152
0.0263629626157,3.12506328531,404,-329.895405794,-250.98543696,0.00169024707374,-167.996976061,-0.0263629626157,0.901071608203,0.756173827314,3.8884154909e-17,284.8210723655494,1.13945453428,13,30.2383094086,0.0,-163.32904612
0.0322825445896,3.06900849906,404,-327.63105482,-248.460088778,0.00182458120978,-174.50236803,-0.0322825445896,0.894288128398,0.742610210073,-7.01967979258e-17,281.0968783538534,1.12135454496,14,30.1702252298,0.0,-161.865296082
0.0526762430078,3.02762336917,404,-337.327052928,-250.032396864,0.00178712227296,-172.750000163,-0.0526762430078,0.894700697514,0.732596220209,1.87707834459e-16,280.3847959741545,1.10777794513,15,31.9610963948,0.0,-162.676739452
0.0239995441283,2.97150814753,404,-333.707771512,-243.802818001,0.00177857653924,-167.899658014,-0.0239995441283,0.890877044,0.719017979371,-1.05131119805e-16,272.9874913029667,1.08906961771,16,30.4909709588,0.0,-159.226268842
0.0375399316392,2.9494708532,404,-322.288068163,-249.30001085,0.00184960428839,-167.036249522,-0.0375399316392,0.894511748712,0.713685599296,2.47406964358e-17,276.46330502456954,1.08162578246,17,29.5524803132,0.0,-162.034160889
0.0281564790285,2.86798365546,404,-319.043051756,-246.914685128,0.00161259509757,-174.935607949,-0.0281564790285,0.892999360699,0.693968083021,-4.05308249435e-17,271.96901110345357,1.05360922379,18,30.4826765284,0.0,-160.935342975
0.0433015184051,2.82369894381,404,-324.414099013,-246.255781649,0.00239863325387,-164.347332038,-0.0433015184051,0.892358033051,0.683252479257,9.58635921119e-17,269.89507477052575,1.03804770765,19,30.8000126575,0.0,-160.153403691
0.024799096983,2.77199547131,404,-315.978219345,-243.801987422,0.00160474865794,-169.071285054,-0.024799096983,0.888649274143,0.670741752556,-1.70007915371e-16,265.6392137490568,1.0195674476,20,29.9790081333,0.0,-158.280242998
0.0409263016163,2.71801485911,404,-324.747122529,-240.055892807,0.00206895905497,-172.58289389,-0.0409263016163,0.884175736497,0.657680024714,-1.45480765373e-16,260.3242580791238,0.999901782643,21,30.7466944832,0.0,-156.39108805
0.0293891004822,2.67845353245,404,-323.119628937,-240.148816355,0.00193789106244,-160.111057926,-0.0293891004822,0.886574061036,0.648107341837,-2.66372958133e-16,260.7931900366435,0.985239587839,22,30.5559010554,0.0,-156.214138252
