MaxReturn,AverageReturn,Perplexity,LossBefore,Entropy,MinReturn,AveragePolicyStd,NumTrajs,dLoss,ExplainedVariance,Total cost,MeanKLBefore,StdReturn,LossAfter,AverageDiscountedReturn,Iteration,MeanKL
-154.382229873,-229.772951046,2.32369701779,-6.70494014936e-16,0.843159459486,-304.149102757,0.562266650957,104,0.920658670045,0.846055533858,243.0901040248473,0.0,38.2477132982,-0.920658670045,-151.26401701,27,0.0059712445375
-150.980527611,-217.0712299,2.3178211968,5.06974379633e-16,0.840627605101,-290.659590644,0.560844874296,104,1.08687010177,0.82693534133,233.3558252762714,0.0,31.4829732723,-1.08687010177,-142.171859084,28,0.00753593343038
-153.994172433,-215.440560388,2.25988667116,4.402563794e-16,0.815314666521,-308.049331862,0.546826415151,104,0.185725923194,0.817904232455,230.29059102058426,0.0,37.9572426959,-0.185725923194,-141.920417901,29,0.0044687738865
-148.155424507,-227.077448852,2.22783884305,1.3349692223e-16,0.801031986885,-306.823645136,0.539071778964,104,0.805462032401,0.835389365287,240.41041912188552,0.0,40.3271045364,-0.805462032401,-148.341695111,30,0.00684666561504
-151.544883635,-226.766544684,2.2523655862,3.01412376526e-18,0.811981035559,-308.915299658,0.545006532776,104,0.782207046173,0.838751780903,240.82015459120836,0.0,41.2931342565,-0.782207046173,-148.245310863,31,0.0063478900914
-152.869316097,-221.382213965,2.19561374822,4.77475604759e-16,0.786461619386,-297.825666617,0.53127424942,104,0.420435526518,0.840116212799,235.40291483753663,0.0,39.2511572672,-0.420435526518,-144.899754836,32,0.00824446834027
-153.529858421,-206.08482448,2.19462718292,1.85798154383e-16,0.786012183774,-289.171293672,0.531035529501,104,1.17566350559,0.82352951776,223.82646713709545,0.0,30.1999718431,-1.17566350559,-136.467389054,33,0.00666570569716
-147.1096252,-203.457400792,2.16015411616,3.07393827985e-16,0.770179569223,-260.60731547,0.522694056559,104,1.00720415205,0.847470763657,221.21204510871044,0.0,27.4640295097,-1.00720415205,-134.166817538,34,0.00705675979044
-140.03387502,-198.493586677,2.12365992472,-2.49234276342e-16,0.753140979787,-275.785151034,0.513863530616,104,0.661272399382,0.824601317207,216.16158522613753,0.0,29.3166624067,-0.661272399382,-131.637114435,35,0.00941662237911
-131.728312386,-191.72857847,2.112217214,3.04467570807e-16,0.747738208091,-264.756627323,0.511094729612,104,0.628225723838,0.837592075764,210.85759912828834,0.0,26.4442749823,-0.628225723838,-128.591807375,36,0.00668183618806
-115.807562696,-188.167271866,2.08106684357,-1.04688704798e-16,0.732880667783,-277.370708486,0.503557251911,104,0.628405384984,0.807462603198,206.62963755215986,0.0,31.6187092683,-0.628405384984,-127.396608154,37,0.00578948502456
-120.858833399,-190.67875377,2.08116846616,5.95721139525e-16,0.732929498563,-278.041200542,0.503581841604,104,0.968484745184,0.793548715641,208.78410511078278,0.0,34.2411125243,-0.968484745184,-128.678602212,38,0.00611542511706
-110.657112101,-201.929180652,2.0470487615,2.41741262478e-16,0.716399127353,-278.01994553,0.495325871946,104,0.264167480308,0.795671908758,217.86320853171756,0.0,36.1620959375,-0.264167480308,-134.356479924,39,0.00442519947585
