MaxReturn,AverageReturn,Perplexity,LossBefore,Entropy,MinReturn,AveragePolicyStd,NumTrajs,dLoss,ExplainedVariance,Total cost,MeanKLBefore,StdReturn,LossAfter,AverageDiscountedReturn,Iteration,MeanKL
-178.700790775,-244.009270747,4.13273135412,-0.0,1.4189385332,-317.20288847,1.0,104,0.975879720813,4.89519536018e-12,350.0966356785276,0.0,32.1522310331,-0.975879720813,-158.842911344,0,0.00511154884896
-179.643655207,-252.47968427,4.04683654596,-8.05510770317e-17,1.39793547614,-315.342227587,0.979215971036,104,0.748325186033,0.902342745731,345.70866475736335,0.0,30.2653419446,-0.748325186033,-163.872086439,1,0.00765872534118
-197.413629682,-249.985953316,3.85013268745,-9.56776931391e-17,1.34810761198,-311.465392441,0.931619395878,104,0.867651005227,0.911401292698,338.93883246052957,0.0,25.9557496631,-0.867651005227,-162.631804646,2,0.00770535357255
-194.27443667,-256.256004178,3.70167329106,5.43647013223e-17,1.30878495825,-316.540459637,0.895696568171,104,0.481037808765,0.900646553724,329.3808217735104,0.0,30.107984267,-0.481037808765,-165.932433894,3,0.00690244436044
-206.736912542,-255.676819162,3.60662584629,-4.0820550952e-16,1.28277266665,-337.478694995,0.872697869095,104,0.672684363269,0.911206817973,319.1268478164665,0.0,27.9577026196,-0.672684363269,-166.345587656,4,0.00578238529832
-185.943973579,-266.161876633,3.50915131766,-7.55924164872e-17,1.2553742184,-323.487323033,0.849111886782,104,0.92679533636,0.912228307595,318.6550165999731,0.0,30.1258517168,-0.92679533636,-173.979922459,5,0.00763503901214
-180.970332056,-263.022666343,3.37966941146,-3.40750032582e-16,1.21777789745,-321.476268696,0.817781056125,104,0.133140607541,0.913424231784,310.4243976155772,0.0,30.6175823112,-0.133140607541,-170.483900763,6,0.00380795354653
-196.896178516,-274.332455487,3.3110579337,5.88059041104e-16,1.19726775575,-325.060282134,0.801179087141,104,0.368046111022,0.91131026058,317.18543092932896,0.0,33.8797516253,-0.368046111022,-177.332054301,7,0.00357509496974
-184.992928743,-271.020230362,3.24933887179,6.40883670704e-16,1.17845155158,-331.54236001,0.786244881016,104,0.542643204165,0.915904257407,310.7064869961939,0.0,31.671726838,-0.542643204165,-176.219141685,8,0.00593705892595
-183.932280684,-268.323131479,3.17996439342,4.42427996734e-16,1.15686999969,-323.131396579,0.76945828822,104,0.260259941832,0.909754693302,304.5009069929502,0.0,33.6639846166,-0.260259941832,-174.375322928,9,0.00359159448408
