MeanKLBefore,AveragePolicyStd,LossAfter,Iteration,Entropy,dLoss,ExplainedVariance,MaxReturn,Total cost,StdReturn,AverageReturn,NumTrajs,AverageDiscountedReturn,MeanKL,LossBefore,MinReturn,Perplexity
0.0,1.0,-1113747.93722,0,1.4189385332,20577.4428571,4.80082640308e-12,-174.484363216,255.0426302959985,28.3189147632,-249.467975494,204,-161.75286322,0.0098076498996,-1093170.49436,-307.502838976,4.13273135412
0.0,1.00353528381,-1591429.75512,1,1.42246758259,16736.1645265,0.906581902633,-184.087091548,257.11702182477956,28.9750771073,-251.826808944,204,-163.261705896,0.0071139014393,-1574693.59059,-337.265649796,4.14734173237
0.0,0.992025002192,-1245289.31701,2,1.41093156501,21853.337517,0.89390477545,-168.43103308,254.9637429171375,30.1405769843,-249.092794576,204,-162.039034196,0.00908139877901,-1223435.97949,-313.167407912,4.09977283063
0.0,0.972974417944,-1234822.34429,3,1.39154104412,21469.1792417,0.899805358109,-170.877885015,252.57542621762082,28.2738958763,-246.913679124,204,-160.052008974,0.00895919312888,-1213353.16505,-309.931661938,4.0210418838
0.0,0.984779813575,-1120691.64518,4,1.40360133089,14675.1190151,0.908704695348,-170.216624915,249.12288174435423,25.0705212675,-241.873042802,204,-156.77919779,0.0058958630562,-1106016.52617,-303.709384918,4.06983041247
0.0,0.992712121205,-1332920.75589,5,1.41162396808,17555.1909019,0.91400721947,-175.498467193,251.22438374660334,25.1048222235,-245.377955741,204,-158.985833094,0.00753015014967,-1315365.56499,-317.843087266,4.10261250892
0.0,1.00819714347,-1305657.88616,6,1.42710226257,18243.204849,0.878316433887,-163.433546463,245.35258956617938,31.3550982569,-238.495872954,204,-155.066409209,0.00667819510999,-1287414.68131,-310.733233269,4.16660794594
0.0,1.02162771155,-1359080.62508,7,1.44033568421,19115.3486601,0.892770587949,-175.106611531,241.96180673671358,25.960681921,-233.255882097,204,-151.525822843,0.00817947762426,-1339965.27642,-303.497475609,4.22211287576
0.0,1.01508319479,-1318295.75249,8,1.43390910764,14313.3582728,0.904932503445,-168.557809484,237.21184988137418,22.523300247,-227.387325191,204,-147.936223823,0.00687214140607,-1303982.39421,-302.211302488,4.19506614613
0.0,1.01619968637,-1061078.8266,9,1.43500840475,15758.7400139,0.895885626502,-151.073318398,240.90404360650464,23.9202911957,-229.287058125,204,-148.335345936,0.00556888156201,-1045320.08658,-284.874608542,4.19968030589
