Total cost,StdReturn,NumTrajs,AverageReturn,Entropy,Perplexity,MaxReturn,MinReturn,dLoss,LossBefore,Iteration,AveragePolicyStd,MeanKLBefore,ExplainedVariance,AverageDiscountedReturn,LossAfter,MeanKL
251.76344028557966,29.3881416799,209,-245.331730128,1.4189385332,4.13273135412,-178.203187341,-317.20288847,0.022714464404,-0.0,0,1.0,0.0,4.9414916603e-12,-159.501734082,-0.022714464404,0.00941643523505
258.578680692417,30.8150250676,209,-253.8518831,1.4249518739,4.15765774609,-171.7969743,-334.654991155,0.108089614052,4.69185225578e-16,1,1.00603145712,0.0,0.896614887931,-165.197967872,-0.108089614052,0.00659192090167
265.62195558620493,28.7900071065,209,-260.15302017,1.41164855939,4.10271339877,-180.042813022,-333.982395447,0.542132810858,2.52566016268e-17,2,0.992736533594,0.0,0.913770372942,-168.610010178,-0.542132810858,0.00734558274561
256.80835344644413,31.4979603831,209,-251.781118443,1.41768665287,4.12756090609,-173.802122751,-323.32378713,0.0849294250933,4.14925853919e-17,3,0.998748902942,0.0,0.89374295297,-163.092970081,-0.0849294250933,0.005016753861
260.9021228714358,28.4302324031,209,-256.301981454,1.42344815071,4.151410478,-182.46540344,-324.860340758,0.0943521993986,-5.68918577032e-17,4,1.00451980114,0.0,0.911296057442,-166.418618826,-0.0943521993986,0.00692139915425
261.1633464483707,34.0225884498,209,-257.325397187,1.41509496959,4.11687742558,-179.692784909,-328.468767185,0.109176744652,2.87041519689e-16,5,0.996163813425,0.0,0.886021901988,-167.211644335,-0.109176744652,0.00923223214424
259.9666255984879,37.7832721592,209,-254.630040677,1.38580349263,3.99803700786,-152.323942659,-330.400654345,0.398405147687,2.17952769218e-17,6,0.967407911445,0.0,0.878289300903,-166.66598079,-0.398405147687,0.00645851469612
271.57721158552573,38.3706671623,209,-266.610959224,1.36514091184,3.91627486262,-175.378176897,-340.694246353,0.640690683401,8.58196334415e-17,7,0.947623865924,0.0,0.887992769176,-174.314742454,-0.640690683401,0.00612447684828
256.80205770681005,39.4034586737,209,-250.811239397,1.35476797572,3.87586155831,-133.814027766,-337.598114884,0.382243666909,6.71547924091e-17,8,0.9378450294,0.0,0.866953338879,-166.303062785,-0.382243666909,0.00753995752308
256.1013438955626,39.5926446634,209,-249.240381603,1.36434614294,3.91316356569,-154.781035172,-322.987199079,0.247608202683,-5.51248565701e-16,9,0.946871023153,0.0,0.872452219916,-165.393098604,-0.247608202683,0.00865674758627
244.42204505207724,40.3650922935,209,-235.689804568,1.37202146146,3.94331390117,-144.54326766,-330.086840365,0.567392061204,2.5729308751e-16,10,0.954166521673,0.0,0.851419122895,-156.664377903,-0.567392061204,0.00709516407812
242.54502970132557,39.3981072636,209,-232.195343529,1.35787545649,3.88792445646,-120.726997342,-321.75638647,0.554024874571,1.04328430121e-15,11,0.940763897606,0.0,0.84695243958,-153.823920823,-0.554024874571,0.00642148494007
227.99218794695858,38.0590813795,209,-218.598581301,1.3620071395,3.90402135864,-135.243402914,-328.083408315,0.943050133978,5.21507552815e-17,12,0.944658876688,0.0,0.834307509515,-146.456959992,-0.943050133978,0.00668301138082
220.74599390273764,40.5425368696,209,-208.615031778,1.35219932451,3.86591859729,-130.629714803,-304.467629599,0.479556206884,2.93220328039e-16,13,0.935439123917,0.0,0.817133590224,-140.350739779,-0.479556206884,0.00849470570206
224.5226663711012,38.6722923285,209,-214.693048043,1.33682018487,3.80691894021,-137.37061308,-313.039623855,0.222939221651,1.28101250714e-16,14,0.921162934149,0.0,0.825706554,-142.363995424,-0.222939221651,0.00557554798412
220.861316615544,41.1690108823,209,-209.550534245,1.312308573,3.71473956844,-120.441636355,-307.686941364,0.119338270899,6.01597306412e-16,15,0.898858224775,0.0,0.806071213643,-139.744093588,-0.119338270899,0.00886049514323
213.40973246372104,40.2046307208,209,-199.387372588,1.30023848529,3.67017184524,-114.29521949,-313.770387308,1.05805664555,1.90510691508e-16,16,0.888074140503,0.0,0.801003224811,-134.23511493,-1.05805664555,0.00938850948732
198.55803024859827,36.3996551478,209,-180.006038152,1.27832756954,3.59062962286,-101.951786563,-290.447545351,0.262387521106,-3.10533674e-16,17,0.868827251324,0.0,0.771116893692,-122.835342616,-0.262387521106,0.00700822510717
198.90390912721432,38.4781924612,209,-180.826928842,1.26717090715,3.55079281653,-114.896422034,-331.688812668,0.532597387039,1.2270091433e-16,18,0.859187910433,0.0,0.76930606788,-122.481263934,-0.532597387039,0.00735843033032
192.35271972852348,34.2596469634,209,-173.514412706,1.23637013665,3.443092798,-102.312395291,-299.351438883,0.686838180405,-7.5419854319e-17,19,0.833127658918,0.0,0.754565456051,-117.596191699,-0.686838180405,0.00666761262241
190.81181910321345,33.5854876375,209,-168.680773898,1.23291264888,3.43120890281,-100.851573823,-308.445088838,0.341302023378,-3.10502025525e-16,20,0.83025210419,0.0,0.766662084564,-114.556427776,-0.341302023378,0.00935990575813
192.28198146083793,31.7138793673,209,-169.285109362,1.20930546519,3.35115634935,-93.7800586819,-269.02962137,0.553666699181,3.09207236637e-17,21,0.81088172983,0.0,0.781252033214,-114.147325481,-0.553666699181,0.00741199284219
182.7048853347004,34.9516251118,209,-159.39632999,1.20221208921,3.32746944677,-97.9246105913,-262.393626142,0.473904026602,-1.42477370868e-16,22,0.80515019285,0.0,0.729696427105,-108.603417094,-0.473904026602,0.00899240112659
182.35172691938482,31.3870049606,209,-156.556375969,1.19517402458,3.3041327208,-91.79742685,-247.306573239,0.56172591233,-5.44542773976e-16,23,0.799503388358,0.0,0.748777665412,-106.656959803,-0.56172591233,0.00941072044291
182.44772341200692,31.3742031333,209,-156.825135862,1.18697078011,3.27713898181,-104.206865949,-255.550813315,0.690930912598,3.35664473786e-16,24,0.792971693779,0.0,0.765058287682,-106.572358369,-0.690930912598,0.00652719505063
176.11125228412263,27.7378587991,209,-150.16889247,1.18367220391,3.2663468982,-95.8383655544,-251.339879742,0.426438173455,1.76220438227e-16,25,0.790360325488,0.0,0.77582585775,-103.560289373,-0.426438173455,0.00636974683746
169.18154715467384,20.0101196197,209,-141.870744893,1.16900047932,3.21877379917,-102.906856279,-218.321280593,0.529015301079,7.11021240738e-16,26,0.778849028249,0.0,0.82025604904,-99.1031550447,-0.529015301079,0.00658836217377
