Iteration,LossBefore,Total cost,AverageDiscountedReturn,LossAfter,StdReturn,AverageReturn,MaxReturn,NumTrajs,MeanKLBefore,MeanKL,Entropy,ExplainedVariance,AveragePolicyStd,MinReturn,dLoss,Perplexity
0,2.71598299406e-09,255.3447086610743,-161.766561252,-38919.9258394,28.2955386127,-249.487233608,-174.484363216,204,0.0,0.00886754185823,1.4189385332,4.80482320597e-12,1.0,-307.502838976,38919.9258394,4.13273135412
1,1.1912248965e-09,259.3265803592852,-164.807846515,-31750.7026462,29.712988836,-253.898170247,-170.02641341,204,0.0,0.00626662737023,1.42540236738,0.901122831864,1.00648476983,-323.768907141,31750.7026462,4.15953116574
2,6.54263310196e-09,269.74390452457976,-172.712325427,-28713.6373444,31.1372112279,-266.196921268,-180.529016432,204,0.0,0.00577211071079,1.42135965774,0.903897906757,1.00242405783,-332.39879938,28713.6373444,4.14274933391
3,-1.54898316396e-10,273.3841916821948,-174.573394203,-32227.393946,28.7106932316,-268.975962687,-179.478137313,204,0.0,0.00801394479459,1.42416583482,0.923462613629,1.00524098779,-318.317245773,32227.393946,4.1543909487
4,4.07764377819e-09,279.1951651547035,-180.058344323,-46471.4002468,27.1894758805,-276.797710538,-206.083928308,204,0.0,0.00994512376953,1.42290484341,0.933151564935,1.00397418642,-334.824536644,46471.4002468,4.14915559894
5,6.00576255394e-09,274.37246935267433,-175.802787184,-46281.8629356,29.1895039735,-269.768406061,-177.056098923,204,0.0,0.0075527159999,1.42973186251,0.922152928036,1.01085178742,-331.448014769,46281.8629356,4.17757887623
6,-3.71581376779e-09,273.102555839536,-174.643749167,-34568.1466806,30.2843388678,-268.067246983,-179.588192414,204,0.0,0.0065628206467,1.45092209498,0.91479965993,1.03250053269,-352.131725338,34568.1466806,4.2670473246
7,-2.71653810557e-09,254.3569280842131,-162.58958098,-31969.0617264,33.6278520853,-246.435081578,-175.340606862,204,0.0,0.00707665244067,1.45868247743,0.880738057789,1.0405443027,-331.707948835,31969.0617264,4.30029006511
8,6.06394934266e-09,263.82666934805724,-168.292893313,-30221.7740881,33.5082246677,-257.444044399,-161.61777156,204,0.0,0.00721348077994,1.46073651521,0.895151156867,1.04268381658,-339.408626615,30221.7740881,4.3091321012
9,-6.38351593807e-09,267.5661924768924,-169.698861437,-40860.5287548,31.5888246853,-261.766491269,-169.000224746,204,0.0,0.00795815233125,1.45908648552,0.910644386984,1.04096477595,-317.043480795,40860.5287548,4.30202776809
