MaxReturn,LossAfter,NumTrajs,MinReturn,StdReturn,Perplexity,LossBefore,dLoss,Iteration,MeanKL,AverageReturn,AverageDiscountedReturn,Entropy,ExplainedVariance,AveragePolicyStd,MeanKLBefore
-147.697184321,-1966.74011261,204,-278.212675079,24.5583882805,3.92640851617,1.27465682453e-09,1966.74011261,18,0.0071171847598,-198.694008275,-132.214877916,1.36772514448,0.875285491625,0.950075913416,0.0
-142.465898753,-3396.85102209,203,-280.81194079,25.5637294304,3.90907373259,-7.93420440459e-10,3396.85102209,19,0.00669913571971,-197.643643349,-131.950923275,1.3633004489,0.884106755657,0.945881403274,0.0
-128.754467843,-3667.02004597,204,-257.233347569,24.7656938222,3.85636749747,-3.47131390299e-09,3667.02004597,20,0.00814117161713,-189.069012545,-126.223428699,1.34972567757,0.86633164109,0.933128037375,0.0
-117.078639965,-3175.28371001,204,-244.542754864,23.1557229228,3.82393949049,-1.99884198082e-09,3175.28371,21,0.00842883753613,-178.747445246,-120.519044773,1.34128117145,0.866562119409,0.925281409032,0.0
-105.28405484,-2396.12260382,203,-257.843156748,24.8280483966,3.7607877469,-5.77442982319e-10,2396.12260382,22,0.00796593499518,-174.169663644,-118.034900461,1.32462844261,0.841942371043,0.910000535879,0.0
-106.965824581,-3421.78537974,204,-239.376190689,25.1972690557,3.66089801967,2.41470843321e-10,3421.78537974,23,0.00703216834277,-169.235002934,-115.237580795,1.29770847788,0.833512503417,0.885830146211,0.0
-109.959525367,-2745.75271087,204,-224.313338401,23.6656231377,3.55434228628,8.3192475131e-10,2745.75271087,24,0.00669477871193,-160.512479674,-109.430426012,1.26817003525,0.823264452843,0.860046778201,0.0
-98.834004965,-1972.15196952,204,-204.58021957,19.0319780306,3.4175444285,-1.56953205988e-09,1972.15196952,25,0.00668556084312,-151.232882295,-103.419317008,1.22892228982,0.832071692725,0.82694570144,0.0
-95.5875969531,-1979.26390053,204,-216.747534583,21.6433570784,3.31526527393,-1.59047885973e-09,1979.26390053,26,0.00693703252765,-146.991720374,-101.416239803,1.19853764274,0.809529027098,0.802197140306,0.0
-91.635403833,-1953.68518464,203,-207.725846754,22.047647217,3.19697568403,1.50561163537e-09,1953.68518464,27,0.00642886017181,-143.764078726,-99.7131913155,1.16220526418,0.79737670916,0.773574522536,0.0
-92.6325268604,-2361.06285843,204,-199.290022054,21.9975291716,3.09094414078,-1.19655396702e-11,2361.06285843,28,0.00671329644127,-142.52809912,-98.9067906488,1.12847659142,0.806595998003,0.747917993192,0.0
-90.3717773826,-2529.88619244,204,-198.934783957,22.6352533104,3.04241073782,-1.71809233507e-09,2529.88619243,29,0.00876343852625,-136.547499223,-95.4990756447,1.11265020702,0.781731197985,0.736174330516,0.0
-92.3544221904,-1764.45321219,204,-206.420699208,21.4813402142,2.98926554167,9.1868557206e-10,1764.45321219,30,0.00665936759149,-135.235301667,-94.1602728303,1.09502771899,0.771044540838,0.723314748898,0.0
-83.2107351427,-1939.0746324,204,-192.802064152,18.5465001865,2.87654082044,-1.92016180733e-09,1939.0746324,31,0.0064773984568,-129.802280118,-91.1402480869,1.05658846823,0.79896358321,0.69603866643,0.0
-89.7349697563,-1511.49729488,204,-188.493487541,18.9960280871,2.86004063282,-8.51940740176e-11,1511.49729488,32,0.00935216121592,-130.824850124,-91.795669656,1.05083583201,0.802837465829,0.692046104077,0.0
-89.3825804171,-1860.68240965,204,-204.786472676,20.3364689296,2.89036757535,1.32604771608e-09,1860.68240965,33,0.00746256132518,-129.189430787,-90.9992841265,1.06138368274,0.787515166129,0.699384336335,0.0
-86.6920063225,-2409.39271182,204,-171.480175132,18.5238629722,2.86403346933,-1.26576082948e-09,2409.39271182,34,0.00838440500481,-125.596576419,-88.5156379205,1.05223093525,0.7930006162,0.69301225362,0.0
-87.6260705142,-1514.66086308,204,-176.093738109,18.8041173797,2.7774700248,1.5560317479e-09,1514.66086308,35,0.00666942749507,-126.106483798,-89.886864302,1.02154045032,0.800499981893,0.672066434231,0.0
-80.9212053947,-2023.66438805,204,-170.467942365,18.3755604887,2.72325991692,-1.2073542166e-10,2023.66438805,36,0.00806114132102,-125.915293962,-89.6841537848,1.00182966155,0.803535943642,0.658949175151,0.0
-84.5974312079,-1572.25710038,204,-176.036173551,18.4326337848,2.79580344676,1.23593935086e-09,1572.25710038,37,0.00701784206204,-124.730380088,-88.8385702739,1.02811952389,0.800689026469,0.676502585627,0.0
-84.5978134231,-1643.53729787,204,-181.940983096,17.3816289396,2.78179012092,-9.68839231064e-10,1643.53729787,38,0.00704571985098,-121.356612412,-86.9188475209,1.02309464886,0.798243309219,0.67311177102,0.0
-84.0227024105,-1948.47531438,203,-176.971703593,19.9557112243,2.8458802642,8.31050783745e-10,1948.47531438,39,0.00930988145203,-125.339330297,-89.7604700963,1.04587242717,0.802983026867,0.688619709423,0.0
-82.3943573163,-700.355612973,204,-184.274583967,17.8732301261,2.76870680074,-5.84350345889e-10,700.355612972,40,0.00575994526591,-123.421173719,-88.0456798225,1.01838035225,0.794141782604,0.669945990557,0.0
-85.616052205,-2173.59233251,203,-199.055230812,19.7182329544,2.7557956473,1.34690703035e-10,2173.59233251,41,0.00900263198371,-123.997171029,-89.3966876546,1.01370620211,0.812312745989,0.666821869404,0.0
-81.9008163512,-1770.46625032,204,-165.328449371,16.3145372081,2.70228872592,1.4870238374e-09,1770.46625032,42,0.00655709140014,-120.44278278,-86.6645985745,0.994099090202,0.821597251758,0.65387476087,0.0
-82.2049435855,-1869.80878641,204,-177.003556915,17.4589952645,2.72880360265,-1.59502633323e-10,1869.80878641,43,0.00982713946986,-120.432485961,-86.6904726559,1.00386327235,0.818732406836,0.660290584804,0.0
-82.0542741381,-1776.89600339,204,-178.600353966,18.3510796322,2.76969127769,7.89412979429e-10,1776.89600339,44,0.00672496639181,-125.408155089,-90.0657153844,1.01873586189,0.82011990614,0.670184205157,0.0
-84.7331920924,-1772.95303936,204,-175.946155204,16.7086142873,2.82906771544,3.57424312369e-10,1772.95303936,45,0.00929576490389,-122.801212037,-87.7356976407,1.03994722821,0.823673385398,0.684551564818,0.0
-89.1273975819,-1822.79926283,204,-195.374167421,18.8972490574,2.86371466927,-2.81588086182e-09,1822.79926283,46,0.00678680651577,-125.860291699,-90.5836200275,1.05211961748,0.808509625763,0.692935113339,0.0
-84.4280336705,-1641.46209898,204,-170.938681263,17.3790175731,2.78811394922,-2.25223928396e-09,1641.46209898,47,0.0076796446026,-120.328154789,-86.7044680753,1.02536536338,0.800216391809,0.674641952335,0.0
-82.7296809592,-1416.80210918,204,-165.019382602,17.8180463065,2.8696895489,1.71585057274e-09,1416.80210918,48,0.0069159205228,-120.345083213,-87.3312527643,1.05420385281,0.806526972847,0.694380859292,0.0
-84.4624794837,-1448.64347247,204,-169.163889629,16.5779963849,2.82513914267,-1.30986421709e-09,1448.64347247,49,0.00953114817129,-120.344705663,-87.199342197,1.03855761743,0.82976579277,0.683600965218,0.0
-83.039319722,-1466.83177579,204,-166.238915565,17.7201158984,2.83389975435,-2.00549266083e-09,1466.83177579,50,0.00703813769328,-119.998862249,-87.319697275,1.04165376815,0.815793481787,0.685720776774,0.0
-80.9425773068,-2261.91443857,204,-168.798187684,18.8736904899,2.72196474316,3.08119751935e-10,2261.91443857,51,0.00842755160814,-119.542412791,-86.8325662234,1.0013539516,0.802397996672,0.658635781018,0.0
-81.5421419876,-1799.04501104,204,-167.633415676,17.4284740556,2.85363078871,2.20198614898e-09,1799.04501104,52,0.00655941524913,-119.744598862,-87.0666224496,1.04859214443,0.822973553928,0.690495109454,0.0
-80.2356800724,-1218.07926671,204,-166.284332675,18.2232850302,2.77070453984,2.02322780751e-09,1218.07926671,53,0.00784093823047,-118.809500765,-86.6153910843,1.01910163437,0.804607469258,0.670429384934,0.0
-83.9246258775,-1238.94219719,204,-175.448878952,16.6634178845,2.78774211441,-1.01891828308e-09,1238.94219719,54,0.00644094098406,-119.05464477,-86.9453958058,1.0252319902,0.831293455517,0.674551979195,0.0
-81.1726972958,-1341.15448111,204,-177.617292482,16.8576459074,2.76798732721,-8.86728912519e-10,1341.15448111,55,0.00752505676205,-120.211714469,-87.4891225666,1.01812045943,0.834277456043,0.669771899025,0.0
-81.1327572564,-1520.78055596,204,-157.534218018,15.9877610952,2.70702775744,-2.77060507869e-09,1520.78055595,56,0.00958317141102,-118.197199791,-86.2270577567,0.995851264527,0.832161692519,0.65502146776,0.0
-83.2764326013,-1352.23477823,204,-170.839836486,14.96476754,2.6421159216,1.37015732093e-09,1352.23477823,57,0.00689739379391,-115.806222795,-84.33397567,0.971580081594,0.834032462774,0.639314703812,0.0
-82.9620001006,-1545.6220864,204,-167.473005111,16.6186363306,2.64354479135,-6.46558362405e-11,1545.6220864,58,0.0070258433183,-117.773339251,-86.0385133518,0.972120740507,0.830689363542,0.639660448462,0.0
-83.6096812338,-1397.80584178,204,-158.122617067,15.2773542372,2.65556679407,-8.06952726862e-10,1397.80584178,59,0.00681212011166,-115.202520667,-84.30824606,0.976658113669,0.830014247274,0.64256942117,0.0
-84.9746520923,-1869.93931538,204,-159.170911364,16.0538724661,2.68130969747,7.25066229279e-10,1869.93931538,60,0.00837494949106,-117.637039002,-86.2691564802,0.986305368238,0.834268689029,0.648798450158,0.0
-81.6546969829,-1359.93550661,204,-177.970533448,16.1175655916,2.68720959124,8.52139692142e-10,1359.93550661,61,0.00752018110577,-116.83180427,-84.9721483721,0.98850332854,0.817274758254,0.650226051726,0.0
-84.117447095,-2025.62127532,204,-165.561754925,17.5019168107,2.75399695895,-1.10867404146e-09,2025.62127532,62,0.0083770431607,-118.31108592,-85.5644508808,1.01305329607,0.8196164828,0.66638663948,0.0
-82.327249412,-2358.53925649,204,-176.463653663,18.6917219102,2.82501060835,1.74352976501e-09,2358.5392565,63,0.009097034675,-120.440956947,-87.3856637604,1.03851211976,0.81651551595,0.683569863677,0.0
-85.4990795484,-1443.32044947,204,-177.024056036,16.5936315808,2.77913789932,-7.02470970282e-10,1443.32044947,64,0.0070700974126,-117.424397975,-85.6532539974,1.02214077145,0.829866704531,0.672470011037,0.0
-82.1707862695,-1761.86454318,204,-153.258076163,13.9289867465,2.67499598593,-8.79111894392e-10,1761.86454318,65,0.00929207617387,-113.960221506,-83.5370509558,0.983947879759,0.850141407065,0.647270716801,0.0
-83.8038832708,-1677.79713563,204,-163.274942627,16.1886341907,2.71298039091,1.57182711291e-09,1677.79713563,66,0.00700779590703,-116.15467279,-85.2628169174,0.998047805825,0.837356720908,0.656461830795,0.0
-82.7924991284,-1444.55691931,204,-163.651455711,15.7760650836,2.74075243197,2.64287791651e-09,1444.55691931,67,0.00696027964938,-116.373065037,-85.248405874,1.00823249291,0.840909096601,0.663181851692,0.0
-80.8594474245,-1425.03855164,204,-151.523329263,14.5224155792,2.70092275716,6.99600377629e-10,1425.03855164,68,0.00707935042568,-112.844147962,-83.1069825745,0.993593476534,0.845922919899,0.65354423642,0.0
-81.3851808761,-993.191832948,204,-149.476616035,13.3473975183,2.62076910261,-3.66839003618e-10,993.191832948,69,0.00728017359724,-111.710179934,-82.6066776397,0.963467825309,0.852433059596,0.634149398555,0.0
-81.2632609424,-1566.58869338,203,-158.206977878,16.2107766262,2.62069979652,8.71921201906e-10,1566.58869338,70,0.00650376673994,-112.689823668,-82.9360700602,0.963441380016,0.826966621195,0.634132628511,0.0
-79.8669002307,-1465.14496717,203,-151.43222706,15.0479287825,2.57459624644,-7.6238482194e-10,1465.14496717,71,0.00675606736971,-113.107803799,-83.3131529586,0.945692724322,0.83626311935,0.622976919095,0.0
-83.257193285,-1410.51930967,203,-205.933697889,16.8312398629,2.59783124403,-8.83034090293e-10,1410.51930967,72,0.00633552731261,-114.278998086,-83.8034349072,0.954676960031,0.815328583331,0.628599108297,0.0
-83.3338675099,-1224.65454236,204,-165.13932819,16.141757564,2.56750850148,1.52459733727e-09,1224.65454237,73,0.00678045869554,-113.738141886,-83.8581470267,0.942935974004,0.835205728369,0.621261892311,0.0
-79.7007271935,-1804.6437239,204,-188.535140846,16.2213159291,2.49553747879,-4.4508396968e-10,1804.6437239,74,0.00664251163735,-113.108801962,-82.8557852514,0.914504128364,0.822147141639,0.603847011807,0.0
-80.0862304312,-1928.36001564,204,-143.284089908,15.612782866,2.50497138176,3.17518455972e-09,1928.36001564,75,0.00991367549759,-110.459864487,-81.5512924783,0.918277310026,0.827783335791,0.606129740145,0.0
-83.5047174299,-2034.36614191,204,-165.717884439,15.2447302192,2.5723180753,-4.18083345721e-11,2034.36614191,76,0.00993423948441,-111.492260057,-82.5489243783,0.944807467198,0.836231161748,0.622425668375,0.0
-84.8568416567,-1616.75372088,204,-171.223402085,16.8173124836,2.70691291037,2.29590568779e-10,1616.75372088,77,0.00916158609617,-115.156017969,-84.6164098279,0.995808838105,0.81964139708,0.654993678133,0.0
-82.274329164,-1288.706996,204,-159.453483899,15.6831270635,2.75150822913,-6.16068973613e-10,1288.706996,78,0.00663907423261,-114.435556243,-83.9869096114,1.01214920829,0.832429429458,0.665784439723,0.0
-78.7710438579,-1981.30494396,204,-178.199470128,15.540601553,2.67141297226,-7.97797383711e-11,1981.30494396,79,0.00826208185401,-111.854359713,-82.2068056584,0.982607535529,0.826407627095,0.646403732389,0.0
-82.2439608751,-1733.2135053,204,-164.148133939,13.8026348584,2.72131040257,-1.22122401081e-09,1733.2135053,80,0.00947696989861,-113.319240368,-83.7686177332,1.00111352995,0.856479174725,0.65847744975,0.0
-81.5159926264,-1676.713605,204,-166.620985603,15.6295918353,2.63417891927,1.72869363269e-09,1676.713605,81,0.00929082085249,-113.29321184,-83.4719928666,0.968571527845,0.839413296929,0.637394181609,0.0
-80.2255453567,-2314.62306853,204,-165.605749225,16.5445390245,2.68295315887,3.80956421964e-09,2314.62306853,82,0.00763201121265,-115.269622375,-83.3988334273,0.9869181128,0.805949638098,0.649196119702,0.0
-81.0343246371,-1397.49730772,204,-167.113276251,17.3937887244,2.66447993752,-2.76713763014e-10,1397.49730772,83,0.00680657239075,-116.186550208,-84.9603074699,0.980008893179,0.81832124843,0.644726140948,0.0
-82.4041307551,-2144.6006658,204,-176.957820602,17.4857582169,2.68664524882,9.87427029031e-10,2144.6006658,84,0.00903892610371,-114.156318615,-83.5083519092,0.988293295917,0.804166730361,0.650089497384,0.0
-84.9760283711,-1576.09722168,204,-161.113393334,15.4076369716,2.7890122247,-7.73695774114e-10,1576.09722168,85,0.00959049077856,-115.488098152,-84.3420363201,1.02568749182,0.829496559922,0.674859308703,0.0
-85.8207566951,-1511.43013879,202,-168.259652796,14.8470754321,2.8504052026,-7.02298663668e-10,1511.43013879,86,0.00611176465476,-116.673990842,-85.7837814437,1.04746116052,0.851398266301,0.689714612046,0.0
-86.4006328956,-1355.52606526,204,-167.927023582,15.8578693578,2.81898996996,1.27141630557e-09,1355.52606526,87,0.0098292521011,-116.030970233,-84.6649420372,1.03637865411,0.835133723168,0.682113045443,0.0
-82.437749103,-1212.62539923,204,-156.424978248,16.2671172843,2.78697166063,-9.57101065069e-10,1212.62539923,88,0.00989853032729,-115.465045735,-83.9273037145,1.02495558003,0.82124751604,0.674365551936,0.0
-80.3690910126,-1579.7885665,204,-182.526130858,17.4648903645,2.80805454896,5.53114443136e-10,1579.7885665,89,0.00615887665344,-114.642494634,-83.2930357954,1.03249191224,0.802021187794,0.679466993702,0.0
-81.1284576954,-2133.26826041,204,-169.944700633,15.7085318084,2.77415829432,-3.73375996787e-10,2133.26826041,90,0.00892033520835,-113.632263794,-83.1668117062,1.02034738383,0.8222581189,0.671265092407,0.0
-84.2841968276,-1851.67849004,204,-163.590498,15.4909384695,2.79606989176,-4.97948349221e-11,1851.67849004,91,0.009960699042,-115.074710693,-85.0940300657,1.02821482111,0.845233197725,0.676567057515,0.0
-80.5839387268,-1647.02507079,204,-158.623896162,15.7933765611,2.73349561142,4.77143657918e-10,1647.02507079,92,0.00653859492137,-113.543258583,-83.2466306011,1.00558123387,0.824898267317,0.661425913566,0.0
-84.5657555544,-1469.1519315,204,-190.73806026,15.9449118176,2.6818217051,-7.12930159352e-10,1469.1519315,93,0.00807828332648,-112.659491206,-82.7183580164,0.986496304313,0.82616687676,0.648922341014,0.0
-81.3199350757,-1417.54570007,204,-158.754857889,14.9284818208,2.72048165732,1.39863232107e-09,1417.54570007,94,0.00719265290404,-112.664117847,-83.4802423273,1.00080894453,0.842428948577,0.658276917663,0.0
-79.9561147388,-648.787157365,204,-153.580629604,13.3109068333,2.71535805329,2.91623791782e-09,648.787157368,95,0.00652699619001,-112.717556657,-83.3329616398,0.998923824355,0.862665229454,0.657037155483,0.0
-81.7999181897,-1620.14836989,204,-156.930070367,13.8816716815,2.72273708935,-6.50288711768e-11,1620.14836989,96,0.00783540225814,-113.045011602,-84.1722955829,1.00163765719,0.865771247804,0.658822666184,0.0
-81.7221307993,-1673.71061045,204,-154.258505353,14.8314427689,2.68629089449,-1.48361323227e-09,1673.71061045,97,0.0097142147854,-112.209877947,-82.8844279864,0.988161392493,0.839656425557,0.650003754008,0.0
-81.0792087725,-1203.13924181,204,-153.243286883,12.7774653689,2.71187127018,-1.217586032e-10,1203.13924181,98,0.00921025470104,-110.724607686,-82.2785285771,0.997638902205,0.862971517993,0.656193456049,0.0
-82.9870930279,-1417.06445636,204,-153.817557016,12.9240831901,2.63066703983,1.26561872094e-09,1417.06445636,99,0.00915835251274,-110.371393074,-81.481999226,0.967237441343,0.856836902666,0.636544409596,0.0
