NumTrajs,Iteration,MeanKL,Entropy,AverageDiscountedReturn,ExplainedVariance,MeanKLBefore,dLoss,MinReturn,MaxReturn,Perplexity,LossAfter,LossBefore,Total cost,AverageReturn,StdReturn,AveragePolicyStd
104,0,0.0090099945854,1.4189385332,-158.32594501,4.93316498762e-12,0.0,0.584144950909,-317.20288847,-178.700790775,4.13273135412,-0.584144950909,-0.0,349.2622928565571,-243.128704931,32.0246177746,1.0
104,1,0.00581891139239,1.38977790401,-165.300204518,0.905129569045,0.0,0.642201662248,-312.245821351,-195.484792646,4.0139584699,-0.642201662248,-4.92970189694e-17,346.01338794691384,-255.302530025,28.7322541533,0.971260439152
104,2,0.00907133098836,1.34459060674,-162.791417773,0.900650522359,0.0,0.697396668504,-313.092142957,-188.898782496,3.83661553451,-0.697396668504,3.25763465526e-16,329.8628396100405,-249.442567763,29.9139431165,0.928348640588
104,3,0.00889319970319,1.30028761597,-167.456341252,0.909647217031,0.0,0.396778366967,-308.202393863,-172.332972582,3.67035216774,-0.396778366967,1.73868579824e-16,323.7788979961859,-258.786805904,30.1577342236,0.888117773267
104,4,0.00805482966962,1.27630126766,-162.731520265,0.910225453881,0.0,0.768781609954,-313.181630797,-183.19174344,3.58336128971,-0.768781609954,-6.77946683221e-16,312.70374042295157,-251.30829359,28.4332633618,0.867068527486
104,5,0.00763046400346,1.23519331382,-159.703294813,0.912260716837,0.0,1.04375969782,-306.90581506,-189.456751964,3.43904327106,-1.04375969782,-1.54598926513e-16,298.68939972240366,-245.079587895,26.7580920832,0.83214779195
104,6,0.00624674742384,1.1799187649,-158.243858825,0.89470356292,0.0,0.583193780728,-310.859066619,-166.787631137,3.25410984422,-0.583193780728,2.61475737959e-16,288.83389486911756,-242.620834712,30.0768022089,0.787399316671
104,7,0.00754573496745,1.14840218649,-158.812179794,0.886326251395,0.0,0.277509058858,-319.731481556,-183.40831059,3.15315073569,-0.277509058858,-2.97586804865e-17,282.76850744899184,-242.653622644,33.8354056658,0.762970168034
104,8,0.00900548632268,1.10997569576,-167.839394573,0.887608571658,0.0,0.449026817195,-328.650991124,-153.630700538,3.03428464756,-0.449026817195,-4.65480435499e-16,291.4327285664191,-258.267945866,34.9415727588,0.734208054568
104,9,0.00599491833082,1.0911787418,-160.597250637,0.895949876668,0.0,0.366126059918,-316.45996624,-186.620714238,2.97778204083,-0.366126059918,-8.90453787714e-17,279.48725128873275,-246.61732118,28.3247109535,0.72053607788
104,10,0.00646066444411,1.0567594659,-161.299319965,0.882917161371,0.0,0.568628824697,-311.505200284,-148.727269753,2.87703274426,-0.568628824697,7.40907398951e-16,276.02719213059817,-246.564558523,33.1655968897,0.696157697595
104,11,0.00600580273281,1.04616004248,-154.049535782,0.845997373819,0.0,0.620467497659,-326.757374569,-135.394729029,2.84669890066,-0.620467497659,-2.43905486177e-16,264.3486805423413,-235.844274786,39.8122593207,0.68881779548
104,12,0.00812752917214,1.01504991486,-153.224140261,0.84058774398,0.0,0.37791951289,-310.694106832,-160.0672164,2.75950113406,-0.37791951289,-2.08448768467e-16,262.95743019659545,-234.453440422,37.9056549261,0.667718488719
104,13,0.00556422414039,0.986438634005,-151.459236799,0.85065175006,0.0,0.389786193808,-299.018014675,-153.080578636,2.68166704808,-0.389786193808,-1.18813207359e-15,255.97988058328247,-230.257204939,37.3986970801,0.648884918542
104,14,0.00734485792308,0.971986570195,-155.038591342,0.845130449104,0.0,0.293550212345,-310.838437897,-145.583317172,2.64319012991,-0.293550212345,-3.64724994187e-16,259.3694129365476,-237.050451132,40.4346572763,0.639574630777
104,15,0.00854746024781,0.949598617876,-159.985471405,0.849974571129,0.0,0.174202912432,-304.302490529,-121.120212377,2.58467200994,-0.174202912432,7.81327505221e-17,267.9134920817909,-247.362410212,42.2815141163,0.62541495889
104,16,0.00695135388724,0.927829576871,-150.80353475,0.841955179228,0.0,0.199071144332,-298.27960051,-155.572881526,2.52901418566,-0.199071144332,2.97620750131e-16,249.6367497669359,-229.966746958,37.7778673121,0.611947394824
104,17,0.0032403488919,0.899868163891,-150.492783481,0.837620449674,0.0,0.320926782834,-294.346586032,-138.666382979,2.45927886803,-0.320926782834,-1.80070862863e-17,251.0557214677226,-230.409081971,40.9415165729,0.595073489491
104,18,0.00699025759897,0.87577429707,-152.160912236,0.839975912856,0.0,0.120672572349,-304.991237376,-128.583309598,2.40073345537,-0.120672572349,-1.26961598968e-16,251.2551001224708,-233.363164753,43.7668061234,0.580907213573
104,19,0.00590760236921,0.877498966912,-156.316419673,0.875468713153,0.0,0.686868094421,-301.579149338,-139.595154069,2.40487750049,-0.686868094421,-8.3980688535e-16,260.32036910524715,-243.299964722,35.6208393509,0.581909951172
104,20,0.00454502337459,0.876589155795,-145.70688485,0.829067329213,0.0,0.0338058271539,-297.810412604,-138.40919345,2.40269051123,-0.0338058271539,3.98707600957e-16,244.2288449801221,-224.588492276,40.3149496238,0.581380763797
104,21,0.00871170692674,0.853049691738,-139.421459092,0.798013736679,0.0,0.435904131848,-288.52551741,-132.64205988,2.34679294475,-0.435904131848,-5.49692732446e-16,231.46677279651487,-211.624389045,40.5898904471,0.567855189138
104,22,0.0066947076787,0.819962427262,-133.392582978,0.814211582077,0.0,0.317090662517,-286.827913123,-118.042173258,2.27041453024,-0.317090662517,-1.01398834035e-15,222.13573010645152,-199.492369521,34.6685357679,0.549373848841
