AverageDiscountedReturn,LossAfter,MinReturn,LossBefore,Iteration,MeanKL,ExplainedVariance,Total cost,MaxReturn,MeanKLBefore,dLoss,AverageReturn,AveragePolicyStd,NumTrajs,Perplexity,Entropy,StdReturn
-159.027022196,-0.0999072680252,-317.20288847,-0.0,0,0.00400267049517,4.89930318537e-12,350.0431684218097,-178.700790775,0.0,0.0999072680252,-244.41240842,1.0,104,4.13273135412,1.4189385332,32.2492917711
-163.269700564,-0.0736742276333,-316.243325893,9.65579991971e-17,1,0.00495023936428,0.895338710866,347.9494046481977,-173.754137206,0.0,0.0736742276333,-251.083892489,0.987930180337,104,4.08285003196,1.4067952818,32.2224008321
-158.995887362,-0.0166291631372,-305.649172443,-3.46242811971e-16,2,0.00479813238821,0.893945695868,342.6027788144081,-189.514289921,0.0,0.0166291631372,-244.355611992,0.967621564018,104,3.99891997654,1.3860243188,28.4222884858
-166.737810528,-0.00888289862055,-322.011605033,-2.01298050863e-16,3,0.00256126397624,0.905056892842,344.14024379787503,-199.035113607,0.0,0.00888289862055,-257.351452743,0.95952736235,104,3.96546881552,1.37762408656,28.8205769892
-160.276567191,-0.0615459312409,-309.460508514,-2.34921156797e-16,4,0.00502208820634,0.896580038213,332.19008803272305,-180.308499722,0.0,0.0615459312409,-245.240562192,0.94460746418,104,3.90380888456,1.3619527136,29.1749224123
-164.679925505,-0.168208371163,-334.033590164,-2.85526196499e-17,5,0.00327355628922,0.886992983939,325.8190815092606,-178.346748409,0.0,0.168208371163,-253.054712411,0.916569942073,104,3.78793733785,1.33182163291,33.089544807
-165.479469398,-0.129459756087,-315.030458352,2.9753035328e-16,6,0.0053171941706,0.904809702915,322.4249764068781,-183.276957822,0.0,0.129459756087,-253.58537219,0.904785244864,104,3.7392343502,1.31888087127,30.9778131645
-165.398525788,-0.0775764381561,-320.815416566,-2.77113541812e-16,7,0.00775126288728,0.910417472328,318.1504865587645,-193.791281401,0.0,0.0775764381561,-255.393604391,0.883104329976,104,3.64963295345,1.29462660184,30.3521958711
-173.657870416,-0.0236307227025,-331.467222616,2.51286381033e-16,8,0.0039591847782,0.920316420058,317.93425588091975,-207.50501399,0.0,0.0236307227025,-267.492157301,0.854248642873,104,3.53038015062,1.26140555654,28.6916386124
-171.054224641,-0.167017315253,-332.34189217,1.26107285654e-16,9,0.00570298370741,0.908929275201,311.45782661214446,-196.374606158,0.0,0.167017315253,-262.76554496,0.837815351539,104,3.46246577227,1.2419809862,31.5067599993
