LossAfter,dLoss,StdReturn,MeanKLBefore,NumTrajs,AverageReturn,Iteration,MaxReturn,AverageDiscountedReturn,LossBefore,Perplexity,AveragePolicyStd,MeanKL,MinReturn,Total cost,ExplainedVariance,Entropy
-0.165637799565,0.165637799565,29.9222008438,0.0,204,-246.856088832,0,-178.700790775,-160.373879076,-0.0,4.13273135412,1.0,0.00455676189188,-317.20288847,252.76162669083251,4.85067541689e-12,1.4189385332
-0.155170167408,0.155170167408,30.1266903165,0.0,204,-251.238753155,1,-178.695877527,-163.691047203,-3.24254914662e-16,4.12405441987,0.997900435932,0.00544585897527,-325.258346693,256.3535444155157,0.903606065393,1.41683676196
-0.0052883603308,0.0052883603308,29.4824218243,0.0,204,-257.998727784,2,-183.912108062,-167.469188565,-3.8831636373e-16,4.16512610338,1.00783858095,0.00657527548588,-314.685038964,261.9287431983919,0.908175673504,1.42674655208
-0.373842937748,0.373842937748,33.597271557,0.0,204,-259.07290969,3,-177.994438227,-168.63306284,-4.66312952364e-16,4.18931916345,1.01369259322,0.00670480643982,-321.239411114,263.1281944932547,0.901221754034,1.43253822991
-0.0914890483113,0.0914890483113,32.9242054584,0.0,204,-248.266398229,4,-174.006932852,-162.04215035,1.95950571234e-16,4.17518367364,1.01027221851,0.00667982884648,-348.374434928,253.8536082394299,0.888432448564,1.42915835102
-0.00325300998756,0.00325300998756,35.2572537456,0.0,203,-252.392708047,5,-158.777810248,-164.767024893,5.76534253712e-16,4.11592295524,0.995932859545,0.00605886473805,-322.685771311,257.9970349547104,0.881811722741,1.41486309944
-0.100016604952,0.100016604952,33.7668430193,0.0,204,-242.333623426,6,-163.204064782,-158.050642679,-5.57450019094e-17,4.08581201926,0.988646894551,0.00659417006524,-322.470451457,248.5989122389033,0.877922265078,1.40752048928
-0.146014403013,0.146014403013,31.5259043323,0.0,204,-234.418817337,7,-143.340893562,-153.199911828,-2.34744402402e-16,4.02630517933,0.974247981377,0.00768356930572,-313.750589302,241.00878066568285,0.8781693355,1.39284912646
-0.52785236811,0.52785236811,31.0123380832,0.0,204,-224.001105923,8,-155.961551978,-146.372853487,2.74354167672e-17,3.98535492547,0.964339218782,0.00652952632554,-313.33935897,233.60759013089984,0.856278790137,1.38262637364
-0.428693827523,0.428693827523,31.978726749,0.0,204,-212.179931466,9,-145.980271459,-140.650981958,7.01301552883e-17,3.92776593376,0.950404368734,0.00672735710187,-315.778871295,222.96378736572973,0.836882575868,1.36807079955
-0.486454910519,0.486454910519,30.8955039584,0.0,204,-209.678188513,10,-136.105045776,-139.361187971,-4.68592196736e-17,3.94039746128,0.9534608286,0.00791480022681,-304.010762462,221.11096938985705,0.848678700355,1.37128159672
-0.234962665915,0.234962665915,34.026613107,0.0,204,-199.049421221,11,-122.782383504,-132.238595213,1.91849158251e-16,3.89252798227,0.94187781608,0.0099791235478,-280.401048808,213.59539005080967,0.797841950097,1.35905881346
-0.211606399199,0.211606399199,32.0337767596,0.0,204,-187.308672487,12,-127.042392747,-125.219812925,-1.0695241891e-17,3.82456590288,0.92543298249,0.0054305154045,-259.670885653,202.08314726790243,0.790922821688,1.34144497139
-0.0998950991189,0.0998950991189,31.2556399256,0.0,204,-182.338684715,13,-109.511109522,-121.928266742,-1.23871957275e-16,3.78171371888,0.91506400848,0.00957545825997,-252.259184008,198.5336291575252,0.797388741526,1.33017727167
-0.0575229872815,0.0575229872815,32.3060381715,0.0,204,-175.591005021,14,-118.943745774,-117.310927944,-3.97813594998e-16,3.76352061598,0.910661810191,0.00443174945822,-255.99930781,194.87167503292207,0.771037941022,1.32535485335
-0.0803362936101,0.0803362936101,33.2668141266,0.0,204,-173.588807381,15,-105.862499066,-116.197778573,3.88538327009e-16,3.70249093155,0.895894413233,0.00730994742966,-248.695000392,193.57176679201132,0.767395069549,1.30900581788
-0.144824827816,0.144824827816,31.4603671879,0.0,204,-165.133648444,16,-102.148266349,-110.924202123,-4.42543153448e-16,3.59688924398,0.870341896382,0.00424767376996,-252.722198132,188.66431199729448,0.754060132053,1.28006937302
-0.0921148362193,0.0921148362193,31.651484432,0.0,204,-161.622321012,17,-100.790425814,-109.964140641,3.04961572985e-16,3.60934484018,0.873355786017,0.00967912478739,-244.454242726,184.41866085631816,0.753489809981,1.28352627116
-0.144867113574,0.144867113574,32.3249049971,0.0,204,-158.414978181,18,-96.3857695511,-108.258108377,-2.63938488737e-16,3.57561294746,0.865193655496,0.00807730813581,-245.108634884,180.75902331057077,0.731486551844,1.27413661528
-0.10348604979,0.10348604979,31.4077698363,0.0,204,-153.241542454,19,-96.0201161843,-104.326672526,4.62836719321e-18,3.47453813524,0.840736509953,0.0083330004218,-252.666650554,177.45983192149416,0.728741086025,1.24546155946
-0.142970400012,0.142970400012,30.398661501,0.0,204,-153.753075718,20,-103.064304137,-104.977694747,3.73440818996e-16,3.47180814512,0.840075932265,0.00611713946365,-238.53024411,177.58109672017758,0.761781182766,1.24467553753
-0.102411829917,0.102411829917,31.6753701318,0.0,204,-154.085536171,21,-98.5462765135,-104.448018943,2.42666850407e-16,3.39668693171,0.821898797832,0.00856426137045,-239.995963088,179.17215956343472,0.75263214634,1.22280052471
-0.065535890384,0.065535890384,31.9873219743,0.0,204,-154.008951865,22,-97.9121014895,-104.454266725,-8.75358690053e-17,3.27049419191,0.791363849153,0.00512640352869,-257.231386476,179.74930827828558,0.745712163303,1.18494110252
