StdReturn,Total cost,LossAfter,Perplexity,MeanKL,AveragePolicyStd,dLoss,MaxReturn,LossBefore,Iteration,NumTrajs,MeanKLBefore,Entropy,ExplainedVariance,MinReturn,AverageReturn,AverageDiscountedReturn
30.2457666099,351.46824363571636,-0.0164556139502,4.13273135412,0.00322797873256,1.0,0.0164556139502,-178.700790775,-0.0,0,204,0.0,1.4189385332,4.87121454285e-12,-317.20288847,-245.871268101,-159.819403446
28.8427623854,347.58624090925025,-0.0226776773274,4.05092043243,0.0019119887094,0.980204152005,0.0226776773274,-191.021609502,-4.22801954255e-17,1,204,0.0,1.39894412256,0.906963841062,-320.885823432,-252.128778057,-163.430825053
29.3318418656,343.7806484429023,-0.0722222892399,3.99393318386,0.00218432234335,0.966414906179,0.0722222892399,-183.746262571,1.02036804238e-16,2,204,0.0,1.38477650572,0.911470814099,-321.121830876,-256.093110874,-165.882460715
30.8375215777,332.7762957797864,-0.031131138223,3.90787484822,0.00133176457305,0.945591308354,0.031131138223,-167.135851851,-1.12392199141e-16,3,204,0.0,1.36299370916,0.902509899449,-315.087718604,-251.610502393,-163.628049871
29.7333263108,330.4138369882453,-0.063249556906,3.8570754903,0.00150464089739,0.933299350912,0.063249556906,-170.594670606,-1.64968032077e-16,4,204,0.0,1.34990925132,0.906323845853,-315.02414182,-251.494218929,-163.245004476
32.5723475896,328.8609574019381,-0.0347752120698,3.79670345507,0.0029820506765,0.918691085808,0.0347752120698,-183.123480349,2.02387201095e-16,5,204,0.0,1.3341331784,0.900970527615,-330.55600479,-256.958525105,-167.193569853
34.3949297974,326.2386671895102,-0.0444458515248,3.73229546468,0.00210702291594,0.903106237709,0.0444458515248,-188.316533146,-2.70908069064e-17,6,204,0.0,1.31702345045,0.897908129642,-327.473299439,-261.285868983,-170.042168287
31.3444962006,321.63918062879236,-0.0287436225099,3.68152954771,0.00233712079612,0.890822371998,0.0287436225099,-187.165646966,-1.87259950482e-17,7,204,0.0,1.30332830379,0.903351843809,-334.5778301,-258.789312854,-168.857038131
32.0388378793,312.4138556102501,-0.0941266048799,3.64386688026,0.00541178226319,0.881709109069,0.0941266048799,-178.671906361,2.12484313239e-17,8,204,0.0,1.29304544752,0.896118535933,-335.411548688,-255.039438124,-166.235506973
29.2153160297,312.76186767079946,-0.0577879103021,3.50172656244,0.00209891628523,0.847315313382,0.0577879103021,-188.923244617,-9.34316760665e-17,9,204,0.0,1.25325615042,0.911482252893,-318.090386731,-259.412611341,-168.111350355
29.7791584264,305.97608258755304,-0.0869433915563,3.43846571542,0.0031053861717,0.832008040394,0.0869433915563,-189.32519702,-1.02343614211e-16,10,204,0.0,1.23502535893,0.91542990479,-331.145929477,-259.63719285,-169.094848847
30.5788543174,301.5503478812146,-0.0649233573528,3.36807088577,0.00152472663467,0.814974552463,0.0649233573528,-160.690759023,-7.86718110557e-17,11,204,0.0,1.214340143,0.907738812134,-324.358484532,-258.693544971,-168.681448822
32.9428976508,301.9272936469388,-0.0406407927007,3.33131895203,0.00178559983466,0.806081660428,0.0406407927007,-183.109698822,5.89892833941e-17,12,204,0.0,1.20336830726,0.903855788163,-332.574948987,-259.93179999,-170.096836465
28.5609958089,295.8998858705672,-0.0528128903677,3.31354286747,0.00271337025325,0.801780368367,0.0528128903677,-183.695704047,1.31623110655e-16,13,203,0.0,1.19801796968,0.916320694953,-344.366436195,-256.863468817,-168.196009532
30.8682312003,295.414985155056,-0.0702006067364,3.23373988917,0.00229574751505,0.782470383889,0.0702006067364,-181.558703426,1.08431327624e-16,14,204,0.0,1.17363932786,0.907966928782,-332.337106469,-260.735575352,-169.997182153
29.9512551881,293.48398093338193,-0.0688396025195,3.18390368023,0.00263291301054,0.770411480305,0.0688396025195,-191.367931735,5.23639443041e-17,15,204,0.0,1.15810801634,0.909350066344,-335.725304351,-259.954647935,-169.590248132
31.5127659213,289.12709970475663,-0.0254355268072,3.16607894062,0.00209703679438,0.766098415147,0.0254355268072,-173.566835412,-3.87207281118e-17,16,204,0.0,1.15249389502,0.904825357068,-330.578120121,-256.232855626,-167.367239042
29.8754549519,283.49914940326505,-0.00569415597634,3.14020025893,0.00260511828813,0.759836531789,0.00569415597634,-163.729029314,-6.65834211362e-17,17,204,0.0,1.14428657462,0.908219210334,-323.878333621,-254.567128533,-166.709973163
30.1250718308,289.9224589671724,-0.0587975532048,3.09036632073,0.00197324788493,0.747778177656,0.0587975532048,-184.350017737,3.62080940914e-16,18,204,0.0,1.12828963428,0.914637182491,-348.27560869,-263.298779268,-172.134522412
29.5330223792,289.76671577045045,-0.0128379990069,3.04809077515,0.00344824458124,0.737548733263,0.0128379990069,-175.106401522,-2.32272659732e-16,19,204,0.0,1.11451541925,0.916836684303,-334.972326379,-265.191548393,-173.048344078
28.759293298,284.9333203867972,-0.0582332696045,2.99486294344,0.00145754506621,0.724669156259,0.0582332696045,-186.870829055,5.2256385836e-17,20,204,0.0,1.09689846873,0.921740089707,-356.589679952,-262.44495782,-171.958550382
27.0854250184,287.0639576313869,-0.0940805086722,2.9654517735,0.00310737319948,0.717552514161,0.0940805086722,-198.176778561,-7.51077076724e-17,21,204,0.0,1.08702938965,0.92764602412,-329.52594712,-267.123825669,-175.195201456
29.1533122485,286.64580662910146,-0.0190465071431,2.8901390717,0.00349587842476,0.699329045139,0.0190465071431,-186.896536683,-2.73236890263e-16,22,204,0.0,1.06130462266,0.922226811599,-340.034601093,-269.229048429,-176.168382428
