LossAfter,ExplainedVariance,dLoss,Perplexity,NumTrajs,MeanKLBefore,Iteration,Total cost,MaxReturn,AveragePolicyStd,MinReturn,AverageReturn,AverageDiscountedReturn,MeanKL,StdReturn,LossBefore,Entropy
-0.113331383249,4.89563944939e-12,0.113331383249,4.13273135412,204,0.0,0,352.0014538299878,-178.700790775,1.0,-317.20288847,-246.125406423,-159.911248623,0.00216888246124,30.0903544602,-0.0,1.4189385332
-0.0500122423213,0.908701653505,0.0500122423213,4.0422813552,204,0.0,1,346.83076442410214,-181.919793553,0.978113748227,-316.425572527,-251.625800799,-163.39715475,0.00345047049256,28.4872710197,6.93361023128e-17,1.39680922448
-0.0142754602673,0.90897286591,0.0142754602673,3.95839854212,204,0.0,2,339.8446736072804,-191.065817367,0.957816563173,-321.119825722,-252.590934583,-163.650373744,0.0060219382654,27.9481832625,-7.18987200211e-17,1.37583953492
-0.0324228849956,0.897125480095,0.0324228849956,3.8216224748,204,0.0,3,326.12894034434123,-176.16655326,0.924720759066,-316.91052024,-248.203957018,-161.690776117,0.00391054531829,30.6877718571,1.26318681877e-16,1.34067506407
-0.0665113404354,0.906596556674,0.0665113404354,3.71402576242,204,0.0,4,323.28688629249194,-177.371838822,0.898685504616,-319.778359364,-256.984667856,-166.6177761,0.00404990761941,30.5795366962,5.91803105197e-17,1.31211639948
-0.129744955012,0.89903974632,0.129744955012,3.62161355412,204,0.0,5,314.0655313215789,-169.913898404,0.876324455619,-325.24597481,-257.000606112,-167.286228001,0.00214217557606,33.3828060261,1.00607045119e-16,1.28691965971
-0.0452646032264,0.903091602932,0.0452646032264,3.57016046572,204,0.0,6,320.0234045812249,-183.012349577,0.863874314539,-332.842776448,-265.040337003,-171.918519996,0.0025818827564,34.0782204357,7.16500842499e-17,1.27261054316
-0.052850677363,0.897772338885,0.052850677363,3.50022381266,204,0.0,7,310.5325724761553,-174.048508977,0.846951691927,-321.966773147,-257.935994863,-168.004369764,0.0028331096041,32.2289080209,-3.91443752407e-18,1.25282691292
-0.0158505756847,0.90481234377,0.0158505756847,3.45282901122,204,0.0,8,303.825636912132,-176.972268282,0.835483537487,-317.446244015,-258.593172845,-168.039019662,0.00499468800784,31.6146741551,-5.01811191476e-17,1.23919389828
-0.024301430639,0.918975643886,0.024301430639,3.3239172588,204,0.0,9,303.59255148879436,-179.116543663,0.804290667355,-321.448772964,-263.911955218,-171.270866552,0.00300922521639,30.1509749687,3.24277391581e-17,1.20114398463
-0.0282925197556,0.901802423703,0.0282925197556,3.24456345139,204,0.0,10,294.8436258503342,-176.942624048,0.785089369082,-326.026671846,-257.594444015,-167.325801901,0.00401667131217,31.3060596851,-1.09464017336e-16,1.17698081149
-0.0832531804293,0.906146570317,0.0832531804293,3.12286602399,204,0.0,11,291.6465885779535,-172.130669241,0.755642154402,-338.29392433,-258.931911031,-168.103201414,0.0020790312408,31.9170017117,-2.66326238886e-16,1.1387511776
-0.00274913058647,0.898461534753,0.00274913058647,3.08296358807,204,0.0,12,285.8224791160499,-178.762542694,0.745986933071,-318.87609901,-253.033026577,-164.864579476,0.00219857193753,34.0075030859,-3.08281007548e-16,1.12589133828
-0.0825914066158,0.889278860877,0.0825914066158,3.05515073998,204,0.0,13,279.21563709413783,-181.629279897,0.739257038069,-314.468978337,-246.318847777,-161.20790215,0.00212550487634,31.4658160817,1.69519633935e-16,1.11682893346
-0.142147896319,0.879091603107,0.142147896319,2.99083829971,204,0.0,14,272.1182739492904,-168.293452098,0.723695310301,-311.74214855,-240.672673099,-157.94189243,0.00477268986609,32.7615533367,3.58574298914e-16,1.0955537159
-0.0413915004417,0.880217590224,0.0413915004417,2.90990970634,204,0.0,15,266.9365101559075,-167.98392636,0.704112959927,-306.20553012,-233.640960169,-153.938148797,0.00322492350363,32.5812931206,-4.24356838884e-16,1.06812205195
-0.0848687617976,0.885148192542,0.0848687617976,2.87720729986,204,0.0,16,260.4912116329083,-169.765170917,0.696199934939,-312.33258659,-229.578247535,-151.112159042,0.00243345202737,30.5750647985,6.20652744176e-17,1.05682013615
-0.0951325150867,0.880240112737,0.0951325150867,2.82346825224,204,0.0,17,257.805273778326,-159.245417522,0.68319665865,-311.674223,-228.608205917,-150.099278447,0.00343909473476,30.1644016924,2.86765808857e-17,1.03796600595
-0.0399998044124,0.88866159928,0.0399998044124,2.73466961807,204,0.0,18,252.36854427850324,-157.825599701,0.661709988805,-295.888534944,-224.530642122,-147.715265297,0.00182783468061,27.0693476659,-3.49685501524e-16,1.0060106308
-0.0844033401267,0.877133968539,0.0844033401267,2.7008218537,204,0.0,19,251.75285237500947,-156.521266863,0.653519820738,-304.514826769,-225.623887375,-148.247820535,0.00262747069724,29.515884336,-2.53141610713e-16,0.993556116954
-0.0382830998341,0.883395286857,0.0382830998341,2.65298665085,204,0.0,20,244.18747567578802,-173.255057299,0.641945102047,-297.894845394,-219.772036158,-145.473677846,0.00183962334949,26.4869462226,-4.871004366e-17,0.975686043425
-0.101962458523,0.886502303285,0.101962458523,2.60312169405,204,0.0,21,242.81731095034928,-159.248734327,0.629879242321,-292.544810142,-219.877267293,-145.221073863,0.00401811771935,27.4576816457,2.38119724988e-17,0.95671137638
-0.0539176189674,0.894004457729,0.0539176189674,2.49644545876,204,0.0,22,236.630924817667,-162.033919151,0.604066716378,-295.296319426,-214.999872232,-142.096842671,0.00275338427496,23.3133374784,8.10630849371e-17,0.914867903637
